Evaluation of kosdaq_ours_fold5 with pg agent and cvar indicator
Namespace(stock='kosdaq_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $419.55 | ACTION BUY
DAY 2 | PRICE $501.82 | ACTION SELL
DAY 5 | PRICE $628.05 | ACTION BUY
DAY 6 | PRICE $629.12 | ACTION BUY
DAY 9 | PRICE $697.09 | ACTION SELL
DAY 10 | PRICE $722.04 | ACTION SELL
DAY 11 | PRICE $734.63 | ACTION BUY
DAY 12 | PRICE $752.29 | ACTION BUY
DAY 13 | PRICE $717.68 | ACTION BUY
DAY 15 | PRICE $726.36 | ACTION BUY
DAY 20 | PRICE $837.11 | ACTION SELL
DAY 23 | PRICE $832.74 | ACTION SELL
DAY 25 | PRICE $874.77 | ACTION BUY
DAY 27 | PRICE $804.28 | ACTION BUY
DAY 28 | PRICE $855.65 | ACTION SELL
DAY 29 | PRICE $859.88 | ACTION BUY
DAY 31 | PRICE $784.88 | ACTION SELL
DAY 33 | PRICE $829.53 | ACTION BUY
DAY 34 | PRICE $840.43 | ACTION BUY
DAY 36 | PRICE $891.61 | ACTION SELL
DAY 37 | PRICE $904.45 | ACTION BUY
DAY 41 | PRICE $953.36 | ACTION SELL
DAY 42 | PRICE $940.11 | ACTION SELL
DAY 44 | PRICE $918.92 | ACTION BUY
DAY 47 | PRICE $906.31 | ACTION BUY
DAY 51 | PRICE $948.34 | ACTION BUY
DAY 52 | PRICE $954.93 | ACTION SELL
DAY 55 | PRICE $1023.43 | ACTION SELL
DAY 58 | PRICE $953.91 | ACTION SELL
DAY 59 | PRICE $948.37 | ACTION BUY
DAY 60 | PRICE $979.00 | ACTION BUY
DAY 62 | PRICE $991.93 | ACTION BUY
DAY 64 | PRICE $1013.47 | ACTION BUY
DAY 65 | PRICE $1039.79 | ACTION SELL
DAY 68 | PRICE $1045.27 | ACTION BUY
DAY 73 | PRICE $1026.36 | ACTION SELL
DAY 74 | PRICE $1049.80 | ACTION SELL
DAY 75 | PRICE $1028.40 | ACTION BUY
DAY 76 | PRICE $1034.80 | ACTION BUY
DAY 78 | PRICE $936.95 | ACTION SELL
DAY 79 | PRICE $997.10 | ACTION BUY
DAY 84 | PRICE $1012.95 | ACTION SELL
DAY 90 | PRICE $1007.84 | ACTION SELL
DAY 92 | PRICE $929.15 | ACTION BUY
DAY 93 | PRICE $881.68 | ACTION BUY
DAY 95 | PRICE $850.28 | ACTION SELL
DAY 98 | PRICE $864.69 | ACTION BUY
DAY 100 | PRICE $927.02 | ACTION SELL
DAY 101 | PRICE $936.91 | ACTION BUY
DAY 102 | PRICE $939.82 | ACTION BUY
DAY 103 | PRICE $913.92 | ACTION SELL
DAY 106 | PRICE $899.34 | ACTION BUY
DAY 114 | PRICE $712.53 | ACTION SELL
DAY 115 | PRICE $763.14 | ACTION SELL
DAY 116 | PRICE $766.89 | ACTION BUY
DAY 118 | PRICE $801.40 | ACTION BUY
DAY 119 | PRICE $825.94 | ACTION SELL
DAY 120 | PRICE $831.69 | ACTION BUY
DAY 121 | PRICE $781.92 | ACTION SELL
DAY 122 | PRICE $783.99 | ACTION SELL
DAY 123 | PRICE $774.23 | ACTION BUY
DAY 124 | PRICE $780.31 | ACTION BUY
DAY 127 | PRICE $697.59 | ACTION SELL
DAY 128 | PRICE $664.83 | ACTION BUY
DAY 136 | PRICE $714.26 | ACTION SELL
DAY 137 | PRICE $714.63 | ACTION BUY
DAY 146 | PRICE $774.10 | ACTION SELL
DAY 147 | PRICE $792.61 | ACTION SELL
DAY 148 | PRICE $785.66 | ACTION BUY
DAY 149 | PRICE $785.98 | ACTION SELL
DAY 150 | PRICE $814.07 | ACTION BUY
DAY 151 | PRICE $842.61 | ACTION BUY
DAY 154 | PRICE $868.36 | ACTION SELL
DAY 157 | PRICE $813.32 | ACTION SELL
DAY 158 | PRICE $853.57 | ACTION BUY
DAY 159 | PRICE $850.88 | ACTION SELL
DAY 160 | PRICE $871.50 | ACTION BUY
DAY 167 | PRICE $878.80 | ACTION SELL
DAY 168 | PRICE $897.89 | ACTION BUY
DAY 169 | PRICE $899.01 | ACTION SELL
DAY 170 | PRICE $874.27 | ACTION BUY
DAY 171 | PRICE $890.08 | ACTION SELL
DAY 173 | PRICE $902.77 | ACTION BUY
DAY 175 | PRICE $847.56 | ACTION BUY
DAY 183 | PRICE $814.22 | ACTION SELL
DAY 185 | PRICE $818.50 | ACTION BUY
DAY 187 | PRICE $853.49 | ACTION SELL
DAY 188 | PRICE $865.12 | ACTION BUY
DAY 191 | PRICE $828.12 | ACTION SELL
DAY 193 | PRICE $809.18 | ACTION BUY
DAY 194 | PRICE $854.72 | ACTION SELL
DAY 195 | PRICE $866.22 | ACTION BUY
DAY 196 | PRICE $869.36 | ACTION SELL
DAY 201 | PRICE $859.09 | ACTION SELL
DAY 202 | PRICE $829.76 | ACTION SELL
DAY 203 | PRICE $844.50 | ACTION BUY
DAY 204 | PRICE $867.32 | ACTION SELL
DAY 205 | PRICE $869.00 | ACTION BUY
DAY 207 | PRICE $836.95 | ACTION SELL
DAY 208 | PRICE $829.81 | ACTION SELL
DAY 212 | PRICE $840.40 | ACTION BUY
DAY 213 | PRICE $848.59 | ACTION BUY
DAY 214 | PRICE $847.68 | ACTION SELL
DAY 218 | PRICE $767.21 | ACTION BUY
DAY 222 | PRICE $706.12 | ACTION BUY
DAY 224 | PRICE $773.36 | ACTION BUY
DAY 225 | PRICE $776.20 | ACTION SELL
DAY 226 | PRICE $764.97 | ACTION BUY
DAY 227 | PRICE $729.28 | ACTION SELL
DAY 228 | PRICE $738.13 | ACTION SELL
DAY 233 | PRICE $671.60 | ACTION BUY
DAY 235 | PRICE $690.40 | ACTION SELL
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
Initial Cash: $6504.00
Total Profit: -$633.68
Final Cash:  $5870.32
Price Change: $555.47 → $674.81 (21.48%)
