Evaluation of kosdaq_ours_fold5 with pg agent and var indicator
Namespace(stock='kosdaq_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $501.82 | ACTION BUY
DAY 3 | PRICE $542.75 | ACTION SELL
DAY 13 | PRICE $717.68 | ACTION BUY
DAY 16 | PRICE $758.38 | ACTION SELL
DAY 18 | PRICE $785.97 | ACTION BUY
DAY 20 | PRICE $837.11 | ACTION SELL
DAY 25 | PRICE $874.77 | ACTION BUY
DAY 26 | PRICE $883.50 | ACTION BUY
DAY 27 | PRICE $804.28 | ACTION SELL
DAY 28 | PRICE $855.65 | ACTION SELL
DAY 42 | PRICE $940.11 | ACTION BUY
DAY 44 | PRICE $918.92 | ACTION BUY
DAY 45 | PRICE $956.93 | ACTION SELL
DAY 51 | PRICE $948.34 | ACTION SELL
DAY 52 | PRICE $954.93 | ACTION BUY
DAY 55 | PRICE $1023.43 | ACTION SELL
DAY 57 | PRICE $970.96 | ACTION BUY
DAY 58 | PRICE $953.91 | ACTION BUY
DAY 62 | PRICE $991.93 | ACTION BUY
DAY 63 | PRICE $1006.83 | ACTION SELL
DAY 65 | PRICE $1039.79 | ACTION SELL
DAY 66 | PRICE $1030.36 | ACTION BUY
DAY 67 | PRICE $1046.90 | ACTION SELL
DAY 73 | PRICE $1026.36 | ACTION SELL
DAY 81 | PRICE $1000.96 | ACTION BUY
DAY 82 | PRICE $1002.51 | ACTION BUY
DAY 83 | PRICE $1027.07 | ACTION BUY
DAY 84 | PRICE $1012.95 | ACTION SELL
DAY 85 | PRICE $960.84 | ACTION SELL
DAY 87 | PRICE $996.85 | ACTION SELL
DAY 89 | PRICE $1014.39 | ACTION BUY
DAY 90 | PRICE $1007.84 | ACTION BUY
DAY 91 | PRICE $978.69 | ACTION BUY
DAY 98 | PRICE $864.69 | ACTION SELL
DAY 100 | PRICE $927.02 | ACTION SELL
DAY 101 | PRICE $936.91 | ACTION SELL
DAY 105 | PRICE $888.97 | ACTION BUY
DAY 106 | PRICE $899.34 | ACTION SELL
DAY 108 | PRICE $849.59 | ACTION BUY
DAY 110 | PRICE $890.20 | ACTION SELL
DAY 116 | PRICE $766.89 | ACTION BUY
DAY 118 | PRICE $801.40 | ACTION BUY
DAY 119 | PRICE $825.94 | ACTION SELL
DAY 120 | PRICE $831.69 | ACTION SELL
DAY 121 | PRICE $781.92 | ACTION BUY
DAY 122 | PRICE $783.99 | ACTION SELL
DAY 127 | PRICE $697.59 | ACTION BUY
DAY 128 | PRICE $664.83 | ACTION BUY
DAY 130 | PRICE $689.97 | ACTION SELL
DAY 132 | PRICE $728.81 | ACTION BUY
DAY 133 | PRICE $717.55 | ACTION SELL
DAY 135 | PRICE $731.07 | ACTION BUY
DAY 136 | PRICE $714.26 | ACTION BUY
DAY 137 | PRICE $714.63 | ACTION SELL
DAY 140 | PRICE $694.92 | ACTION SELL
DAY 142 | PRICE $733.23 | ACTION BUY
DAY 145 | PRICE $772.16 | ACTION SELL
DAY 146 | PRICE $774.10 | ACTION BUY
DAY 148 | PRICE $785.66 | ACTION SELL
DAY 149 | PRICE $785.98 | ACTION BUY
DAY 151 | PRICE $842.61 | ACTION SELL
DAY 153 | PRICE $900.70 | ACTION BUY
DAY 159 | PRICE $850.88 | ACTION BUY
DAY 160 | PRICE $871.50 | ACTION SELL
DAY 161 | PRICE $865.48 | ACTION BUY
DAY 163 | PRICE $859.77 | ACTION BUY
DAY 165 | PRICE $884.33 | ACTION SELL
DAY 166 | PRICE $913.98 | ACTION BUY
DAY 167 | PRICE $878.80 | ACTION SELL
DAY 168 | PRICE $897.89 | ACTION BUY
DAY 169 | PRICE $899.01 | ACTION BUY
DAY 171 | PRICE $890.08 | ACTION SELL
DAY 174 | PRICE $897.11 | ACTION SELL
DAY 175 | PRICE $847.56 | ACTION BUY
DAY 176 | PRICE $800.36 | ACTION BUY
DAY 177 | PRICE $817.66 | ACTION SELL
DAY 178 | PRICE $759.40 | ACTION BUY
DAY 179 | PRICE $738.92 | ACTION SELL
DAY 188 | PRICE $865.12 | ACTION SELL
DAY 190 | PRICE $832.70 | ACTION BUY
DAY 193 | PRICE $809.18 | ACTION SELL
DAY 194 | PRICE $854.72 | ACTION SELL
DAY 195 | PRICE $866.22 | ACTION BUY
DAY 196 | PRICE $869.36 | ACTION SELL
DAY 197 | PRICE $868.48 | ACTION SELL
DAY 198 | PRICE $882.58 | ACTION SELL
DAY 205 | PRICE $869.00 | ACTION BUY
DAY 211 | PRICE $841.43 | ACTION SELL
DAY 214 | PRICE $847.68 | ACTION BUY
DAY 219 | PRICE $783.35 | ACTION BUY
DAY 221 | PRICE $760.07 | ACTION BUY
DAY 223 | PRICE $745.32 | ACTION SELL
DAY 226 | PRICE $764.97 | ACTION BUY
DAY 229 | PRICE $737.77 | ACTION SELL
DAY 230 | PRICE $689.64 | ACTION SELL
DAY 232 | PRICE $686.37 | ACTION BUY
DAY 234 | PRICE $661.71 | ACTION SELL
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
Initial Cash: $6504.00
Total Profit: -$7.16
Final Cash:  $6496.84
Price Change: $555.47 → $674.81 (21.48%)
