Evaluation of kospi_ours_fold4 with pg agent and none indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2149.95 | ACTION BUY
DAY 3 | PRICE $2258.09 | ACTION BUY
DAY 4 | PRICE $2172.33 | ACTION SELL
DAY 6 | PRICE $2214.77 | ACTION SELL
DAY 9 | PRICE $2005.81 | ACTION BUY
DAY 11 | PRICE $1591.12 | ACTION SELL
DAY 12 | PRICE $1645.28 | ACTION BUY
DAY 13 | PRICE $1685.37 | ACTION SELL
DAY 14 | PRICE $1801.80 | ACTION BUY
DAY 15 | PRICE $1828.13 | ACTION BUY
DAY 17 | PRICE $1894.29 | ACTION SELL
DAY 18 | PRICE $1905.17 | ACTION BUY
DAY 19 | PRICE $1968.59 | ACTION SELL
DAY 20 | PRICE $1997.94 | ACTION SELL
DAY 23 | PRICE $2079.02 | ACTION BUY
DAY 25 | PRICE $2108.26 | ACTION BUY
DAY 26 | PRICE $2164.03 | ACTION SELL
DAY 27 | PRICE $2165.60 | ACTION BUY
DAY 28 | PRICE $2214.28 | ACTION SELL
DAY 29 | PRICE $2237.21 | ACTION SELL
DAY 32 | PRICE $2353.17 | ACTION BUY
DAY 33 | PRICE $2336.98 | ACTION SELL
DAY 34 | PRICE $2341.29 | ACTION BUY
DAY 35 | PRICE $2369.12 | ACTION SELL
DAY 41 | PRICE $2321.23 | ACTION BUY
DAY 42 | PRICE $2315.30 | ACTION SELL
DAY 45 | PRICE $2605.03 | ACTION BUY
DAY 46 | PRICE $2611.67 | ACTION BUY
DAY 47 | PRICE $2700.92 | ACTION BUY
DAY 54 | PRICE $2962.70 | ACTION SELL
DAY 57 | PRICE $3035.46 | ACTION BUY
DAY 59 | PRICE $2951.53 | ACTION SELL
DAY 60 | PRICE $3027.20 | ACTION SELL
DAY 61 | PRICE $2971.04 | ACTION BUY
DAY 65 | PRICE $3165.49 | ACTION BUY
DAY 66 | PRICE $3176.55 | ACTION SELL
DAY 67 | PRICE $3133.64 | ACTION BUY
DAY 68 | PRICE $3103.88 | ACTION SELL
DAY 69 | PRICE $3149.46 | ACTION SELL
DAY 71 | PRICE $3218.67 | ACTION SELL
DAY 72 | PRICE $3226.98 | ACTION BUY
DAY 73 | PRICE $3262.58 | ACTION SELL
DAY 76 | PRICE $3188.80 | ACTION BUY
DAY 78 | PRICE $3246.09 | ACTION BUY
DAY 79 | PRICE $3202.32 | ACTION BUY
DAY 82 | PRICE $3064.65 | ACTION SELL
DAY 83 | PRICE $3132.77 | ACTION SELL
DAY 84 | PRICE $3186.79 | ACTION SELL
DAY 86 | PRICE $3107.98 | ACTION BUY
DAY 87 | PRICE $3046.43 | ACTION SELL
DAY 88 | PRICE $2949.01 | ACTION BUY
DAY 89 | PRICE $2990.44 | ACTION BUY
DAY 90 | PRICE $2983.29 | ACTION SELL
DAY 91 | PRICE $2976.87 | ACTION SELL
DAY 94 | PRICE $2980.73 | ACTION BUY
DAY 95 | PRICE $2890.78 | ACTION SELL
DAY 98 | PRICE $2962.07 | ACTION BUY
DAY 99 | PRICE $2999.30 | ACTION BUY
DAY 100 | PRICE $2973.08 | ACTION SELL
DAY 102 | PRICE $2857.26 | ACTION SELL
DAY 104 | PRICE $2712.87 | ACTION BUY
DAY 105 | PRICE $2735.08 | ACTION SELL
DAY 108 | PRICE $2644.10 | ACTION BUY
DAY 110 | PRICE $2686.58 | ACTION BUY
DAY 111 | PRICE $2733.22 | ACTION BUY
DAY 113 | PRICE $2658.40 | ACTION SELL
DAY 114 | PRICE $2705.32 | ACTION SELL
DAY 115 | PRICE $2663.83 | ACTION SELL
