Evaluation of kospi_ours_fold4 with pg agent and sharpe indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $2183.90 | ACTION BUY
DAY 2 | PRICE $2204.49 | ACTION BUY
DAY 3 | PRICE $2258.09 | ACTION SELL
DAY 7 | PRICE $2191.20 | ACTION SELL
DAY 9 | PRICE $2005.81 | ACTION BUY
DAY 11 | PRICE $1591.12 | ACTION BUY
DAY 12 | PRICE $1645.28 | ACTION SELL
DAY 16 | PRICE $1895.98 | ACTION BUY
DAY 17 | PRICE $1894.29 | ACTION BUY
DAY 18 | PRICE $1905.17 | ACTION SELL
DAY 20 | PRICE $1997.94 | ACTION SELL
DAY 21 | PRICE $2059.14 | ACTION BUY
DAY 22 | PRICE $2166.01 | ACTION SELL
DAY 23 | PRICE $2079.02 | ACTION BUY
DAY 24 | PRICE $2110.51 | ACTION SELL
DAY 25 | PRICE $2108.26 | ACTION SELL
DAY 27 | PRICE $2165.60 | ACTION BUY
DAY 29 | PRICE $2237.21 | ACTION SELL
DAY 37 | PRICE $2287.44 | ACTION BUY
DAY 38 | PRICE $2327.83 | ACTION BUY
DAY 41 | PRICE $2321.23 | ACTION SELL
DAY 42 | PRICE $2315.30 | ACTION BUY
DAY 43 | PRICE $2435.59 | ACTION SELL
DAY 44 | PRICE $2533.34 | ACTION SELL
DAY 47 | PRICE $2700.92 | ACTION BUY
DAY 49 | PRICE $2733.64 | ACTION SELL
DAY 58 | PRICE $3029.37 | ACTION BUY
DAY 60 | PRICE $3027.20 | ACTION SELL
DAY 62 | PRICE $3061.40 | ACTION BUY
DAY 65 | PRICE $3165.49 | ACTION SELL
DAY 68 | PRICE $3103.88 | ACTION BUY
DAY 69 | PRICE $3149.46 | ACTION BUY
DAY 70 | PRICE $3171.85 | ACTION SELL
DAY 73 | PRICE $3262.58 | ACTION SELL
DAY 74 | PRICE $3289.18 | ACTION BUY
