Evaluation of kospi_ours_fold5 with pg agent and cvar indicator
Namespace(stock='kospi_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2164.27 | ACTION BUY
DAY 2 | PRICE $2232.94 | ACTION SELL
DAY 5 | PRICE $2182.25 | ACTION BUY
DAY 8 | PRICE $2049.15 | ACTION SELL
DAY 14 | PRICE $1818.30 | ACTION BUY
DAY 15 | PRICE $1893.19 | ACTION SELL
DAY 16 | PRICE $1880.71 | ACTION BUY
DAY 17 | PRICE $1902.55 | ACTION SELL
DAY 20 | PRICE $2019.82 | ACTION BUY
DAY 21 | PRICE $2107.69 | ACTION BUY
DAY 23 | PRICE $2105.26 | ACTION SELL
DAY 24 | PRICE $2143.91 | ACTION SELL
DAY 26 | PRICE $2150.89 | ACTION BUY
DAY 27 | PRICE $2190.66 | ACTION SELL
DAY 33 | PRICE $2344.38 | ACTION BUY
DAY 34 | PRICE $2382.23 | ACTION SELL
DAY 42 | PRICE $2339.95 | ACTION BUY
DAY 43 | PRICE $2459.50 | ACTION SELL
DAY 44 | PRICE $2536.78 | ACTION BUY
DAY 45 | PRICE $2583.41 | ACTION SELL
DAY 47 | PRICE $2703.30 | ACTION BUY
DAY 48 | PRICE $2761.50 | ACTION BUY
DAY 49 | PRICE $2716.28 | ACTION BUY
DAY 51 | PRICE $3096.19 | ACTION SELL
DAY 53 | PRICE $3142.80 | ACTION SELL
DAY 54 | PRICE $2947.24 | ACTION SELL
DAY 57 | PRICE $2993.46 | ACTION BUY
DAY 58 | PRICE $3022.54 | ACTION BUY
DAY 59 | PRICE $2964.30 | ACTION SELL
DAY 60 | PRICE $3054.93 | ACTION SELL
DAY 67 | PRICE $3179.63 | ACTION BUY
DAY 69 | PRICE $3137.81 | ACTION SELL
DAY 74 | PRICE $3291.30 | ACTION BUY
DAY 75 | PRICE $3285.29 | ACTION SELL
DAY 80 | PRICE $3251.74 | ACTION BUY
DAY 81 | PRICE $3134.48 | ACTION BUY
DAY 84 | PRICE $3176.81 | ACTION BUY
DAY 85 | PRICE $3137.32 | ACTION SELL
DAY 86 | PRICE $3119.40 | ACTION SELL
DAY 91 | PRICE $2995.58 | ACTION BUY
DAY 94 | PRICE $2992.14 | ACTION BUY
DAY 95 | PRICE $2822.73 | ACTION SELL
DAY 96 | PRICE $2960.90 | ACTION SELL
DAY 97 | PRICE $2976.16 | ACTION BUY
DAY 98 | PRICE $2955.90 | ACTION SELL
DAY 100 | PRICE $2936.73 | ACTION BUY
DAY 101 | PRICE $2950.31 | ACTION SELL
DAY 106 | PRICE $2694.90 | ACTION SELL
DAY 107 | PRICE $2658.25 | ACTION BUY
DAY 108 | PRICE $2605.81 | ACTION SELL
DAY 112 | PRICE $2730.66 | ACTION BUY
DAY 113 | PRICE $2672.60 | ACTION SELL
DAY 115 | PRICE $2615.50 | ACTION BUY
DAY 116 | PRICE $2667.23 | ACTION SELL
DAY 120 | PRICE $2663.00 | ACTION BUY
DAY 121 | PRICE $2504.51 | ACTION SELL
DAY 126 | PRICE $2344.12 | ACTION BUY
DAY 127 | PRICE $2385.65 | ACTION SELL
DAY 132 | PRICE $2433.48 | ACTION BUY
DAY 137 | PRICE $2215.08 | ACTION SELL
DAY 138 | PRICE $2177.66 | ACTION BUY
DAY 140 | PRICE $2273.73 | ACTION BUY
DAY 141 | PRICE $2354.22 | ACTION SELL
DAY 142 | PRICE $2470.60 | ACTION SELL
DAY 143 | PRICE $2409.36 | ACTION BUY
DAY 144 | PRICE $2401.95 | ACTION SELL
DAY 147 | PRICE $2342.28 | ACTION BUY
DAY 148 | PRICE $2304.20 | ACTION BUY
DAY 149 | PRICE $2180.67 | ACTION BUY
DAY 150 | PRICE $2344.18 | ACTION SELL
DAY 154 | PRICE $2466.61 | ACTION BUY
DAY 156 | PRICE $2422.62 | ACTION SELL
DAY 157 | PRICE $2423.08 | ACTION SELL
DAY 158 | PRICE $2383.19 | ACTION SELL
DAY 162 | PRICE $2473.89 | ACTION BUY
DAY 163 | PRICE $2560.53 | ACTION SELL
DAY 165 | PRICE $2489.58 | ACTION BUY
DAY 166 | PRICE $2495.63 | ACTION SELL
DAY 167 | PRICE $2474.90 | ACTION BUY
DAY 168 | PRICE $2561.10 | ACTION SELL
DAY 169 | PRICE $2575.98 | ACTION BUY
DAY 170 | PRICE $2595.33 | ACTION SELL
DAY 173 | PRICE $2550.02 | ACTION BUY
DAY 174 | PRICE $2550.67 | ACTION SELL
DAY 175 | PRICE $2587.75 | ACTION BUY
