Evaluation of kospi_ours_fold5 with pg agent and kelly indicator
Namespace(stock='kospi_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $2232.94 | ACTION BUY
DAY 3 | PRICE $2238.25 | ACTION BUY
DAY 5 | PRICE $2182.25 | ACTION SELL
DAY 6 | PRICE $2230.30 | ACTION SELL
DAY 10 | PRICE $1808.56 | ACTION BUY
DAY 11 | PRICE $1439.43 | ACTION SELL
DAY 21 | PRICE $2107.69 | ACTION BUY
DAY 23 | PRICE $2105.26 | ACTION BUY
DAY 24 | PRICE $2143.91 | ACTION SELL
DAY 25 | PRICE $2101.33 | ACTION BUY
DAY 29 | PRICE $2252.24 | ACTION SELL
DAY 30 | PRICE $2283.95 | ACTION BUY
DAY 32 | PRICE $2270.85 | ACTION SELL
DAY 34 | PRICE $2382.23 | ACTION BUY
DAY 35 | PRICE $2388.56 | ACTION BUY
DAY 36 | PRICE $2398.69 | ACTION SELL
DAY 37 | PRICE $2268.88 | ACTION BUY
DAY 38 | PRICE $2355.39 | ACTION SELL
DAY 40 | PRICE $2356.32 | ACTION BUY
DAY 41 | PRICE $2316.47 | ACTION SELL
DAY 43 | PRICE $2459.50 | ACTION BUY
DAY 45 | PRICE $2583.41 | ACTION SELL
DAY 46 | PRICE $2644.53 | ACTION BUY
DAY 55 | PRICE $3085.59 | ACTION SELL
DAY 58 | PRICE $3022.54 | ACTION BUY
DAY 59 | PRICE $2964.30 | ACTION SELL
DAY 61 | PRICE $2987.83 | ACTION SELL
DAY 62 | PRICE $3069.68 | ACTION SELL
DAY 64 | PRICE $3178.99 | ACTION BUY
DAY 65 | PRICE $3174.52 | ACTION SELL
DAY 71 | PRICE $3233.40 | ACTION BUY
DAY 72 | PRICE $3238.51 | ACTION BUY
DAY 73 | PRICE $3225.56 | ACTION SELL
DAY 74 | PRICE $3291.30 | ACTION BUY
DAY 75 | PRICE $3285.29 | ACTION SELL
DAY 76 | PRICE $3227.51 | ACTION SELL
DAY 77 | PRICE $3236.39 | ACTION BUY
DAY 78 | PRICE $3224.95 | ACTION BUY
DAY 79 | PRICE $3194.00 | ACTION BUY
DAY 84 | PRICE $3176.81 | ACTION SELL
DAY 85 | PRICE $3137.32 | ACTION SELL
DAY 87 | PRICE $3015.01 | ACTION BUY
DAY 88 | PRICE $2901.51 | ACTION SELL
DAY 89 | PRICE $3014.19 | ACTION SELL
DAY 96 | PRICE $2960.90 | ACTION BUY
DAY 97 | PRICE $2976.16 | ACTION BUY
DAY 98 | PRICE $2955.90 | ACTION SELL
DAY 99 | PRICE $2991.55 | ACTION SELL
DAY 101 | PRICE $2950.31 | ACTION BUY
DAY 102 | PRICE $2832.18 | ACTION SELL
DAY 105 | PRICE $2688.24 | ACTION BUY
DAY 108 | PRICE $2605.81 | ACTION SELL
DAY 112 | PRICE $2730.66 | ACTION BUY
DAY 115 | PRICE $2615.50 | ACTION SELL
DAY 119 | PRICE $2602.01 | ACTION BUY
DAY 120 | PRICE $2663.00 | ACTION SELL
DAY 123 | PRICE $2365.86 | ACTION BUY
DAY 124 | PRICE $2276.63 | ACTION SELL
DAY 131 | PRICE $2431.83 | ACTION BUY
DAY 132 | PRICE $2433.48 | ACTION BUY
DAY 133 | PRICE $2399.26 | ACTION SELL
DAY 134 | PRICE $2401.83 | ACTION BUY
DAY 135 | PRICE $2309.10 | ACTION BUY
DAY 136 | PRICE $2170.14 | ACTION BUY
DAY 139 | PRICE $2229.85 | ACTION SELL
DAY 140 | PRICE $2273.73 | ACTION SELL
DAY 141 | PRICE $2354.22 | ACTION SELL
DAY 142 | PRICE $2470.60 | ACTION SELL
DAY 145 | PRICE $2413.05 | ACTION BUY
DAY 146 | PRICE $2368.47 | ACTION SELL
DAY 148 | PRICE $2304.20 | ACTION BUY
DAY 150 | PRICE $2344.18 | ACTION BUY
DAY 151 | PRICE $2374.65 | ACTION BUY
DAY 153 | PRICE $2454.60 | ACTION SELL
DAY 154 | PRICE $2466.61 | ACTION SELL
DAY 155 | PRICE $2442.07 | ACTION BUY
DAY 156 | PRICE $2422.62 | ACTION BUY
DAY 158 | PRICE $2383.19 | ACTION BUY
DAY 159 | PRICE $2382.80 | ACTION SELL
DAY 161 | PRICE $2456.54 | ACTION BUY
DAY 164 | PRICE $2532.32 | ACTION SELL
DAY 166 | PRICE $2495.63 | ACTION SELL
DAY 168 | PRICE $2561.10 | ACTION SELL
DAY 169 | PRICE $2575.98 | ACTION SELL
DAY 170 | PRICE $2595.33 | ACTION BUY
DAY 171 | PRICE $2602.52 | ACTION BUY
DAY 173 | PRICE $2550.02 | ACTION SELL
DAY 176 | PRICE $2589.29 | ACTION BUY
DAY 178 | PRICE $2591.30 | ACTION SELL
DAY 179 | PRICE $2590.02 | ACTION SELL
DAY 180 | PRICE $2489.63 | ACTION BUY
DAY 181 | PRICE $2502.05 | ACTION SELL
DAY 182 | PRICE $2551.04 | ACTION BUY
DAY 183 | PRICE $2530.05 | ACTION SELL
DAY 184 | PRICE $2572.37 | ACTION BUY
DAY 185 | PRICE $2486.14 | ACTION SELL
DAY 187 | PRICE $2452.83 | ACTION BUY
