Evaluation of kospi_ours_fold5 with pg agent and var indicator
Namespace(stock='kospi_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2164.27 | ACTION BUY
DAY 4 | PRICE $2139.72 | ACTION BUY
DAY 6 | PRICE $2230.30 | ACTION BUY
DAY 7 | PRICE $2186.72 | ACTION BUY
DAY 8 | PRICE $2049.15 | ACTION SELL
DAY 9 | PRICE $2059.99 | ACTION BUY
DAY 11 | PRICE $1439.43 | ACTION SELL
DAY 12 | PRICE $1679.23 | ACTION BUY
DAY 13 | PRICE $1664.13 | ACTION SELL
DAY 14 | PRICE $1818.30 | ACTION SELL
DAY 15 | PRICE $1893.19 | ACTION BUY
DAY 17 | PRICE $1902.55 | ACTION SELL
DAY 18 | PRICE $1897.24 | ACTION SELL
DAY 19 | PRICE $1972.12 | ACTION BUY
DAY 22 | PRICE $2178.12 | ACTION SELL
DAY 24 | PRICE $2143.91 | ACTION BUY
DAY 26 | PRICE $2150.89 | ACTION BUY
DAY 28 | PRICE $2221.62 | ACTION SELL
DAY 29 | PRICE $2252.24 | ACTION SELL
DAY 30 | PRICE $2283.95 | ACTION BUY
DAY 32 | PRICE $2270.85 | ACTION SELL
DAY 33 | PRICE $2344.38 | ACTION BUY
DAY 35 | PRICE $2388.56 | ACTION BUY
DAY 36 | PRICE $2398.69 | ACTION SELL
DAY 38 | PRICE $2355.39 | ACTION BUY
DAY 43 | PRICE $2459.50 | ACTION SELL
DAY 44 | PRICE $2536.78 | ACTION BUY
DAY 45 | PRICE $2583.41 | ACTION SELL
DAY 46 | PRICE $2644.53 | ACTION BUY
DAY 51 | PRICE $3096.19 | ACTION SELL
DAY 54 | PRICE $2947.24 | ACTION BUY
DAY 56 | PRICE $3115.48 | ACTION SELL
DAY 58 | PRICE $3022.54 | ACTION BUY
DAY 60 | PRICE $3054.93 | ACTION SELL
DAY 61 | PRICE $2987.83 | ACTION BUY
DAY 63 | PRICE $3122.09 | ACTION SELL
DAY 64 | PRICE $3178.99 | ACTION SELL
DAY 65 | PRICE $3174.52 | ACTION BUY
DAY 66 | PRICE $3161.06 | ACTION BUY
DAY 73 | PRICE $3225.56 | ACTION SELL
DAY 74 | PRICE $3291.30 | ACTION BUY
DAY 99 | PRICE $2991.55 | ACTION SELL
DAY 100 | PRICE $2936.73 | ACTION BUY
DAY 101 | PRICE $2950.31 | ACTION SELL
DAY 102 | PRICE $2832.18 | ACTION BUY
DAY 103 | PRICE $2708.10 | ACTION SELL
DAY 104 | PRICE $2718.94 | ACTION BUY
DAY 105 | PRICE $2688.24 | ACTION SELL
DAY 106 | PRICE $2694.90 | ACTION BUY
DAY 108 | PRICE $2605.81 | ACTION SELL
DAY 109 | PRICE $2630.03 | ACTION SELL
DAY 111 | PRICE $2740.02 | ACTION SELL
DAY 112 | PRICE $2730.66 | ACTION BUY
DAY 120 | PRICE $2663.00 | ACTION BUY
DAY 122 | PRICE $2372.35 | ACTION BUY
DAY 124 | PRICE $2276.63 | ACTION BUY
DAY 128 | PRICE $2437.13 | ACTION SELL
DAY 129 | PRICE $2477.76 | ACTION BUY
DAY 132 | PRICE $2433.48 | ACTION SELL
DAY 133 | PRICE $2399.26 | ACTION SELL
DAY 134 | PRICE $2401.83 | ACTION SELL
DAY 136 | PRICE $2170.14 | ACTION SELL
DAY 139 | PRICE $2229.85 | ACTION BUY
DAY 140 | PRICE $2273.73 | ACTION BUY
DAY 141 | PRICE $2354.22 | ACTION SELL
DAY 142 | PRICE $2470.60 | ACTION BUY
DAY 144 | PRICE $2401.95 | ACTION BUY
DAY 146 | PRICE $2368.47 | ACTION SELL
DAY 147 | PRICE $2342.28 | ACTION SELL
DAY 148 | PRICE $2304.20 | ACTION SELL
DAY 149 | PRICE $2180.67 | ACTION BUY
DAY 150 | PRICE $2344.18 | ACTION SELL
DAY 151 | PRICE $2374.65 | ACTION BUY
DAY 154 | PRICE $2466.61 | ACTION BUY
DAY 157 | PRICE $2423.08 | ACTION SELL
DAY 158 | PRICE $2383.19 | ACTION SELL
DAY 161 | PRICE $2456.54 | ACTION BUY
DAY 162 | PRICE $2473.89 | ACTION BUY
DAY 163 | PRICE $2560.53 | ACTION BUY
DAY 164 | PRICE $2532.32 | ACTION SELL
DAY 165 | PRICE $2489.58 | ACTION BUY
DAY 169 | PRICE $2575.98 | ACTION SELL
DAY 170 | PRICE $2595.33 | ACTION BUY
DAY 179 | PRICE $2590.02 | ACTION SELL
DAY 180 | PRICE $2489.63 | ACTION SELL
DAY 181 | PRICE $2502.05 | ACTION SELL
DAY 184 | PRICE $2572.37 | ACTION BUY
DAY 185 | PRICE $2486.14 | ACTION BUY
DAY 186 | PRICE $2402.50 | ACTION SELL
DAY 187 | PRICE $2452.83 | ACTION BUY
DAY 189 | PRICE $2293.05 | ACTION SELL
DAY 191 | PRICE $2393.64 | ACTION SELL
DAY 192 | PRICE $2463.59 | ACTION BUY
DAY 193 | PRICE $2496.63 | ACTION SELL
DAY 195 | PRICE $2507.14 | ACTION BUY
DAY 197 | PRICE $2599.51 | ACTION BUY
DAY 201 | PRICE $2454.34 | ACTION SELL
DAY 202 | PRICE $2486.97 | ACTION SELL
DAY 203 | PRICE $2588.09 | ACTION BUY
DAY 204 | PRICE $2625.01 | ACTION SELL
DAY 205 | PRICE $2665.21 | ACTION BUY
DAY 208 | PRICE $2665.28 | ACTION BUY
DAY 209 | PRICE $2731.70 | ACTION BUY
DAY 211 | PRICE $2706.74 | ACTION SELL
DAY 215 | PRICE $2727.93 | ACTION BUY
DAY 219 | PRICE $2705.23 | ACTION SELL
DAY 221 | PRICE $2777.33 | ACTION BUY
DAY 222 | PRICE $2782.40 | ACTION SELL
DAY 223 | PRICE $2836.21 | ACTION BUY
DAY 224 | PRICE $2844.88 | ACTION SELL
DAY 225 | PRICE $2776.99 | ACTION BUY
DAY 226 | PRICE $2715.75 | ACTION SELL
DAY 227 | PRICE $2666.40 | ACTION SELL
DAY 228 | PRICE $2575.90 | ACTION SELL
DAY 230 | PRICE $2688.79 | ACTION BUY
DAY 232 | PRICE $2491.30 | ACTION BUY
DAY 234 | PRICE $2630.30 | ACTION BUY
DAY 236 | PRICE $2615.47 | ACTION SELL
DAY 240 | PRICE $2481.53 | ACTION SELL
DAY 241 | PRICE $2465.15 | ACTION BUY
DAY 244 | PRICE $2384.51 | ACTION SELL
DAY 245 | PRICE $2455.05 | ACTION BUY
DAY 245 | PRICE $2432.42 | ACTION LIQUIDATE
DAY 245 | PRICE $2432.42 | ACTION LIQUIDATE
Initial Cash: $9812.30
Total Profit: -$1226.63
Final Cash:  $8585.67
Price Change: $2177.40 → $2432.42 (11.71%)
