Evaluation of nasdaq_ours_fold1 with pg agent and none indicator
Namespace(stock='nasdaq_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $9158.50 | ACTION BUY
DAY 2 | PRICE $9301.32 | ACTION BUY
DAY 4 | PRICE $9123.22 | ACTION SELL
DAY 5 | PRICE $9496.53 | ACTION BUY
DAY 6 | PRICE $9693.05 | ACTION BUY
DAY 7 | PRICE $9166.01 | ACTION BUY
DAY 14 | PRICE $8338.08 | ACTION SELL
DAY 18 | PRICE $9000.07 | ACTION BUY
DAY 21 | PRICE $9627.17 | ACTION SELL
DAY 24 | PRICE $9842.22 | ACTION BUY
DAY 28 | PRICE $10407.87 | ACTION SELL
DAY 30 | PRICE $10963.41 | ACTION SELL
DAY 31 | PRICE $11007.50 | ACTION BUY
DAY 34 | PRICE $11361.35 | ACTION SELL
DAY 37 | PRICE $10639.98 | ACTION BUY
DAY 38 | PRICE $11033.69 | ACTION BUY
DAY 39 | PRICE $11476.66 | ACTION SELL
DAY 40 | PRICE $11648.53 | ACTION SELL
DAY 42 | PRICE $10822.57 | ACTION SELL
DAY 45 | PRICE $11852.51 | ACTION BUY
DAY 46 | PRICE $12027.16 | ACTION BUY
DAY 51 | PRICE $12649.99 | ACTION SELL
DAY 53 | PRICE $13454.08 | ACTION SELL
DAY 55 | PRICE $13631.62 | ACTION BUY
DAY 56 | PRICE $13916.84 | ACTION SELL
DAY 57 | PRICE $13842.60 | ACTION SELL
DAY 62 | PRICE $12878.72 | ACTION BUY
DAY 63 | PRICE $13582.75 | ACTION BUY
DAY 64 | PRICE $13783.95 | ACTION BUY
DAY 69 | PRICE $13265.40 | ACTION SELL
DAY 73 | PRICE $14052.16 | ACTION BUY
DAY 78 | PRICE $14498.65 | ACTION SELL
DAY 79 | PRICE $14645.63 | ACTION SELL
DAY 81 | PRICE $14692.41 | ACTION SELL
DAY 84 | PRICE $15302.11 | ACTION BUY
DAY 85 | PRICE $15245.17 | ACTION SELL
DAY 86 | PRICE $15047.14 | ACTION BUY
DAY 87 | PRICE $14932.51 | ACTION SELL
DAY 90 | PRICE $14699.52 | ACTION BUY
DAY 91 | PRICE $15094.14 | ACTION SELL
DAY 96 | PRICE $15456.09 | ACTION BUY
DAY 97 | PRICE $14931.06 | ACTION BUY
DAY 99 | PRICE $14960.37 | ACTION SELL
DAY 102 | PRICE $14530.23 | ACTION BUY
DAY 103 | PRICE $14482.94 | ACTION BUY
DAY 104 | PRICE $13414.14 | ACTION SELL
DAY 108 | PRICE $13032.17 | ACTION SELL
DAY 110 | PRICE $13039.79 | ACTION BUY
DAY 112 | PRICE $13921.65 | ACTION SELL
DAY 113 | PRICE $14383.45 | ACTION SELL
DAY 115 | PRICE $13353.66 | ACTION BUY
DAY 116 | PRICE $13140.83 | ACTION BUY
DAY 117 | PRICE $12487.86 | ACTION SELL
DAY 118 | PRICE $12183.56 | ACTION BUY
DAY 121 | PRICE $11406.16 | ACTION BUY
DAY 122 | PRICE $11966.62 | ACTION SELL
DAY 123 | PRICE $11328.27 | ACTION BUY
DAY 125 | PRICE $11487.07 | ACTION SELL
DAY 128 | PRICE $11448.97 | ACTION BUY
DAY 129 | PRICE $11533.37 | ACTION SELL
DAY 130 | PRICE $12260.48 | ACTION SELL
DAY 131 | PRICE $12438.86 | ACTION BUY
DAY 132 | PRICE $12979.24 | ACTION BUY
DAY 134 | PRICE $11790.03 | ACTION SELL
DAY 135 | PRICE $11555.08 | ACTION BUY
DAY 136 | PRICE $11602.76 | ACTION BUY
DAY 147 | PRICE $11378.75 | ACTION SELL
DAY 148 | PRICE $10939.47 | ACTION BUY
DAY 149 | PRICE $10775.61 | ACTION SELL
DAY 151 | PRICE $10324.70 | ACTION SELL
DAY 152 | PRICE $10619.12 | ACTION SELL
DAY 153 | PRICE $11024.72 | ACTION BUY
DAY 154 | PRICE $11282.65 | ACTION BUY
DAY 156 | PRICE $11836.78 | ACTION SELL
DAY 158 | PRICE $11445.17 | ACTION BUY
DAY 159 | PRICE $11349.87 | ACTION BUY
DAY 161 | PRICE $11238.44 | ACTION SELL
DAY 162 | PRICE $11666.85 | ACTION SELL
DAY 164 | PRICE $11931.84 | ACTION BUY
DAY 167 | PRICE $11950.92 | ACTION SELL
DAY 170 | PRICE $12512.26 | ACTION BUY
DAY 171 | PRICE $12604.89 | ACTION SELL
DAY 172 | PRICE $13125.86 | ACTION SELL
DAY 173 | PRICE $13229.33 | ACTION BUY
DAY 174 | PRICE $13680.96 | ACTION BUY
DAY 178 | PRICE $14176.11 | ACTION SELL
DAY 180 | PRICE $14215.64 | ACTION SELL
DAY 181 | PRICE $13769.34 | ACTION SELL
DAY 183 | PRICE $13484.38 | ACTION BUY
DAY 184 | PRICE $13677.06 | ACTION SELL
DAY 187 | PRICE $13467.28 | ACTION BUY
DAY 188 | PRICE $12963.16 | ACTION SELL
DAY 191 | PRICE $13275.30 | ACTION BUY
DAY 193 | PRICE $12875.20 | ACTION SELL
DAY 194 | PRICE $13573.58 | ACTION BUY
DAY 195 | PRICE $14060.70 | ACTION BUY
DAY 197 | PRICE $14127.05 | ACTION BUY
DAY 199 | PRICE $14642.23 | ACTION SELL
DAY 202 | PRICE $14560.20 | ACTION SELL
DAY 203 | PRICE $14863.81 | ACTION SELL
DAY 206 | PRICE $15515.25 | ACTION BUY
DAY 208 | PRICE $15451.65 | ACTION BUY
DAY 209 | PRICE $15924.72 | ACTION BUY
DAY 212 | PRICE $16127.48 | ACTION SELL
DAY 214 | PRICE $16046.56 | ACTION SELL
DAY 216 | PRICE $15587.50 | ACTION BUY
DAY 217 | PRICE $15343.91 | ACTION SELL
DAY 220 | PRICE $16693.45 | ACTION SELL
DAY 225 | PRICE $17494.02 | ACTION BUY
DAY 227 | PRICE $18381.60 | ACTION SELL
DAY 229 | PRICE $17968.10 | ACTION BUY
DAY 230 | PRICE $17015.38 | ACTION SELL
DAY 236 | PRICE $16787.84 | ACTION BUY
DAY 238 | PRICE $18040.62 | ACTION SELL
DAY 244 | PRICE $18730.21 | ACTION BUY
DAY 245 | PRICE $19191.13 | ACTION BUY
DAY 248 | PRICE $19688.59 | ACTION SELL
DAY 249 | PRICE $19897.38 | ACTION BUY
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
Initial Cash: $38982.30
Total Profit: $17946.18
Final Cash:  $56928.48
Price Change: $9010.89 → $19553.40 (117.00%)
