Evaluation of nasdaq_ours_fold1 with pg agent and sharpe indicator
Namespace(stock='nasdaq_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $9496.53 | ACTION BUY
DAY 7 | PRICE $9166.01 | ACTION BUY
DAY 8 | PRICE $8543.35 | ACTION BUY
DAY 9 | PRICE $7943.16 | ACTION SELL
DAY 12 | PRICE $7539.97 | ACTION SELL
DAY 13 | PRICE $7617.79 | ACTION SELL
DAY 15 | PRICE $8215.69 | ACTION BUY
DAY 16 | PRICE $8600.70 | ACTION BUY
DAY 18 | PRICE $9000.07 | ACTION SELL
DAY 19 | PRICE $9183.25 | ACTION BUY
DAY 22 | PRICE $9962.58 | ACTION SELL
DAY 26 | PRICE $10379.91 | ACTION SELL
DAY 27 | PRICE $10364.39 | ACTION BUY
DAY 28 | PRICE $10407.87 | ACTION SELL
DAY 30 | PRICE $10963.41 | ACTION BUY
DAY 31 | PRICE $11007.50 | ACTION SELL
DAY 32 | PRICE $11090.03 | ACTION BUY
DAY 33 | PRICE $11551.01 | ACTION SELL
DAY 34 | PRICE $11361.35 | ACTION BUY
DAY 35 | PRICE $10728.03 | ACTION SELL
DAY 38 | PRICE $11033.69 | ACTION BUY
DAY 39 | PRICE $11476.66 | ACTION BUY
DAY 40 | PRICE $11648.53 | ACTION BUY
DAY 41 | PRICE $11434.86 | ACTION SELL
DAY 42 | PRICE $10822.57 | ACTION SELL
DAY 43 | PRICE $11737.13 | ACTION SELL
DAY 45 | PRICE $11852.51 | ACTION BUY
DAY 46 | PRICE $12027.16 | ACTION BUY
DAY 47 | PRICE $12460.55 | ACTION SELL
DAY 48 | PRICE $12432.71 | ACTION SELL
DAY 51 | PRICE $12649.99 | ACTION BUY
DAY 52 | PRICE $13051.07 | ACTION SELL
DAY 55 | PRICE $13631.62 | ACTION BUY
DAY 56 | PRICE $13916.84 | ACTION SELL
DAY 57 | PRICE $13842.60 | ACTION BUY
DAY 58 | PRICE $13024.53 | ACTION BUY
DAY 59 | PRICE $12397.05 | ACTION SELL
DAY 60 | PRICE $13158.72 | ACTION BUY
DAY 62 | PRICE $12878.72 | ACTION SELL
DAY 63 | PRICE $13582.75 | ACTION SELL
DAY 66 | PRICE $14019.50 | ACTION BUY
DAY 68 | PRICE $13401.75 | ACTION SELL
DAY 72 | PRICE $13831.98 | ACTION BUY
DAY 73 | PRICE $14052.16 | ACTION SELL
DAY 74 | PRICE $14121.00 | ACTION BUY
DAY 75 | PRICE $14471.38 | ACTION BUY
DAY 76 | PRICE $14580.79 | ACTION SELL
DAY 77 | PRICE $14632.95 | ACTION BUY
DAY 80 | PRICE $14734.12 | ACTION SELL
DAY 81 | PRICE $14692.41 | ACTION SELL
DAY 82 | PRICE $14516.30 | ACTION BUY
