Evaluation of nasdaq_ours_fold3 with pg agent and kelly indicator
Namespace(stock='nasdaq_ours_fold3', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 4 | PRICE $9374.05 | ACTION BUY
DAY 6 | PRICE $9777.10 | ACTION BUY
DAY 7 | PRICE $8927.80 | ACTION SELL
DAY 11 | PRICE $7276.40 | ACTION BUY
DAY 13 | PRICE $7901.94 | ACTION SELL
DAY 15 | PRICE $8475.20 | ACTION BUY
DAY 16 | PRICE $8825.83 | ACTION BUY
DAY 17 | PRICE $8932.85 | ACTION SELL
DAY 18 | PRICE $8705.25 | ACTION BUY
DAY 19 | PRICE $9254.85 | ACTION BUY
DAY 26 | PRICE $10368.04 | ACTION SELL
DAY 28 | PRICE $10399.86 | ACTION BUY
DAY 29 | PRICE $10831.15 | ACTION SELL
DAY 34 | PRICE $10837.20 | ACTION BUY
DAY 35 | PRICE $11127.98 | ACTION SELL
DAY 36 | PRICE $10737.52 | ACTION SELL
DAY 37 | PRICE $11065.63 | ACTION SELL
DAY 38 | PRICE $11124.45 | ACTION SELL
DAY 42 | PRICE $11004.84 | ACTION BUY
DAY 43 | PRICE $11424.61 | ACTION SELL
DAY 45 | PRICE $11863.45 | ACTION BUY
DAY 46 | PRICE $12217.35 | ACTION SELL
DAY 47 | PRICE $12290.78 | ACTION BUY
DAY 48 | PRICE $12566.38 | ACTION BUY
DAY 49 | PRICE $12758.67 | ACTION BUY
DAY 55 | PRICE $13894.15 | ACTION SELL
DAY 56 | PRICE $13995.45 | ACTION BUY
DAY 57 | PRICE $13003.98 | ACTION SELL
DAY 58 | PRICE $13352.00 | ACTION BUY
DAY 61 | PRICE $13202.43 | ACTION SELL
DAY 63 | PRICE $13653.58 | ACTION BUY
DAY 64 | PRICE $13839.04 | ACTION SELL
DAY 65 | PRICE $13706.86 | ACTION SELL
DAY 66 | PRICE $14034.70 | ACTION BUY
DAY 67 | PRICE $13553.93 | ACTION BUY
DAY 72 | PRICE $13904.40 | ACTION SELL
DAY 73 | PRICE $13998.93 | ACTION BUY
DAY 75 | PRICE $14439.40 | ACTION SELL
DAY 76 | PRICE $14552.26 | ACTION BUY
DAY 86 | PRICE $14530.07 | ACTION SELL
DAY 88 | PRICE $14181.69 | ACTION BUY
DAY 97 | PRICE $15507.66 | ACTION SELL
DAY 98 | PRICE $15097.35 | ACTION SELL
DAY 99 | PRICE $15015.02 | ACTION SELL
DAY 100 | PRICE $15679.85 | ACTION BUY
DAY 102 | PRICE $15117.29 | ACTION BUY
DAY 103 | PRICE $14140.78 | ACTION SELL
DAY 104 | PRICE $13322.66 | ACTION SELL
DAY 107 | PRICE $13704.70 | ACTION BUY
DAY 109 | PRICE $13224.98 | ACTION BUY
DAY 110 | PRICE $12830.37 | ACTION SELL
DAY 111 | PRICE $13528.06 | ACTION BUY
DAY 112 | PRICE $14010.79 | ACTION BUY
