Evaluation of nasdaq_ours_fold3 with pg agent and var indicator
Namespace(stock='nasdaq_ours_fold3', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $9617.21 | ACTION BUY
DAY 7 | PRICE $8927.80 | ACTION SELL
DAY 8 | PRICE $8757.66 | ACTION BUY
DAY 10 | PRICE $6686.36 | ACTION BUY
DAY 11 | PRICE $7276.40 | ACTION SELL
DAY 12 | PRICE $7301.98 | ACTION SELL
DAY 14 | PRICE $8393.27 | ACTION BUY
DAY 15 | PRICE $8475.20 | ACTION BUY
DAY 17 | PRICE $8932.85 | ACTION BUY
DAY 20 | PRICE $9324.73 | ACTION SELL
DAY 21 | PRICE $9685.35 | ACTION BUY
DAY 22 | PRICE $9413.62 | ACTION SELL
DAY 24 | PRICE $9749.07 | ACTION SELL
DAY 25 | PRICE $10354.98 | ACTION SELL
DAY 28 | PRICE $10399.86 | ACTION BUY
DAY 29 | PRICE $10831.15 | ACTION SELL
DAY 30 | PRICE $10849.46 | ACTION BUY
DAY 32 | PRICE $11297.53 | ACTION BUY
DAY 33 | PRICE $11697.42 | ACTION SELL
DAY 34 | PRICE $10837.20 | ACTION BUY
DAY 35 | PRICE $11127.98 | ACTION SELL
DAY 37 | PRICE $11065.63 | ACTION SELL
DAY 47 | PRICE $12290.78 | ACTION BUY
DAY 48 | PRICE $12566.38 | ACTION SELL
DAY 54 | PRICE $13132.47 | ACTION BUY
DAY 59 | PRICE $12882.49 | ACTION BUY
DAY 61 | PRICE $13202.43 | ACTION SELL
DAY 62 | PRICE $12922.57 | ACTION SELL
DAY 65 | PRICE $13706.86 | ACTION BUY
DAY 66 | PRICE $14034.70 | ACTION SELL
DAY 70 | PRICE $13679.59 | ACTION BUY
DAY 71 | PRICE $13548.93 | ACTION SELL
DAY 72 | PRICE $13904.40 | ACTION BUY
DAY 73 | PRICE $13998.93 | ACTION BUY
DAY 74 | PRICE $14333.70 | ACTION SELL
DAY 75 | PRICE $14439.40 | ACTION BUY
DAY 80 | PRICE $14788.59 | ACTION SELL
DAY 81 | PRICE $14797.22 | ACTION SELL
DAY 83 | PRICE $14966.52 | ACTION BUY
DAY 84 | PRICE $15283.67 | ACTION SELL
DAY 90 | PRICE $14833.28 | ACTION BUY
DAY 92 | PRICE $15470.82 | ACTION SELL
DAY 97 | PRICE $15507.66 | ACTION BUY
DAY 99 | PRICE $15015.02 | ACTION BUY
DAY 103 | PRICE $14140.78 | ACTION SELL
DAY 104 | PRICE $13322.66 | ACTION BUY
DAY 105 | PRICE $13851.75 | ACTION SELL
DAY 106 | PRICE $14118.20 | ACTION BUY
DAY 109 | PRICE $13224.98 | ACTION SELL
DAY 110 | PRICE $12830.37 | ACTION SELL
DAY 111 | PRICE $13528.06 | ACTION BUY
DAY 112 | PRICE $14010.79 | ACTION SELL
DAY 116 | PRICE $12722.59 | ACTION BUY
DAY 120 | PRICE $11304.56 | ACTION BUY
DAY 121 | PRICE $11942.50 | ACTION BUY
DAY 125 | PRICE $11072.19 | ACTION SELL
DAY 128 | PRICE $11812.72 | ACTION BUY
DAY 131 | PRICE $12760.09 | ACTION SELL
DAY 132 | PRICE $12873.49 | ACTION SELL
DAY 133 | PRICE $12471.98 | ACTION BUY
DAY 134 | PRICE $11546.52 | ACTION BUY
DAY 140 | PRICE $10308.81 | ACTION SELL
DAY 141 | PRICE $10542.43 | ACTION SELL
DAY 143 | PRICE $10262.93 | ACTION SELL
DAY 146 | PRICE $11020.69 | ACTION BUY
DAY 147 | PRICE $11193.03 | ACTION BUY
DAY 149 | PRICE $10497.55 | ACTION BUY
DAY 152 | PRICE $10762.73 | ACTION SELL
DAY 155 | PRICE $12024.14 | ACTION BUY
DAY 156 | PRICE $11745.11 | ACTION SELL
DAY 159 | PRICE $11514.74 | ACTION SELL
DAY 160 | PRICE $11093.86 | ACTION SELL
DAY 161 | PRICE $11562.63 | ACTION BUY
DAY 166 | PRICE $11960.30 | ACTION SELL
DAY 167 | PRICE $12181.08 | ACTION BUY
DAY 168 | PRICE $12178.26 | ACTION SELL
DAY 171 | PRICE $12968.12 | ACTION BUY
DAY 172 | PRICE $13165.65 | ACTION SELL
DAY 173 | PRICE $13473.19 | ACTION BUY
DAY 175 | PRICE $13495.73 | ACTION SELL
DAY 177 | PRICE $14012.24 | ACTION BUY
DAY 179 | PRICE $14006.92 | ACTION SELL
DAY 180 | PRICE $13881.35 | ACTION BUY
DAY 182 | PRICE $13303.45 | ACTION BUY
DAY 186 | PRICE $13684.24 | ACTION SELL
DAY 188 | PRICE $13177.09 | ACTION SELL
DAY 190 | PRICE $13361.85 | ACTION BUY
DAY 191 | PRICE $12977.43 | ACTION BUY
DAY 201 | PRICE $14577.44 | ACTION SELL
DAY 202 | PRICE $14842.70 | ACTION SELL
DAY 205 | PRICE $15208.88 | ACTION BUY
DAY 206 | PRICE $15739.18 | ACTION SELL
DAY 207 | PRICE $15779.71 | ACTION BUY
DAY 208 | PRICE $15954.50 | ACTION BUY
DAY 209 | PRICE $16096.60 | ACTION SELL
DAY 210 | PRICE $16059.50 | ACTION BUY
DAY 214 | PRICE $16220.72 | ACTION SELL
DAY 216 | PRICE $15265.66 | ACTION BUY
DAY 218 | PRICE $16197.86 | ACTION SELL
DAY 219 | PRICE $16334.86 | ACTION BUY
DAY 220 | PRICE $16695.69 | ACTION SELL
DAY 221 | PRICE $16917.51 | ACTION BUY
DAY 222 | PRICE $16750.39 | ACTION SELL
DAY 223 | PRICE $17107.99 | ACTION BUY
DAY 225 | PRICE $17687.07 | ACTION SELL
DAY 226 | PRICE $18016.12 | ACTION BUY
DAY 229 | PRICE $17033.96 | ACTION SELL
DAY 231 | PRICE $16262.93 | ACTION SELL
DAY 233 | PRICE $17589.15 | ACTION BUY
DAY 235 | PRICE $16668.57 | ACTION BUY
DAY 236 | PRICE $17564.61 | ACTION SELL
DAY 237 | PRICE $17835.64 | ACTION SELL
DAY 239 | PRICE $17952.30 | ACTION BUY
DAY 240 | PRICE $18208.44 | ACTION SELL
DAY 241 | PRICE $18452.58 | ACTION BUY
DAY 242 | PRICE $18487.06 | ACTION SELL
DAY 245 | PRICE $18598.87 | ACTION BUY
DAY 246 | PRICE $18899.48 | ACTION SELL
DAY 247 | PRICE $19255.43 | ACTION BUY
DAY 249 | PRICE $19988.12 | ACTION SELL
Initial Cash: $37156.20
Total Profit: $7093.38
Final Cash:  $44249.58
Price Change: $8943.50 → $19283.41 (115.61%)
