Evaluation of nasdaq_ours_fold5 with pg agent and cvar indicator
Namespace(stock='nasdaq_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $9059.38 | ACTION BUY
DAY 4 | PRICE $9185.18 | ACTION SELL
DAY 5 | PRICE $9505.68 | ACTION BUY
DAY 6 | PRICE $9650.02 | ACTION BUY
DAY 7 | PRICE $9542.33 | ACTION SELL
DAY 8 | PRICE $8264.16 | ACTION SELL
DAY 11 | PRICE $6854.67 | ACTION BUY
DAY 12 | PRICE $7491.14 | ACTION SELL
DAY 13 | PRICE $7288.11 | ACTION BUY
DAY 14 | PRICE $8035.95 | ACTION SELL
DAY 15 | PRICE $8553.38 | ACTION BUY
DAY 16 | PRICE $8697.37 | ACTION BUY
DAY 17 | PRICE $8537.83 | ACTION BUY
DAY 18 | PRICE $9053.17 | ACTION SELL
DAY 19 | PRICE $9154.35 | ACTION BUY
DAY 20 | PRICE $9333.16 | ACTION SELL
DAY 21 | PRICE $9472.08 | ACTION SELL
DAY 23 | PRICE $9748.38 | ACTION SELL
DAY 24 | PRICE $10112.44 | ACTION BUY
DAY 25 | PRICE $9863.67 | ACTION SELL
DAY 28 | PRICE $10627.45 | ACTION BUY
DAY 30 | PRICE $10943.72 | ACTION BUY
DAY 31 | PRICE $10877.16 | ACTION SELL
DAY 32 | PRICE $11132.10 | ACTION BUY
DAY 33 | PRICE $11507.46 | ACTION BUY
DAY 36 | PRICE $10783.81 | ACTION SELL
DAY 37 | PRICE $10520.22 | ACTION BUY
DAY 39 | PRICE $11384.33 | ACTION SELL
DAY 40 | PRICE $11559.10 | ACTION SELL
DAY 41 | PRICE $11369.29 | ACTION BUY
DAY 43 | PRICE $11784.15 | ACTION BUY
DAY 45 | PRICE $11760.98 | ACTION SELL
DAY 46 | PRICE $12154.57 | ACTION SELL
DAY 47 | PRICE $12376.44 | ACTION BUY
DAY 52 | PRICE $12963.92 | ACTION SELL
DAY 53 | PRICE $13329.77 | ACTION BUY
DAY 54 | PRICE $13192.91 | ACTION SELL
DAY 56 | PRICE $13845.47 | ACTION SELL
DAY 57 | PRICE $13714.35 | ACTION BUY
DAY 58 | PRICE $13066.38 | ACTION SELL
DAY 59 | PRICE $12553.96 | ACTION BUY
