DAY,Price,Cash,Shares,PortfolioValue,Action
0,27830.08,119809.62,1,147639.70,BUY
1,28245.97,91563.65,2,148055.59,BUY
2,28325.86,63237.79,3,148215.37,BUY
3,28709.57,34528.22,4,149366.50,BUY
4,27706.37,6821.85,5,145353.70,BUY
5,26145.59,6821.85,5,137549.80,HOLD
6,27044.88,6821.85,5,142046.25,HOLD
7,27766.71,6821.85,5,145655.40,HOLD
8,26813.22,6821.85,5,140887.95,HOLD
9,26077.73,6821.85,5,137210.50,HOLD
10,24948.38,6821.85,5,131563.75,HOLD
11,22842.25,6821.85,5,121033.10,HOLD
12,21659.55,6821.85,5,115119.60,HOLD
13,22973.33,6821.85,5,121688.50,HOLD
14,23271.47,6821.85,5,123179.20,HOLD
15,24090.50,6821.85,5,127274.35,HOLD
16,23483.31,6821.85,5,124238.40,HOLD
17,24549.62,6821.85,5,129569.95,HOLD
18,24097.12,6821.85,5,127307.45,HOLD
19,23671.61,6821.85,5,125179.90,HOLD
20,22878.26,6821.85,5,121213.15,HOLD
21,22781.11,6821.85,5,120727.40,HOLD
22,24253.56,6821.85,5,128089.65,HOLD
23,23895.03,6821.85,5,126297.00,HOLD
24,24334.36,6821.85,5,128493.65,HOLD
25,24148.62,6821.85,5,127564.95,HOLD
26,25911.74,6821.85,5,136380.55,HOLD
27,25254.32,6821.85,5,133093.45,HOLD
28,25378.38,6821.85,5,133713.75,HOLD
29,24642.35,6821.85,5,130033.60,HOLD
30,24539.44,6821.85,5,129519.05,HOLD
31,24662.04,6821.85,5,130132.05,HOLD
32,25257.88,6821.85,5,133111.25,HOLD
33,25352.26,6821.85,5,133583.15,HOLD
34,24995.45,6821.85,5,131799.10,HOLD
35,24341.32,6821.85,5,128528.45,HOLD
36,24621.65,6821.85,5,129930.10,HOLD
37,23675.62,6821.85,5,125199.95,HOLD
38,23256.92,6821.85,5,123106.45,HOLD
39,24021.93,6821.85,5,126931.50,HOLD
40,24102.21,6821.85,5,127332.90,HOLD
41,24556.55,6821.85,5,129604.60,HOLD
42,24029.95,6821.85,5,126971.60,HOLD
43,25540.98,6821.85,5,134526.75,HOLD
44,25909.18,6821.85,5,136367.75,HOLD
45,26313.28,6821.85,5,138388.25,HOLD
46,26704.60,6821.85,5,140344.85,HOLD
47,26652.34,6821.85,5,140083.55,HOLD
48,26443.01,6821.85,5,139036.90,HOLD
49,26363.05,6821.85,5,138637.10,HOLD
50,26264.32,6821.85,5,138143.45,HOLD
51,27150.38,6821.85,5,142573.75,HOLD
52,27781.42,6821.85,5,145728.95,HOLD
53,29100.17,6821.85,5,152322.70,HOLD
54,29345.74,6821.85,5,153550.55,HOLD
