DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,123294.84,1,151087.50,BUY
1,28428.17,94866.67,2,151723.01,BUY
2,28504.27,66362.40,3,151875.21,BUY
3,28813.13,37549.27,4,152801.79,BUY
4,27774.50,37549.27,4,148647.27,HOLD
5,26491.66,64040.93,3,143515.91,SELL
6,27436.99,91477.92,2,146351.90,SELL
7,27496.25,91477.92,2,146470.42,HOLD
8,26667.04,91477.92,2,144812.00,HOLD
9,26233.39,117711.31,1,143944.70,SELL
10,24978.97,117711.31,1,142690.28,HOLD
11,22676.46,117711.31,1,140387.77,HOLD
12,22383.25,95328.06,2,140094.56,BUY
13,23238.04,72090.02,3,141804.14,BUY
14,23796.03,95886.05,2,143478.11,SELL
15,23854.79,95886.05,2,143595.63,HOLD
16,23806.30,72079.75,3,143498.65,BUY
17,23584.95,95664.70,2,142834.60,SELL
18,24470.18,95664.70,2,144605.06,HOLD
19,23722.17,119386.87,1,143109.04,SELL
20,22519.73,141906.60,0,141906.60,SELL
21,23539.91,141906.60,0,141906.60,HOLD
22,24678.55,141906.60,0,141906.60,HOLD
23,23684.96,141906.60,0,141906.60,HOLD
24,24391.17,141906.60,0,141906.60,HOLD
25,24271.77,141906.60,0,141906.60,HOLD
26,25849.78,116056.82,1,141906.60,BUY
27,25299.36,141356.18,0,141356.18,SELL
28,25057.94,141356.18,0,141356.18,HOLD
29,24671.51,141356.18,0,141356.18,HOLD
30,24868.29,116487.89,1,141356.18,BUY
31,24685.44,91802.45,2,141173.33,BUY
32,25079.25,66723.20,3,141960.95,BUY
33,25360.03,41363.17,4,142803.29,BUY
34,24931.17,66294.34,3,141087.85,SELL
35,24213.36,90507.70,2,138934.42,SELL
36,24635.24,115142.94,1,139778.18,SELL
37,23559.99,91582.95,2,138702.93,BUY
38,23368.49,114951.44,1,138319.93,SELL
39,24059.29,114951.44,1,139010.73,HOLD
40,24194.41,139145.85,0,139145.85,SELL
41,24683.25,139145.85,0,139145.85,HOLD
42,24232.66,139145.85,0,139145.85,HOLD
43,25950.41,139145.85,0,139145.85,HOLD
44,26191.54,112954.31,1,139145.85,BUY
45,26369.34,139323.65,0,139323.65,SELL
46,26322.68,139323.65,0,139323.65,HOLD
47,26256.40,139323.65,0,139323.65,HOLD
48,26318.11,139323.65,0,139323.65,HOLD
49,26274.65,113049.00,1,139323.65,BUY
50,26432.91,113049.00,1,139481.91,HOLD
51,27389.78,113049.00,1,140438.78,HOLD
52,28136.64,84912.36,2,141185.64,BUY
53,29676.54,55235.82,3,144265.44,BUY
54,29194.37,84430.19,2,142818.93,SELL
55,28967.01,55463.18,3,142364.21,BUY
56,29732.23,85195.41,2,144659.87,SELL
57,30099.71,55095.70,3,145394.83,BUY
58,28980.21,26115.49,4,142036.33,BUY
59,28513.13,26115.49,4,140168.01,HOLD
60,28707.35,54822.84,3,140944.89,SELL
61,28737.54,26085.30,4,141035.46,BUY
62,28014.29,26085.30,4,138142.46,HOLD
63,28598.86,54684.16,3,140480.74,SELL
64,28685.06,54684.16,3,140739.34,HOLD
65,28506.76,26177.40,4,140204.44,BUY
66,28887.33,26177.40,4,141726.72,HOLD
67,28325.96,26177.40,4,139481.24,HOLD
68,27897.47,54074.87,3,137767.28,SELL
69,28293.23,54074.87,3,138954.56,HOLD
70,28950.72,25124.15,4,140927.03,BUY
71,28902.67,25124.15,4,140734.83,HOLD
72,28664.94,25124.15,4,139783.91,HOLD
73,28532.08,53656.23,3,139252.47,SELL
74,28971.60,82627.83,2,140571.03,SELL
75,28042.71,110670.54,1,138713.25,SELL
76,27420.35,110670.54,1,138090.89,HOLD
77,27397.29,83273.25,2,138067.83,BUY
78,26177.40,109450.65,1,135628.05,SELL
79,25743.09,109450.65,1,135193.74,HOLD
80,25920.85,83529.80,2,135371.50,BUY
81,26046.90,109576.70,1,135623.60,SELL
82,25036.99,84539.71,2,134613.69,BUY
83,25219.80,84539.71,2,134979.31,HOLD
84,25827.17,84539.71,2,136194.05,HOLD
85,25570.84,110110.55,1,135681.39,SELL
86,23871.84,86238.71,2,133982.39,BUY
87,24232.98,86238.71,2,134704.67,HOLD
88,23812.35,110051.06,1,133863.41,SELL
89,24836.76,134887.82,0,134887.82,SELL
90,25840.59,134887.82,0,134887.82,HOLD
91,25473.16,109414.66,1,134887.82,BUY
92,25010.36,84404.30,2,134425.02,BUY
93,24836.21,84404.30,2,134076.72,HOLD
94,25222.60,109626.90,1,134849.50,SELL
95,24532.82,134159.72,0,134159.72,SELL
96,23517.52,110642.20,1,134159.72,BUY
97,24153.72,110642.20,1,134795.92,HOLD
98,23155.62,110642.20,1,133797.82,HOLD
99,23027.15,87615.05,2,133669.35,BUY
100,23394.77,64220.28,3,134404.59,BUY
101,23162.85,41057.43,4,133708.83,BUY
102,24140.81,65198.24,3,137620.67,SELL
103,24723.92,89922.16,2,139370.00,SELL
104,23507.03,89922.16,2,136936.22,HOLD
105,24690.45,89922.16,2,139303.06,HOLD
106,24548.05,89922.16,2,139018.26,HOLD
107,23500.92,89922.16,2,136924.00,HOLD
108,22299.14,89922.16,2,134520.44,HOLD
109,20102.57,69819.59,3,130127.30,BUY
110,18584.04,69819.59,3,125571.71,HOLD
111,21983.10,47836.49,4,135768.89,BUY
112,22033.78,25802.71,5,135971.61,BUY
113,21779.19,4023.52,6,134698.66,BUY
114,21358.73,25382.25,5,132175.90,SELL
115,19784.28,25382.25,5,124303.65,HOLD
116,20648.53,4733.72,6,128624.90,BUY
117,19474.03,4733.72,6,121577.90,HOLD
118,20389.61,4733.72,6,127071.38,HOLD
119,20067.98,4733.72,6,125141.60,HOLD
120,21154.04,4733.72,6,131657.96,HOLD
121,21737.94,26471.66,5,135161.36,SELL
122,20697.41,47169.07,4,129958.71,SELL
123,21010.89,26158.18,5,131212.63,BUY
124,21719.17,47877.35,4,134754.03,SELL
125,21614.65,47877.35,4,134335.95,HOLD
126,20215.97,68093.32,3,128741.23,SELL
127,20513.80,88607.12,2,129634.72,SELL
128,20050.05,108657.17,1,128707.22,SELL
129,20096.54,88560.63,2,128753.71,BUY
130,20011.38,68549.25,3,128583.39,BUY
131,19656.80,48892.45,4,127519.65,BUY
132,20050.97,28841.48,5,129096.33,BUY
133,19342.49,28841.48,5,125553.93,HOLD
134,18893.65,47735.13,4,123309.73,SELL
135,18494.54,29240.59,5,121713.29,BUY
136,17727.40,11513.19,6,117877.59,BUY
137,16906.96,11513.19,6,112954.95,HOLD
138,16789.97,28303.16,5,112253.01,SELL
139,16558.41,11744.75,6,111095.21,BUY
140,14947.39,26692.14,5,101429.09,SELL
141,14859.92,41552.06,4,100991.74,SELL
142,16429.81,57981.87,3,107271.30,SELL
143,17552.30,57981.87,3,110638.77,HOLD
144,17287.60,75269.47,2,109844.67,SELL
145,17536.45,92805.92,1,110342.37,SELL
146,19202.87,92805.92,1,112008.79,HOLD
147,19382.30,112188.22,0,112188.22,SELL
148,18885.20,112188.22,0,112188.22,HOLD
149,19539.84,112188.22,0,112188.22,HOLD
