DAY,Price,Cash,Shares,PortfolioValue,Action
0,23656.62,158026.08,1,181682.70,BUY
1,23761.08,134265.00,2,181787.16,BUY
2,24061.67,110203.33,3,182388.34,BUY
3,23317.32,86886.01,4,180155.29,BUY
4,22775.92,64110.09,5,177989.69,BUY
5,23621.72,40488.37,6,182218.69,BUY
6,23133.60,17354.77,7,179289.97,BUY
7,22127.42,17354.77,7,172246.71,HOLD
8,20862.05,17354.77,7,163389.12,HOLD
9,19392.25,17354.77,7,153100.52,HOLD
10,16698.46,656.31,8,134243.99,BUY
11,18512.81,656.31,8,148758.79,HOLD
12,17707.66,656.31,8,142317.59,HOLD
13,19158.55,656.31,8,153924.71,HOLD
14,19154.41,656.31,8,153891.59,HOLD
15,19221.54,656.31,8,154428.63,HOLD
16,19551.73,656.31,8,157070.15,HOLD
17,20056.46,656.31,8,161107.99,HOLD
18,20454.03,656.31,8,164288.55,HOLD
19,21142.72,656.31,8,169798.07,HOLD
20,22462.68,656.31,8,180357.75,HOLD
21,22900.30,656.31,8,183858.71,HOLD
22,22318.07,656.31,8,179200.87,HOLD
23,22479.86,656.31,8,180495.19,HOLD
24,22039.56,656.31,8,176972.79,HOLD
25,22438.65,656.31,8,180165.51,HOLD
26,22800.11,656.31,8,183057.19,HOLD
27,22732.92,656.31,8,182519.67,HOLD
28,21710.00,656.31,8,174336.31,HOLD
29,22204.61,656.31,8,178293.19,HOLD
30,23068.53,656.31,8,185204.55,HOLD
31,22862.54,656.31,8,183556.63,HOLD
32,23102.61,656.31,8,185477.19,HOLD
33,23086.89,656.31,8,185351.43,HOLD
34,23429.42,656.31,8,188091.67,HOLD
35,23154.45,656.31,8,185891.91,HOLD
36,23170.89,656.31,8,186023.43,HOLD
37,23477.73,656.31,8,188478.15,HOLD
38,23458.43,656.31,8,188323.75,HOLD
39,23436.17,656.31,8,188145.67,HOLD
40,23170.76,656.31,8,186022.39,HOLD
41,24039.16,656.31,8,192969.59,HOLD
42,25215.31,656.31,8,202378.79,HOLD
43,25425.59,656.31,8,204061.03,HOLD
44,26405.83,656.31,8,211902.95,HOLD
45,26500.32,656.31,8,212658.87,HOLD
46,26648.69,656.31,8,213845.83,HOLD
47,26533.63,656.31,8,212925.35,HOLD
48,26664.60,656.31,8,213973.11,HOLD
49,27002.18,656.31,8,216673.75,HOLD
50,28411.58,656.31,8,227948.95,HOLD
51,28677.61,656.31,8,230077.19,HOLD
52,27975.85,656.31,8,224463.11,HOLD
53,28325.89,656.31,8,227263.43,HOLD
54,29417.32,656.31,8,235994.87,HOLD
55,29847.33,656.31,8,239434.95,HOLD
