DAY,Price,Cash,Shares,PortfolioValue,Action
0,23299.92,188509.20,0,188509.20,HOLD
1,23875.82,188509.20,0,188509.20,HOLD
2,23831.10,188509.20,0,188509.20,HOLD
3,23214.28,188509.20,0,188509.20,HOLD
4,23241.64,188509.20,0,188509.20,HOLD
5,23784.31,164724.89,1,188509.20,BUY
6,23426.42,164724.89,1,188151.31,HOLD
7,20916.40,143808.49,2,185641.29,BUY
8,20613.91,123194.58,3,185036.31,BUY
9,16690.60,139885.18,2,173266.38,SELL
10,16480.95,123404.23,3,172847.08,BUY
11,18578.20,141982.43,2,179138.83,SELL
12,17802.62,124179.81,3,177587.67,BUY
13,19014.32,143194.13,2,181222.77,SELL
14,19611.79,143194.13,2,182417.71,HOLD
15,19410.18,162604.31,1,182014.49,SELL
16,19894.58,182498.89,0,182498.89,SELL
17,19832.88,162666.01,1,182498.89,BUY
18,20334.99,183001.00,0,183001.00,SELL
19,21710.80,183001.00,0,183001.00,HOLD
20,22563.56,160437.44,1,183001.00,BUY
21,21786.93,138650.51,2,182224.37,BUY
22,22352.16,161002.67,1,183354.83,SELL
23,22408.27,183410.94,0,183410.94,SELL
24,22154.97,161255.97,1,183410.94,BUY
25,22285.07,138970.90,2,183541.04,BUY
26,22643.52,161614.42,1,184257.94,SELL
27,22646.22,184260.64,0,184260.64,SELL
28,22379.74,184260.64,0,184260.64,HOLD
29,22670.74,184260.64,0,184260.64,HOLD
30,22953.60,184260.64,0,184260.64,HOLD
31,23203.00,184260.64,0,184260.64,HOLD
32,23170.82,184260.64,0,184260.64,HOLD
33,22878.71,184260.64,0,184260.64,HOLD
34,23397.43,184260.64,0,184260.64,HOLD
35,23154.66,161105.98,1,184260.64,BUY
36,23252.69,184358.67,0,184358.67,SELL
37,23501.26,184358.67,0,184358.67,HOLD
38,23543.69,184358.67,0,184358.67,HOLD
39,23475.52,184358.67,0,184358.67,HOLD
40,23096.79,184358.67,0,184358.67,HOLD
41,24833.18,159525.49,1,184358.67,BUY
42,25851.54,133673.95,2,185377.03,BUY
43,26258.35,159932.30,1,186190.65,SELL
44,26695.28,186627.58,0,186627.58,SELL
45,26520.60,186627.58,0,186627.58,HOLD
46,26717.03,159910.55,1,186627.58,BUY
47,26414.74,159910.55,1,186325.29,HOLD
48,27338.56,159910.55,1,187249.11,HOLD
49,27667.75,159910.55,1,187578.30,HOLD
50,28111.54,188022.09,0,188022.09,SELL
51,28566.85,188022.09,0,188022.09,HOLD
52,27649.07,188022.09,0,188022.09,HOLD
53,28817.60,188022.09,0,188022.09,HOLD
54,30191.65,188022.09,0,188022.09,HOLD
55,29671.70,188022.09,0,188022.09,HOLD
56,29336.60,158685.49,1,188022.09,BUY
57,28960.09,187645.58,0,187645.58,SELL
58,29825.16,187645.58,0,187645.58,HOLD
59,28379.06,159266.52,1,187645.58,BUY
60,29165.52,188432.04,0,188432.04,SELL
61,29523.55,188432.04,0,188432.04,HOLD
62,29567.18,188432.04,0,188432.04,HOLD
63,28419.84,188432.04,0,188432.04,HOLD
64,28875.91,188432.04,0,188432.04,HOLD
65,28535.36,188432.04,0,188432.04,HOLD
66,27931.57,188432.04,0,188432.04,HOLD
67,28443.74,159988.30,1,188432.04,BUY
68,28611.25,188599.55,0,188599.55,SELL
69,28897.64,188599.55,0,188599.55,HOLD
70,29235.71,188599.55,0,188599.55,HOLD
71,28494.46,188599.55,0,188599.55,HOLD
72,28735.55,188599.55,0,188599.55,HOLD
73,28587.61,188599.55,0,188599.55,HOLD
74,28699.04,188599.55,0,188599.55,HOLD
75,27330.15,161269.40,1,188599.55,BUY
76,27663.41,133605.99,2,188932.81,BUY
77,27526.67,161132.66,1,188659.33,SELL
78,27949.33,189081.99,0,189081.99,SELL
79,26954.81,189081.99,0,189081.99,HOLD
80,27481.23,189081.99,0,189081.99,HOLD
81,28607.87,160474.12,1,189081.99,BUY
82,30064.02,190538.14,0,190538.14,SELL
83,30358.93,190538.14,0,190538.14,HOLD
84,30001.99,160536.15,1,190538.14,BUY
85,27460.29,187996.44,0,187996.44,SELL
86,28166.38,187996.44,0,187996.44,HOLD
87,29075.37,158921.07,1,187996.44,BUY
88,28893.95,187815.02,0,187815.02,SELL
89,29457.18,187815.02,0,187815.02,HOLD
90,29079.77,158735.25,1,187815.02,BUY
91,29623.79,188359.04,0,188359.04,SELL
92,29444.45,188359.04,0,188359.04,HOLD
93,27644.96,188359.04,0,188359.04,HOLD
94,28725.47,188359.04,0,188359.04,HOLD
95,28782.19,188359.04,0,188359.04,HOLD
96,28640.15,159718.89,1,188359.04,BUY
97,28579.49,131139.40,2,188298.38,BUY
98,28089.49,159228.89,1,187318.38,SELL
99,28129.66,187358.55,0,187358.55,SELL
100,26890.94,160467.61,1,187358.55,BUY
101,27016.71,133450.90,2,187484.32,BUY
102,27280.25,160731.15,1,188011.40,SELL
103,27227.24,160731.15,1,187958.39,HOLD
104,25775.64,134955.51,2,186506.79,BUY
105,26496.72,134955.51,2,187948.95,HOLD
106,25099.85,160055.36,1,185155.21,SELL
107,26152.89,186208.25,0,186208.25,SELL
108,27946.79,186208.25,0,186208.25,HOLD
109,27399.48,186208.25,0,186208.25,HOLD
110,26764.36,186208.25,0,186208.25,HOLD
111,26784.92,159423.33,1,186208.25,BUY
112,26904.38,159423.33,1,186327.71,HOLD
113,26610.86,132812.47,2,186034.19,BUY
114,25688.11,132812.47,2,184188.69,HOLD
115,26150.09,106662.38,3,185112.65,BUY
116,26604.84,133267.22,2,186476.90,SELL
117,27251.24,160518.46,1,187769.70,SELL
118,28189.35,160518.46,1,188707.81,HOLD
119,26431.20,186949.66,0,186949.66,SELL
120,26039.57,186949.66,0,186949.66,HOLD
121,26324.31,186949.66,0,186949.66,HOLD
122,26136.99,186949.66,0,186949.66,HOLD
123,26312.79,186949.66,0,186949.66,HOLD
124,27701.25,186949.66,0,186949.66,HOLD
125,27725.24,186949.66,0,186949.66,HOLD
126,27910.22,186949.66,0,186949.66,HOLD
127,28623.78,186949.66,0,186949.66,HOLD
128,28586.36,186949.66,0,186949.66,HOLD
129,27788.12,186949.66,0,186949.66,HOLD
130,27511.68,186949.66,0,186949.66,HOLD
131,28438.37,186949.66,0,186949.66,HOLD
132,27627.86,186949.66,0,186949.66,HOLD
133,25938.36,186949.66,0,186949.66,HOLD
134,27030.55,159919.11,1,186949.66,BUY
135,26237.42,186156.53,0,186156.53,SELL
136,26872.45,186156.53,0,186156.53,HOLD
137,27330.79,186156.53,0,186156.53,HOLD
138,27032.02,159124.51,1,186156.53,BUY
139,27837.09,186961.60,0,186961.60,SELL
140,27877.78,186961.60,0,186961.60,HOLD
141,28046.32,186961.60,0,186961.60,HOLD
142,27700.86,186961.60,0,186961.60,HOLD
143,27734.66,186961.60,0,186961.60,HOLD
144,27165.78,186961.60,0,186961.60,HOLD
145,26294.85,186961.60,0,186961.60,HOLD
146,25661.89,186961.60,0,186961.60,HOLD
147,26381.93,186961.60,0,186961.60,HOLD
148,26368.97,186961.60,0,186961.60,HOLD
149,27284.08,186961.60,0,186961.60,HOLD
150,27338.43,186961.60,0,186961.60,HOLD
151,27424.69,186961.60,0,186961.60,HOLD
152,27597.12,186961.60,0,186961.60,HOLD
153,27128.32,159833.28,1,186961.60,BUY
154,27655.34,187488.62,0,187488.62,SELL
155,28118.74,187488.62,0,187488.62,HOLD
156,27071.71,187488.62,0,187488.62,HOLD
157,27359.72,187488.62,0,187488.62,HOLD
158,28120.71,187488.62,0,187488.62,HOLD
159,27597.18,187488.62,0,187488.62,HOLD
160,28414.98,187488.62,0,187488.62,HOLD
161,28567.24,187488.62,0,187488.62,HOLD
162,29016.83,187488.62,0,187488.62,HOLD
163,29028.71,187488.62,0,187488.62,HOLD
164,30381.90,157106.72,1,187488.62,BUY
165,30558.14,157106.72,1,187664.86,HOLD
166,30853.44,187960.16,0,187960.16,SELL
167,31420.45,187960.16,0,187960.16,HOLD
168,33386.01,154574.15,1,187960.16,BUY
169,33232.19,154574.15,1,187806.34,HOLD
170,33185.20,187759.35,0,187759.35,SELL
171,32637.72,155121.63,1,187759.35,BUY
172,31952.98,187074.61,0,187074.61,SELL
173,32080.95,187074.61,0,187074.61,HOLD
174,32037.55,187074.61,0,187074.61,HOLD
175,31934.35,155140.26,1,187074.61,BUY
176,32031.54,123108.72,2,187171.80,BUY
177,31409.86,154518.58,1,185928.44,SELL
178,31881.93,122636.65,2,186400.51,BUY
179,32714.94,122636.65,2,188066.53,HOLD
180,32391.69,155028.34,1,187420.03,SELL
181,33128.86,188157.20,0,188157.20,SELL
182,32315.05,155842.15,1,188157.20,BUY
183,31157.40,186999.55,0,186999.55,SELL
184,31804.09,186999.55,0,186999.55,HOLD
185,31866.95,186999.55,0,186999.55,HOLD
186,31195.58,186999.55,0,186999.55,HOLD
187,31301.51,186999.55,0,186999.55,HOLD
188,32193.20,186999.55,0,186999.55,HOLD
189,33233.84,153765.71,1,186999.55,BUY
190,33622.57,187388.28,0,187388.28,SELL
191,33397.42,187388.28,0,187388.28,HOLD
192,32205.38,187388.28,0,187388.28,HOLD
193,32732.66,154655.62,1,187388.28,BUY
194,33151.70,187807.32,0,187807.32,SELL
195,33305.17,154502.15,1,187807.32,BUY
196,34849.57,189351.72,0,189351.72,SELL
197,35371.25,189351.72,0,189351.72,HOLD
198,36236.47,189351.72,0,189351.72,HOLD
199,35924.60,189351.72,0,189351.72,HOLD
200,36206.20,189351.72,0,189351.72,HOLD
201,38361.55,189351.72,0,189351.72,HOLD
202,39181.03,189351.72,0,189351.72,HOLD
203,40001.55,149350.17,1,189351.72,BUY
204,38496.66,149350.17,1,187846.83,HOLD
205,38935.47,149350.17,1,188285.64,HOLD
