DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,6025.00,0,6025.00,HOLD
1,483.51,6025.00,0,6025.00,HOLD
2,454.24,6025.00,0,6025.00,HOLD
3,551.25,6025.00,0,6025.00,HOLD
4,593.22,6025.00,0,6025.00,HOLD
5,602.05,6025.00,0,6025.00,HOLD
6,616.88,6025.00,0,6025.00,HOLD
7,644.06,6025.00,0,6025.00,HOLD
8,676.60,5348.40,1,6025.00,BUY
9,688.88,4659.52,2,6037.28,BUY
10,708.60,5368.12,1,6076.72,SELL
11,716.83,5368.12,1,6084.95,HOLD
12,747.37,6115.49,0,6115.49,SELL
13,693.15,6115.49,0,6115.49,HOLD
14,741.78,5373.71,1,6115.49,BUY
15,732.86,6106.57,0,6106.57,SELL
16,750.43,6106.57,0,6106.57,HOLD
17,773.08,6106.57,0,6106.57,HOLD
18,776.97,6106.57,0,6106.57,HOLD
19,795.19,6106.57,0,6106.57,HOLD
20,815.15,6106.57,0,6106.57,HOLD
21,854.48,6106.57,0,6106.57,HOLD
22,794.91,6106.57,0,6106.57,HOLD
23,820.02,5286.55,1,6106.57,BUY
24,847.53,5286.55,1,6134.08,HOLD
25,874.31,5286.55,1,6160.86,HOLD
26,893.24,6179.79,0,6179.79,SELL
27,838.13,6179.79,0,6179.79,HOLD
28,839.68,6179.79,0,6179.79,HOLD
29,868.01,6179.79,0,6179.79,HOLD
30,821.50,6179.79,0,6179.79,HOLD
31,776.70,5403.09,1,6179.79,BUY
32,789.85,6192.94,0,6192.94,SELL
33,845.17,6192.94,0,6192.94,HOLD
34,841.60,6192.94,0,6192.94,HOLD
35,868.60,6192.94,0,6192.94,HOLD
36,885.65,6192.94,0,6192.94,HOLD
37,910.36,6192.94,0,6192.94,HOLD
38,924.52,5268.42,1,6192.94,BUY
39,940.98,6209.40,0,6209.40,SELL
40,928.58,6209.40,0,6209.40,HOLD
41,982.27,6209.40,0,6209.40,HOLD
42,973.63,6209.40,0,6209.40,HOLD
43,975.62,6209.40,0,6209.40,HOLD
44,957.17,6209.40,0,6209.40,HOLD
45,958.05,6209.40,0,6209.40,HOLD
46,965.83,6209.40,0,6209.40,HOLD
47,953.48,6209.40,0,6209.40,HOLD
