DAY,Price,Cash,Shares,PortfolioValue,Action
0,2195.65,9840.50,0,9840.50,HOLD
1,2137.72,9840.50,0,9840.50,HOLD
2,2223.39,9840.50,0,9840.50,HOLD
3,2235.13,9840.50,0,9840.50,HOLD
4,2119.01,9840.50,0,9840.50,HOLD
5,2198.14,7642.36,1,9840.50,BUY
6,2221.90,9864.26,0,9864.26,SELL
7,2160.28,9864.26,0,9864.26,HOLD
8,1980.82,9864.26,0,9864.26,HOLD
9,2032.13,9864.26,0,9864.26,HOLD
10,1680.60,8183.66,1,9864.26,BUY
11,1466.48,6717.18,2,9650.14,BUY
12,1668.21,8385.39,1,10053.60,SELL
13,1706.68,10092.07,0,10092.07,SELL
14,1824.43,10092.07,0,10092.07,HOLD
15,1893.17,8198.90,1,10092.07,BUY
16,1894.62,6304.28,2,10093.52,BUY
17,1918.57,8222.85,1,10141.42,SELL
18,1913.49,10136.34,0,10136.34,SELL
19,1993.00,8143.34,1,10136.34,BUY
20,2003.75,10147.09,0,10147.09,SELL
21,2139.68,10147.09,0,10147.09,HOLD
22,2148.51,10147.09,0,10147.09,HOLD
23,2120.29,10147.09,0,10147.09,HOLD
24,2112.37,10147.09,0,10147.09,HOLD
25,2113.98,8033.11,1,10147.09,BUY
26,2166.74,5866.37,2,10199.85,BUY
27,2177.82,3688.55,3,10222.01,BUY
28,2202.99,5891.54,2,10297.52,SELL
29,2263.81,8155.35,1,10419.16,SELL
30,2322.64,5832.71,2,10477.99,BUY
31,2412.49,3420.22,3,10657.69,BUY
32,2280.97,3420.22,3,10263.13,HOLD
33,2345.28,5765.50,2,10456.06,SELL
34,2332.68,5765.50,2,10430.86,HOLD
35,2374.00,8139.50,1,10513.50,SELL
36,2396.33,10535.83,0,10535.83,SELL
37,2267.63,8268.20,1,10535.83,BUY
38,2347.82,10616.02,0,10616.02,SELL
39,2348.74,10616.02,0,10616.02,HOLD
40,2339.73,8276.29,1,10616.02,BUY
41,2299.91,8276.29,1,10576.20,HOLD
42,2370.85,10647.14,0,10647.14,SELL
43,2467.04,10647.14,0,10647.14,HOLD
44,2529.53,8117.61,1,10647.14,BUY
45,2592.43,10710.04,0,10710.04,SELL
46,2672.85,10710.04,0,10710.04,HOLD
47,2718.70,10710.04,0,10710.04,HOLD
48,2742.25,10710.04,0,10710.04,HOLD
49,2762.60,10710.04,0,10710.04,HOLD
50,2921.84,7788.20,1,10710.04,BUY
51,3047.56,10835.76,0,10835.76,SELL
52,3011.32,10835.76,0,10835.76,HOLD
