DAY,Price,Cash,Shares,PortfolioValue,Action
0,2165.39,9308.40,0,9308.40,HOLD
1,2188.10,9308.40,0,9308.40,HOLD
2,2245.58,9308.40,0,9308.40,HOLD
3,2166.23,9308.40,0,9308.40,HOLD
4,2120.53,9308.40,0,9308.40,HOLD
5,2211.25,9308.40,0,9308.40,HOLD
6,2205.21,9308.40,0,9308.40,HOLD
7,2071.50,9308.40,0,9308.40,HOLD
8,2009.39,9308.40,0,9308.40,HOLD
9,1934.72,9308.40,0,9308.40,HOLD
10,1637.88,9308.40,0,9308.40,HOLD
11,1508.68,9308.40,0,9308.40,HOLD
12,1722.62,9308.40,0,9308.40,HOLD
13,1791.92,9308.40,0,9308.40,HOLD
14,1837.17,9308.40,0,9308.40,HOLD
15,1844.85,9308.40,0,9308.40,HOLD
16,1934.31,9308.40,0,9308.40,HOLD
17,1932.87,9308.40,0,9308.40,HOLD
18,1921.14,9308.40,0,9308.40,HOLD
19,1967.84,9308.40,0,9308.40,HOLD
20,2035.63,9308.40,0,9308.40,HOLD
21,2174.96,9308.40,0,9308.40,HOLD
22,2030.82,9308.40,0,9308.40,HOLD
23,2122.10,9308.40,0,9308.40,HOLD
24,2087.84,9308.40,0,9308.40,HOLD
25,2157.71,9308.40,0,9308.40,HOLD
26,2163.07,9308.40,0,9308.40,HOLD
27,2183.83,9308.40,0,9308.40,HOLD
28,2203.48,9308.40,0,9308.40,HOLD
29,2237.04,9308.40,0,9308.40,HOLD
30,2349.33,9308.40,0,9308.40,HOLD
31,2336.78,9308.40,0,9308.40,HOLD
32,2340.97,9308.40,0,9308.40,HOLD
33,2331.23,9308.40,0,9308.40,HOLD
34,2391.43,9308.40,0,9308.40,HOLD
35,2423.79,9308.40,0,9308.40,HOLD
36,2323.58,9308.40,0,9308.40,HOLD
37,2320.04,9308.40,0,9308.40,HOLD
38,2393.74,9308.40,0,9308.40,HOLD
39,2344.77,9308.40,0,9308.40,HOLD
40,2342.58,9308.40,0,9308.40,HOLD
41,2267.95,9308.40,0,9308.40,HOLD
42,2434.52,9308.40,0,9308.40,HOLD
43,2507.46,9308.40,0,9308.40,HOLD
44,2553.70,9308.40,0,9308.40,HOLD
45,2591.34,9308.40,0,9308.40,HOLD
46,2711.42,9308.40,0,9308.40,HOLD
47,2755.29,9308.40,0,9308.40,HOLD
48,2747.09,9308.40,0,9308.40,HOLD
49,2792.06,9308.40,0,9308.40,HOLD
50,2980.75,9308.40,0,9308.40,HOLD
51,3128.72,9308.40,0,9308.40,HOLD
52,3123.27,9308.40,0,9308.40,HOLD
53,3046.64,9308.40,0,9308.40,HOLD
54,3068.46,9308.40,0,9308.40,HOLD
55,3108.70,9308.40,0,9308.40,HOLD
56,3079.16,9308.40,0,9308.40,HOLD
57,3020.74,9308.40,0,9308.40,HOLD
58,2929.36,9308.40,0,9308.40,HOLD
59,3049.23,9308.40,0,9308.40,HOLD
60,3003.05,9308.40,0,9308.40,HOLD
61,3038.44,9308.40,0,9308.40,HOLD
62,3110.19,9308.40,0,9308.40,HOLD
63,3136.99,9308.40,0,9308.40,HOLD
64,3195.96,9308.40,0,9308.40,HOLD
65,3203.25,9308.40,0,9308.40,HOLD
66,3109.78,9308.40,0,9308.40,HOLD
67,3138.04,9308.40,0,9308.40,HOLD
68,3140.48,9308.40,0,9308.40,HOLD
69,3142.37,9308.40,0,9308.40,HOLD
70,3224.96,9308.40,0,9308.40,HOLD
71,3210.31,9308.40,0,9308.40,HOLD
72,3251.32,9308.40,0,9308.40,HOLD
73,3277.85,9308.40,0,9308.40,HOLD
74,3278.10,9308.40,0,9308.40,HOLD
75,3252.41,9308.40,0,9308.40,HOLD
76,3263.09,9308.40,0,9308.40,HOLD
77,3235.17,9308.40,0,9308.40,HOLD
78,3232.50,9308.40,0,9308.40,HOLD
79,3273.33,9308.40,0,9308.40,HOLD
80,3202.11,9308.40,0,9308.40,HOLD
81,3049.03,9308.40,0,9308.40,HOLD
82,3106.97,9308.40,0,9308.40,HOLD
83,3181.64,9308.40,0,9308.40,HOLD
84,3103.38,9308.40,0,9308.40,HOLD
85,3112.51,9308.40,0,9308.40,HOLD
86,3030.60,9308.40,0,9308.40,HOLD
87,2927.60,9308.40,0,9308.40,HOLD
88,2999.33,9308.40,0,9308.40,HOLD
89,2996.26,9308.40,0,9308.40,HOLD
90,2965.40,9308.40,0,9308.40,HOLD
91,2953.96,9308.40,0,9308.40,HOLD
92,2938.27,9308.40,0,9308.40,HOLD
93,2948.07,9308.40,0,9308.40,HOLD
94,2930.31,9308.40,0,9308.40,HOLD
95,2927.55,9308.40,0,9308.40,HOLD
96,2998.29,9308.40,0,9308.40,HOLD
97,2984.19,9308.40,0,9308.40,HOLD
98,3009.48,9308.40,0,9308.40,HOLD
99,2979.42,9308.40,0,9308.40,HOLD
100,2910.90,9308.40,0,9308.40,HOLD
101,2875.98,9308.40,0,9308.40,HOLD
102,2780.68,9308.40,0,9308.40,HOLD
103,2702.78,9308.40,0,9308.40,HOLD
104,2761.76,9308.40,0,9308.40,HOLD
105,2711.99,9308.40,0,9308.40,HOLD
106,2642.63,9308.40,0,9308.40,HOLD
107,2702.34,9308.40,0,9308.40,HOLD
108,2633.31,9308.40,0,9308.40,HOLD
109,2683.69,9308.40,0,9308.40,HOLD
110,2707.74,9308.40,0,9308.40,HOLD
111,2722.45,9308.40,0,9308.40,HOLD
112,2683.96,9308.40,0,9308.40,HOLD
113,2681.37,9308.40,0,9308.40,HOLD
114,2657.04,9308.40,0,9308.40,HOLD
115,2667.85,9308.40,0,9308.40,HOLD
116,2553.01,9308.40,0,9308.40,HOLD
117,2603.58,9308.40,0,9308.40,HOLD
118,2605.87,9308.40,0,9308.40,HOLD
119,2654.32,9308.40,0,9308.40,HOLD
120,2606.61,9308.40,0,9308.40,HOLD
121,2447.33,9308.40,0,9308.40,HOLD
122,2306.48,9308.40,0,9308.40,HOLD
123,2332.59,9308.40,0,9308.40,HOLD
124,2307.90,9308.40,0,9308.40,HOLD
125,2307.69,9308.40,0,9308.40,HOLD
126,2387.91,9308.40,0,9308.40,HOLD
127,2429.07,9308.40,0,9308.40,HOLD
128,2465.32,9308.40,0,9308.40,HOLD
129,2506.41,9308.40,0,9308.40,HOLD
130,2492.69,9308.40,0,9308.40,HOLD
131,2476.75,9308.40,0,9308.40,HOLD
132,2402.67,9308.40,0,9308.40,HOLD
133,2418.59,9308.40,0,9308.40,HOLD
134,2359.84,9308.40,0,9308.40,HOLD
135,2197.90,9308.40,0,9308.40,HOLD
136,2204.03,9308.40,0,9308.40,HOLD
137,2162.87,9308.40,0,9308.40,HOLD
138,2200.44,9308.40,0,9308.40,HOLD
139,2262.02,9308.40,0,9308.40,HOLD
140,2296.44,9308.40,0,9308.40,HOLD
141,2401.99,9308.40,0,9308.40,HOLD
