DAY,Price,Cash,Shares,PortfolioValue,Action
0,9010.89,38982.30,0,38982.30,HOLD
1,9158.50,29823.80,1,38982.30,BUY
2,9301.32,39125.12,0,39125.12,SELL
3,9273.23,39125.12,0,39125.12,HOLD
4,9123.22,39125.12,0,39125.12,HOLD
5,9496.53,39125.12,0,39125.12,HOLD
6,9693.05,29432.07,1,39125.12,BUY
7,9166.01,38598.08,0,38598.08,SELL
8,8543.35,38598.08,0,38598.08,HOLD
9,7943.16,38598.08,0,38598.08,HOLD
10,6882.86,38598.08,0,38598.08,HOLD
11,6631.42,38598.08,0,38598.08,HOLD
12,7539.97,38598.08,0,38598.08,HOLD
13,7617.79,38598.08,0,38598.08,HOLD
14,8338.08,38598.08,0,38598.08,HOLD
15,8215.69,38598.08,0,38598.08,HOLD
16,8600.70,29997.38,1,38598.08,BUY
17,8781.31,38778.69,0,38778.69,SELL
18,9000.07,38778.69,0,38778.69,HOLD
19,9183.25,38778.69,0,38778.69,HOLD
20,9144.28,38778.69,0,38778.69,HOLD
21,9627.17,29151.52,1,38778.69,BUY
22,9962.58,39114.10,0,39114.10,SELL
23,9891.81,39114.10,0,39114.10,HOLD
24,9842.22,29271.88,1,39114.10,BUY
25,10048.04,39319.92,0,39319.92,SELL
26,10379.91,28940.01,1,39319.92,BUY
27,10364.39,18575.62,2,39304.40,BUY
28,10407.87,28983.49,1,39391.36,SELL
29,10412.09,39395.58,0,39395.58,SELL
30,10963.41,39395.58,0,39395.58,HOLD
31,11007.50,28388.08,1,39395.58,BUY
32,11090.03,39478.11,0,39478.11,SELL
33,11551.01,39478.11,0,39478.11,HOLD
34,11361.35,28116.76,1,39478.11,BUY
35,10728.03,28116.76,1,38844.79,HOLD
36,10639.95,17476.81,2,38756.71,BUY
37,10639.98,28116.79,1,38756.77,SELL
38,11033.69,39150.48,0,39150.48,SELL
39,11476.66,27673.82,1,39150.48,BUY
40,11648.53,27673.82,1,39322.35,HOLD
41,11434.86,27673.82,1,39108.68,HOLD
42,10822.57,27673.82,1,38496.39,HOLD
43,11737.13,27673.82,1,39410.95,HOLD
44,11715.52,15958.30,2,39389.34,BUY
45,11852.51,4105.79,3,39663.32,BUY
46,12027.16,16132.95,2,40187.27,SELL
47,12460.55,28593.50,1,41054.05,SELL
48,12432.71,16160.79,2,41026.21,BUY
49,12525.22,28686.01,1,41211.23,SELL
50,12821.96,41507.97,0,41507.97,SELL
51,12649.99,28857.98,1,41507.97,BUY
52,13051.07,28857.98,1,41909.05,HOLD
53,13454.08,42312.06,0,42312.06,SELL
54,13316.52,42312.06,0,42312.06,HOLD
55,13631.62,28680.44,1,42312.06,BUY
56,13916.84,42597.28,0,42597.28,SELL
57,13842.60,42597.28,0,42597.28,HOLD
58,13024.53,42597.28,0,42597.28,HOLD
59,12397.05,42597.28,0,42597.28,HOLD
60,13158.72,42597.28,0,42597.28,HOLD
61,13039.45,42597.28,0,42597.28,HOLD
62,12878.72,42597.28,0,42597.28,HOLD
63,13582.75,42597.28,0,42597.28,HOLD
64,13783.95,42597.28,0,42597.28,HOLD
65,13842.57,28754.71,1,42597.28,BUY
66,14019.50,28754.71,1,42774.21,HOLD
67,13881.51,42636.22,0,42636.22,SELL
68,13401.75,42636.22,0,42636.22,HOLD
69,13265.40,42636.22,0,42636.22,HOLD
70,13551.01,42636.22,0,42636.22,HOLD
71,13678.76,42636.22,0,42636.22,HOLD
72,13831.98,42636.22,0,42636.22,HOLD
73,14052.16,42636.22,0,42636.22,HOLD
74,14121.00,42636.22,0,42636.22,HOLD
75,14471.38,28164.84,1,42636.22,BUY
76,14580.79,42745.63,0,42745.63,SELL
77,14632.95,42745.63,0,42745.63,HOLD
78,14498.65,42745.63,0,42745.63,HOLD
79,14645.63,42745.63,0,42745.63,HOLD
80,14734.12,42745.63,0,42745.63,HOLD
81,14692.41,42745.63,0,42745.63,HOLD
82,14516.30,42745.63,0,42745.63,HOLD
83,15011.58,42745.63,0,42745.63,HOLD
84,15302.11,42745.63,0,42745.63,HOLD
85,15245.17,42745.63,0,42745.63,HOLD
86,15047.14,42745.63,0,42745.63,HOLD
87,14932.51,42745.63,0,42745.63,HOLD
88,14444.30,42745.63,0,42745.63,HOLD
89,14615.14,42745.63,0,42745.63,HOLD
90,14699.52,42745.63,0,42745.63,HOLD
91,15094.14,42745.63,0,42745.63,HOLD
92,15290.31,42745.63,0,42745.63,HOLD
93,15827.66,42745.63,0,42745.63,HOLD
94,15695.77,42745.63,0,42745.63,HOLD
95,15848.83,42745.63,0,42745.63,HOLD
96,15456.09,42745.63,0,42745.63,HOLD
97,14931.06,42745.63,0,42745.63,HOLD
98,15477.85,27267.78,1,42745.63,BUY
99,14960.37,27267.78,1,42228.15,HOLD
100,15696.83,42964.61,0,42964.61,SELL
101,15644.09,42964.61,0,42964.61,HOLD
102,14530.23,42964.61,0,42964.61,HOLD
103,14482.94,42964.61,0,42964.61,HOLD
104,13414.14,42964.61,0,42964.61,HOLD
105,14070.77,28893.84,1,42964.61,BUY
106,13934.78,42828.62,0,42828.62,SELL
107,13976.29,42828.62,0,42828.62,HOLD
108,13032.17,42828.62,0,42828.62,HOLD
109,13493.91,42828.62,0,42828.62,HOLD
110,13039.79,42828.62,0,42828.62,HOLD
111,12992.20,42828.62,0,42828.62,HOLD
112,13921.65,42828.62,0,42828.62,HOLD
113,14383.45,42828.62,0,42828.62,HOLD
114,13788.90,42828.62,0,42828.62,HOLD
115,13353.66,42828.62,0,42828.62,HOLD
116,13140.83,42828.62,0,42828.62,HOLD
117,12487.86,30340.76,1,42828.62,BUY
118,12183.56,42524.32,0,42524.32,SELL
119,11108.76,42524.32,0,42524.32,HOLD
120,11313.31,31211.01,1,42524.32,BUY
121,11406.16,42617.17,0,42617.17,SELL
122,11966.62,42617.17,0,42617.17,HOLD
123,11328.27,42617.17,0,42617.17,HOLD
124,10638.72,31978.45,1,42617.17,BUY
125,11487.07,43465.52,0,43465.52,SELL
126,10911.45,32554.07,1,43465.52,BUY
127,11207.08,21346.99,2,43761.15,BUY
128,11448.97,32795.96,1,44244.93,SELL
129,11533.37,44329.33,0,44329.33,SELL
130,12260.48,44329.33,0,44329.33,HOLD
131,12438.86,44329.33,0,44329.33,HOLD
132,12979.24,31350.09,1,44329.33,BUY
133,12352.03,18998.06,2,43702.12,BUY
134,11790.03,7208.03,3,42578.12,BUY
135,11555.08,18763.11,2,41873.27,SELL
136,11602.76,30365.87,1,41968.63,SELL
137,11219.00,41584.87,0,41584.87,SELL
138,10776.34,41584.87,0,41584.87,HOLD
139,10910.76,30674.11,1,41584.87,BUY
140,10372.21,41046.32,0,41046.32,SELL
141,10592.88,41046.32,0,41046.32,HOLD
142,10948.38,41046.32,0,41046.32,HOLD
143,10522.90,41046.32,0,41046.32,HOLD
144,10344.01,41046.32,0,41046.32,HOLD
145,11162.92,41046.32,0,41046.32,HOLD
146,11174.61,41046.32,0,41046.32,HOLD
147,11378.75,41046.32,0,41046.32,HOLD
148,10939.47,41046.32,0,41046.32,HOLD
149,10775.61,41046.32,0,41046.32,HOLD
150,10313.32,41046.32,0,41046.32,HOLD
151,10324.70,41046.32,0,41046.32,HOLD
152,10619.12,30427.20,1,41046.32,BUY
153,11024.72,41451.92,0,41451.92,SELL
154,11282.65,30169.27,1,41451.92,BUY
155,11398.37,41567.64,0,41567.64,SELL
156,11836.78,41567.64,0,41567.64,HOLD
157,11760.57,29807.07,1,41567.64,BUY
158,11445.17,29807.07,1,41252.24,HOLD
159,11349.87,18457.20,2,41156.94,BUY
160,11487.75,29944.95,1,41432.70,SELL
161,11238.44,29944.95,1,41183.39,HOLD
162,11666.85,41611.80,0,41611.80,SELL
163,11823.35,41611.80,0,41611.80,HOLD
164,11931.84,41611.80,0,41611.80,HOLD
165,11995.94,41611.80,0,41611.80,HOLD
166,12011.95,29599.85,1,41611.80,BUY
167,11950.92,41550.77,0,41550.77,SELL
168,11925.37,41550.77,0,41550.77,HOLD
169,12255.44,29295.33,1,41550.77,BUY
170,12512.26,29295.33,1,41807.59,HOLD
171,12604.89,41900.22,0,41900.22,SELL
172,13125.86,41900.22,0,41900.22,HOLD
173,13229.33,41900.22,0,41900.22,HOLD
174,13680.96,41900.22,0,41900.22,HOLD
175,13334.42,28565.80,1,41900.22,BUY
176,13773.41,42339.21,0,42339.21,SELL
177,13643.32,42339.21,0,42339.21,HOLD
178,14176.11,42339.21,0,42339.21,HOLD
179,14092.52,42339.21,0,42339.21,HOLD
180,14215.64,42339.21,0,42339.21,HOLD
181,13769.34,42339.21,0,42339.21,HOLD
182,13611.93,28727.28,1,42339.21,BUY
183,13484.38,15242.90,2,42211.66,BUY
184,13677.06,15242.90,2,42597.02,HOLD
185,13802.42,15242.90,2,42847.74,HOLD
186,13733.82,28976.72,1,42710.54,SELL
187,13467.28,42444.00,0,42444.00,SELL
188,12963.16,42444.00,0,42444.00,HOLD
189,13072.51,29371.49,1,42444.00,BUY
190,13549.29,42920.78,0,42920.78,SELL
191,13275.30,42920.78,0,42920.78,HOLD
192,12804.30,42920.78,0,42920.78,HOLD
193,12875.20,42920.78,0,42920.78,HOLD
194,13573.58,42920.78,0,42920.78,HOLD
195,14060.70,28860.08,1,42920.78,BUY
196,14226.63,14633.45,2,43086.71,BUY
197,14127.05,506.40,3,42887.55,BUY
198,14220.87,14727.27,2,43169.01,SELL
199,14642.23,29369.50,1,44011.73,SELL
200,14837.47,44206.97,0,44206.97,SELL
201,14955.37,44206.97,0,44206.97,HOLD
202,14560.20,44206.97,0,44206.97,HOLD
203,14863.81,44206.97,0,44206.97,HOLD
204,15337.23,44206.97,0,44206.97,HOLD
205,15484.67,44206.97,0,44206.97,HOLD
206,15515.25,44206.97,0,44206.97,HOLD
207,15551.44,44206.97,0,44206.97,HOLD
208,15451.65,44206.97,0,44206.97,HOLD
209,15924.72,44206.97,0,44206.97,HOLD
210,15956.66,44206.97,0,44206.97,HOLD
211,16143.34,44206.97,0,44206.97,HOLD
212,16127.48,44206.97,0,44206.97,HOLD
213,16279.17,44206.97,0,44206.97,HOLD
214,16046.56,28160.41,1,44206.97,BUY
215,16154.65,28160.41,1,44315.06,HOLD
216,15587.50,43747.91,0,43747.91,SELL
217,15343.91,43747.91,0,43747.91,HOLD
218,15604.73,43747.91,0,43747.91,HOLD
219,16241.98,43747.91,0,43747.91,HOLD
220,16693.45,43747.91,0,43747.91,HOLD
221,16678.37,43747.91,0,43747.91,HOLD
222,16445.54,43747.91,0,43747.91,HOLD
223,17090.04,43747.91,0,43747.91,HOLD
224,17590.80,43747.91,0,43747.91,HOLD
225,17494.02,43747.91,0,43747.91,HOLD
226,17657.64,26090.27,1,43747.91,BUY
227,18381.60,7708.67,2,44471.87,BUY
228,18386.07,26094.74,1,44480.81,SELL
229,17968.10,44062.84,0,44062.84,SELL
230,17015.38,44062.84,0,44062.84,HOLD
231,16137.65,44062.84,0,44062.84,HOLD
232,16943.95,44062.84,0,44062.84,HOLD
233,17758.20,44062.84,0,44062.84,HOLD
234,17573.37,26489.47,1,44062.84,BUY
235,16984.67,43474.14,0,43474.14,SELL
236,16787.84,43474.14,0,43474.14,HOLD
237,17556.43,43474.14,0,43474.14,HOLD
238,18040.62,43474.14,0,43474.14,HOLD
239,17767.79,25706.35,1,43474.14,BUY
240,18133.02,25706.35,1,43839.37,HOLD
241,18214.96,7491.39,2,43921.31,BUY
242,18146.61,7491.39,2,43784.61,HOLD
243,18598.24,7491.39,2,44687.87,HOLD
244,18730.21,26221.60,1,44951.81,SELL
245,19191.13,7030.47,2,45412.73,BUY
246,18724.39,7030.47,2,44479.25,HOLD
247,18937.20,25967.67,1,44904.87,SELL
248,19688.59,45656.26,0,45656.26,SELL
249,19897.38,45656.26,0,45656.26,HOLD
250,19357.76,45656.26,0,45656.26,BUY;LIQUIDATE
251,19553.40,45656.26,0,45656.26,HOLD
