DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,29913.53,1,38826.30,BUY
1,9059.38,29913.53,1,38972.91,HOLD
2,9231.14,29913.53,1,39144.67,HOLD
3,9334.13,20579.40,2,39247.66,BUY
4,9185.18,20579.40,2,38949.76,HOLD
5,9505.68,30085.08,1,39590.76,SELL
6,9650.02,20435.06,2,39735.10,BUY
7,9542.33,10892.73,3,39519.72,BUY
8,8264.16,10892.73,3,35685.21,HOLD
9,8375.13,2517.60,4,36018.12,BUY
10,7219.09,2517.60,4,31393.96,HOLD
11,6854.67,2517.60,4,29936.28,HOLD
12,7491.14,2517.60,4,32482.16,HOLD
13,7288.11,2517.60,4,31670.04,HOLD
14,8035.95,10553.55,3,34661.40,SELL
15,8553.38,2000.17,4,36213.69,BUY
16,8697.37,2000.17,4,36789.65,HOLD
17,8537.83,2000.17,4,36151.49,HOLD
18,9053.17,2000.17,4,38212.85,HOLD
19,9154.35,2000.17,4,38617.57,HOLD
20,9333.16,2000.17,4,39332.81,HOLD
21,9472.08,2000.17,4,39888.49,HOLD
22,9863.27,11863.44,3,41453.25,SELL
23,9748.38,2115.06,4,41108.58,BUY
24,10112.44,2115.06,4,42564.82,HOLD
25,9863.67,2115.06,4,41569.74,HOLD
26,10350.96,2115.06,4,43518.90,HOLD
27,10420.54,2115.06,4,43797.22,HOLD
28,10627.45,2115.06,4,44624.86,HOLD
29,10464.00,2115.06,4,43971.06,HOLD
30,10943.72,2115.06,4,45889.94,HOLD
31,10877.16,2115.06,4,45623.70,HOLD
32,11132.10,2115.06,4,46643.46,HOLD
33,11507.46,2115.06,4,48144.90,HOLD
34,11836.18,13951.24,3,49459.78,SELL
35,10875.02,24826.26,2,46576.30,SELL
36,10783.81,24826.26,2,46393.88,HOLD
37,10520.22,14306.04,3,45866.70,BUY
38,11240.53,25546.57,2,48027.63,SELL
39,11384.33,14162.24,3,48315.23,BUY
40,11559.10,14162.24,3,48839.54,HOLD
41,11369.29,2792.95,4,48270.11,BUY
42,11030.19,2792.95,4,46913.71,HOLD
43,11784.15,2792.95,4,49929.55,HOLD
44,11666.37,14459.32,3,49458.43,SELL
45,11760.98,26220.30,2,49742.26,SELL
46,12154.57,14065.73,3,50529.44,BUY
47,12376.44,14065.73,3,51195.05,HOLD
48,12246.77,26312.50,2,50806.04,SELL
49,12654.60,26312.50,2,51621.70,HOLD
50,12827.44,26312.50,2,51967.38,HOLD
51,12665.65,26312.50,2,51643.80,HOLD
52,12963.92,39276.42,1,52240.34,SELL
53,13329.77,25946.65,2,52606.19,BUY
54,13192.91,25946.65,2,52332.47,HOLD
55,13585.34,12361.31,3,53117.33,BUY
56,13845.47,26206.78,2,53897.72,SELL
57,13714.35,12492.43,3,53635.48,BUY
58,13066.38,12492.43,3,51691.57,HOLD
59,12553.96,12492.43,3,50154.31,HOLD
60,13246.33,12492.43,3,52231.42,HOLD
61,13101.92,25594.35,2,51798.19,SELL
62,12786.81,25594.35,2,51167.97,HOLD
63,13404.18,38998.53,1,52402.71,SELL
64,13748.35,25250.18,2,52746.88,BUY
65,13977.05,11273.13,3,53204.28,BUY
66,13856.83,25129.96,2,52843.62,SELL
67,13941.63,25129.96,2,53013.22,HOLD
68,13690.75,38820.71,1,52511.46,SELL
69,13242.97,38820.71,1,52063.68,HOLD
70,13463.26,25357.45,2,52283.97,BUY
71,13747.61,25357.45,2,52852.67,HOLD
72,13784.89,25357.45,2,52927.23,HOLD
73,14056.67,25357.45,2,53470.79,HOLD
74,13960.04,11397.41,3,53277.53,BUY
75,14417.20,11397.41,3,54649.01,HOLD
76,14529.80,25927.21,2,54986.81,SELL
77,14660.19,25927.21,2,55247.59,HOLD
78,14271.23,11655.98,3,54469.67,BUY
79,14503.76,11655.98,3,55167.26,HOLD
80,14584.09,11655.98,3,55408.25,HOLD
81,14754.48,26410.46,2,55919.42,SELL
82,14550.88,11859.58,3,55512.22,BUY
83,14965.54,11859.58,3,56756.20,HOLD
84,15202.67,11859.58,3,57467.59,HOLD
85,15206.61,27066.19,2,57479.41,SELL
86,14984.68,42050.87,1,57035.55,SELL
87,14767.01,42050.87,1,56817.88,HOLD
88,14493.67,42050.87,1,56544.54,HOLD
89,14259.07,42050.87,1,56309.94,HOLD
90,14471.88,56522.75,0,56522.75,SELL
91,15071.15,41451.60,1,56522.75,BUY
92,15235.84,41451.60,1,56687.44,HOLD
93,15616.44,25835.16,2,57068.04,BUY
94,15543.68,10291.48,3,56922.52,BUY
95,15909.39,10291.48,3,58019.65,HOLD
96,15591.36,25882.84,2,57065.56,SELL
97,15150.12,25882.84,2,56183.08,HOLD
98,15511.12,41393.96,1,56905.08,SELL
99,15119.49,26274.47,2,56513.45,BUY
100,15528.91,10745.56,3,57332.29,BUY
101,15643.93,10745.56,3,57677.35,HOLD
102,14877.63,10745.56,3,55378.45,HOLD
103,14689.43,25434.99,2,54813.85,SELL
104,13094.65,25434.99,2,51624.29,HOLD
105,13767.71,25434.99,2,52970.41,HOLD
106,13974.10,39409.09,1,53383.19,SELL
107,13664.76,39409.09,1,53073.85,HOLD
108,13249.65,39409.09,1,52658.74,HOLD
109,13441.32,39409.09,1,52850.41,HOLD
110,12670.08,52079.17,0,52079.17,SELL
111,12616.59,52079.17,0,52079.17,HOLD
112,13857.29,52079.17,0,52079.17,HOLD
113,14419.40,52079.17,0,52079.17,HOLD
114,14169.12,52079.17,0,52079.17,HOLD
115,13317.74,52079.17,0,52079.17,HOLD
116,13426.12,38653.05,1,52079.17,BUY
117,12430.90,26222.15,2,51083.95,BUY
118,12367.02,26222.15,2,50956.19,HOLD
119,11339.18,14882.97,3,48900.51,BUY
120,11381.69,14882.97,3,49028.04,HOLD
121,11211.85,14882.97,3,48518.52,HOLD
122,11901.45,2981.52,4,50587.32,BUY
123,11751.98,2981.52,4,49989.44,HOLD
124,10565.14,13546.66,3,45242.08,SELL
125,11337.78,2208.88,4,47560.00,BUY
126,10922.71,2208.88,4,45899.72,HOLD
127,11348.06,13556.94,3,47601.12,SELL
128,11322.84,24879.78,2,47525.46,SELL
129,11707.53,36587.31,1,48294.84,SELL
130,12271.98,36587.31,1,48859.29,HOLD
131,12597.75,36587.31,1,49185.06,HOLD
132,12993.78,23593.53,2,49581.09,BUY
133,12353.73,23593.53,2,48300.99,HOLD
134,11981.42,11612.11,3,47556.37,BUY
135,11471.50,23083.61,2,46026.61,SELL
136,11604.43,23083.61,2,46292.47,HOLD
137,11343.72,23083.61,2,45771.05,HOLD
138,10741.02,23083.61,2,44565.65,HOLD
139,11044.04,12039.57,3,45171.69,BUY
140,10351.98,22391.55,2,43095.51,SELL
141,10670.12,22391.55,2,43731.79,HOLD
142,10996.97,11394.58,3,44385.49,BUY
143,10881.19,22275.77,2,44038.15,SELL
144,10472.73,11803.04,3,43221.23,BUY
145,11241.15,23044.19,2,45526.49,SELL
146,10975.66,12068.53,3,44995.51,BUY
147,10966.53,12068.53,3,44968.12,HOLD
148,10910.62,22979.15,2,44800.39,SELL
149,11065.24,22979.15,2,45109.63,HOLD
150,10569.20,33548.35,1,44117.55,SELL
151,10301.06,33548.35,1,43849.41,HOLD
152,10265.04,33548.35,1,43813.39,HOLD
153,10900.16,33548.35,1,44448.51,HOLD
154,11144.03,44692.38,0,44692.38,SELL
155,11388.54,33303.84,1,44692.38,BUY
156,11843.49,33303.84,1,45147.33,HOLD
157,11719.73,33303.84,1,45023.57,HOLD
158,11491.18,33303.84,1,44795.02,HOLD
159,11435.39,21868.45,2,44739.23,BUY
160,11512.03,21868.45,2,44892.51,HOLD
161,11284.93,21868.45,2,44438.31,HOLD
162,11724.91,33593.36,1,45318.27,SELL
163,11635.03,33593.36,1,45228.39,HOLD
164,12081.81,21511.55,2,45675.17,BUY
165,11916.54,33428.09,1,45344.63,SELL
166,12060.17,21367.92,2,45488.26,BUY
167,11833.07,9534.85,3,45034.06,BUY
168,12022.46,21557.31,2,45602.23,SELL
169,12180.86,9376.45,3,45919.03,BUY
170,12335.02,9376.45,3,46381.51,HOLD
171,12415.85,9376.45,3,46624.00,HOLD
172,12903.63,9376.45,3,48087.34,HOLD
173,13101.18,9376.45,3,48679.99,HOLD
174,13561.37,22937.82,2,50060.56,SELL
175,13442.65,22937.82,2,49823.12,HOLD
176,13716.16,9221.66,3,50370.14,BUY
177,13584.87,9221.66,3,49976.27,HOLD
178,14138.00,9221.66,3,51635.66,HOLD
179,13997.13,9221.66,3,51213.05,HOLD
180,14292.75,9221.66,3,52099.91,HOLD
