DAY,Price,Cash,Shares,PortfolioValue,Action
0,27675.24,169335.20,0,169335.20,HOLD
1,28165.13,141170.07,1,169335.20,BUY
2,28264.07,169434.14,0,169434.14,SELL
3,28790.49,169434.14,0,169434.14,HOLD
4,27980.50,169434.14,0,169434.14,HOLD
5,26330.05,169434.14,0,169434.14,HOLD
6,27029.49,169434.14,0,169434.14,HOLD
7,27695.60,169434.14,0,169434.14,HOLD
8,27383.13,169434.14,0,169434.14,HOLD
9,26419.97,169434.14,0,169434.14,HOLD
10,26315.36,143118.78,1,169434.14,BUY
11,24117.94,167236.72,0,167236.72,SELL
12,21139.26,167236.72,0,167236.72,HOLD
13,23163.67,167236.72,0,167236.72,HOLD
14,22756.13,167236.72,0,167236.72,HOLD
15,24045.18,167236.72,0,167236.72,HOLD
16,24225.55,143011.17,1,167236.72,BUY
17,24030.54,143011.17,1,167041.71,HOLD
18,23868.02,166879.19,0,166879.19,SELL
19,23979.37,142899.82,1,166879.19,BUY
20,24315.75,142899.82,1,167215.57,HOLD
21,23134.61,166034.43,0,166034.43,SELL
22,24219.96,166034.43,0,166034.43,HOLD
23,24968.30,166034.43,0,166034.43,HOLD
24,24195.82,141838.61,1,166034.43,BUY
25,24770.95,166609.56,0,166609.56,SELL
26,25182.60,166609.56,0,166609.56,HOLD
27,25570.36,166609.56,0,166609.56,HOLD
28,25015.28,166609.56,0,166609.56,HOLD
29,24598.46,166609.56,0,166609.56,HOLD
30,24534.79,166609.56,0,166609.56,HOLD
31,24167.79,142441.77,1,166609.56,BUY
32,25040.55,117401.22,2,167482.32,BUY
33,24885.86,142287.08,1,167172.94,SELL
34,25258.16,167545.24,0,167545.24,SELL
35,24488.64,167545.24,0,167545.24,HOLD
36,24293.03,167545.24,0,167545.24,HOLD
37,24295.01,167545.24,0,167545.24,HOLD
38,23124.25,167545.24,0,167545.24,HOLD
39,23842.25,167545.24,0,167545.24,HOLD
40,24524.26,167545.24,0,167545.24,HOLD
41,24456.84,167545.24,0,167545.24,HOLD
42,24586.06,167545.24,0,167545.24,HOLD
43,24733.23,142812.01,1,167545.24,BUY
44,26168.63,142812.01,1,168980.64,HOLD
45,26344.86,169156.87,0,169156.87,SELL
46,26591.30,142565.57,1,169156.87,BUY
47,26379.48,168945.05,0,168945.05,SELL
48,26445.66,168945.05,0,168945.05,HOLD
49,26318.74,168945.05,0,168945.05,HOLD
50,26071.76,142873.29,1,168945.05,BUY
51,27163.51,170036.80,0,170036.80,SELL
52,27538.20,170036.80,0,170036.80,HOLD
53,28294.66,170036.80,0,170036.80,HOLD
54,29413.52,170036.80,0,170036.80,HOLD
55,28259.73,141777.07,1,170036.80,BUY
56,29184.09,141777.07,1,170961.16,HOLD
57,30497.40,172274.47,0,172274.47,SELL
58,30126.40,172274.47,0,172274.47,HOLD
59,28957.31,172274.47,0,172274.47,HOLD
60,28326.13,172274.47,0,172274.47,HOLD
