DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,151087.50,0,151087.50,HOLD
1,28428.17,122659.33,1,151087.50,BUY
2,28504.27,151163.60,0,151163.60,SELL
3,28813.13,122350.47,1,151163.60,BUY
4,27774.50,150124.97,0,150124.97,SELL
5,26491.66,123633.31,1,150124.97,BUY
6,27436.99,123633.31,1,151070.30,HOLD
7,27496.25,151129.56,0,151129.56,SELL
8,26667.04,151129.56,0,151129.56,HOLD
9,26233.39,151129.56,0,151129.56,HOLD
10,24978.97,151129.56,0,151129.56,HOLD
11,22676.46,151129.56,0,151129.56,HOLD
12,22383.25,151129.56,0,151129.56,HOLD
13,23238.04,151129.56,0,151129.56,HOLD
14,23796.03,151129.56,0,151129.56,HOLD
15,23854.79,127274.77,1,151129.56,BUY
16,23806.30,127274.77,1,151081.07,HOLD
17,23584.95,150859.72,0,150859.72,SELL
18,24470.18,126389.54,1,150859.72,BUY
19,23722.17,102667.37,2,150111.71,BUY
20,22519.73,125187.10,1,147706.83,SELL
21,23539.91,125187.10,1,148727.01,HOLD
22,24678.55,149865.65,0,149865.65,SELL
23,23684.96,149865.65,0,149865.65,HOLD
24,24391.17,149865.65,0,149865.65,HOLD
25,24271.77,149865.65,0,149865.65,HOLD
26,25849.78,149865.65,0,149865.65,HOLD
27,25299.36,149865.65,0,149865.65,HOLD
28,25057.94,124807.71,1,149865.65,BUY
29,24671.51,100136.20,2,149479.22,BUY
30,24868.29,125004.49,1,149872.78,SELL
31,24685.44,149689.93,0,149689.93,SELL
32,25079.25,149689.93,0,149689.93,HOLD
33,25360.03,149689.93,0,149689.93,HOLD
34,24931.17,149689.93,0,149689.93,HOLD
35,24213.36,149689.93,0,149689.93,HOLD
36,24635.24,125054.69,1,149689.93,BUY
37,23559.99,101494.70,2,148614.68,BUY
38,23368.49,101494.70,2,148231.68,HOLD
39,24059.29,101494.70,2,149613.28,HOLD
40,24194.41,125689.11,1,149883.52,SELL
41,24683.25,150372.36,0,150372.36,SELL
42,24232.66,150372.36,0,150372.36,HOLD
43,25950.41,150372.36,0,150372.36,HOLD
44,26191.54,150372.36,0,150372.36,HOLD
45,26369.34,150372.36,0,150372.36,HOLD
46,26322.68,150372.36,0,150372.36,HOLD
47,26256.40,150372.36,0,150372.36,HOLD
48,26318.11,150372.36,0,150372.36,HOLD
49,26274.65,150372.36,0,150372.36,HOLD
50,26432.91,150372.36,0,150372.36,HOLD
51,27389.78,150372.36,0,150372.36,HOLD
52,28136.64,150372.36,0,150372.36,HOLD
53,29676.54,150372.36,0,150372.36,HOLD
54,29194.37,150372.36,0,150372.36,HOLD
55,28967.01,150372.36,0,150372.36,HOLD
56,29732.23,150372.36,0,150372.36,HOLD
57,30099.71,150372.36,0,150372.36,HOLD
58,28980.21,150372.36,0,150372.36,HOLD
59,28513.13,150372.36,0,150372.36,HOLD
60,28707.35,150372.36,0,150372.36,HOLD
