DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,151087.50,0,151087.50,HOLD
1,28428.17,122659.33,1,151087.50,BUY
2,28504.27,122659.33,1,151163.60,HOLD
3,28813.13,122659.33,1,151472.46,HOLD
4,27774.50,94884.83,2,150433.83,BUY
5,26491.66,68393.17,3,147868.15,BUY
6,27436.99,40956.18,4,150704.14,BUY
7,27496.25,13459.93,5,150941.18,BUY
8,26667.04,40126.97,4,146795.13,SELL
9,26233.39,13893.58,5,145060.53,BUY
10,24978.97,13893.58,5,138788.43,HOLD
11,22676.46,13893.58,5,127275.88,HOLD
12,22383.25,13893.58,5,125809.83,HOLD
13,23238.04,13893.58,5,130083.78,HOLD
14,23796.03,13893.58,5,132873.73,HOLD
15,23854.79,37748.37,4,133167.53,SELL
16,23806.30,61554.67,3,132973.57,SELL
17,23584.95,37969.72,4,132309.52,BUY
18,24470.18,62439.90,3,135850.44,SELL
19,23722.17,86162.07,2,133606.41,SELL
20,22519.73,86162.07,2,131201.53,HOLD
21,23539.91,62622.16,3,133241.89,BUY
22,24678.55,87300.71,2,136657.81,SELL
23,23684.96,110985.67,1,134670.63,SELL
24,24391.17,86594.50,2,135376.84,BUY
25,24271.77,86594.50,2,135138.04,HOLD
26,25849.78,112444.28,1,138294.06,SELL
27,25299.36,137743.64,0,137743.64,SELL
28,25057.94,137743.64,0,137743.64,HOLD
29,24671.51,137743.64,0,137743.64,HOLD
30,24868.29,112875.35,1,137743.64,BUY
31,24685.44,88189.91,2,137560.79,BUY
32,25079.25,63110.66,3,138348.41,BUY
33,25360.03,88470.69,2,139190.75,SELL
34,24931.17,63539.52,3,138333.03,BUY
35,24213.36,87752.88,2,136179.60,SELL
36,24635.24,63117.64,3,137023.36,BUY
37,23559.99,63117.64,3,133797.61,HOLD
38,23368.49,63117.64,3,133223.11,HOLD
39,24059.29,87176.93,2,135295.51,SELL
40,24194.41,87176.93,2,135565.75,HOLD
41,24683.25,62493.68,3,136543.43,BUY
42,24232.66,62493.68,3,135191.66,HOLD
43,25950.41,88444.09,2,140344.91,SELL
44,26191.54,62252.55,3,140827.17,BUY
45,26369.34,62252.55,3,141360.57,HOLD
46,26322.68,35929.87,4,141220.59,BUY
47,26256.40,62186.27,3,140955.47,SELL
48,26318.11,88504.38,2,141140.60,SELL
49,26274.65,114779.03,1,141053.68,SELL
50,26432.91,141211.94,0,141211.94,SELL
51,27389.78,141211.94,0,141211.94,HOLD
52,28136.64,141211.94,0,141211.94,HOLD
53,29676.54,141211.94,0,141211.94,HOLD
54,29194.37,112017.57,1,141211.94,BUY
55,28967.01,140984.58,0,140984.58,SELL
56,29732.23,140984.58,0,140984.58,HOLD
57,30099.71,110884.87,1,140984.58,BUY
58,28980.21,139865.08,0,139865.08,SELL
59,28513.13,111351.95,1,139865.08,BUY
60,28707.35,140059.30,0,140059.30,SELL
61,28737.54,140059.30,0,140059.30,HOLD
