DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,161587.78,1,185425.50,BUY
1,23506.15,138081.63,2,185093.93,BUY
2,24013.75,114067.88,3,186109.13,BUY
3,23755.32,90312.56,4,185333.84,BUY
4,23139.98,67172.58,5,182872.48,BUY
5,23759.42,43413.16,6,185969.68,BUY
6,23335.99,20077.17,7,183429.10,BUY
7,22335.21,20077.17,7,176423.64,HOLD
8,21082.73,20077.17,7,167656.28,HOLD
9,18891.77,1185.40,8,152319.56,BUY
10,16378.94,1185.40,8,132216.92,HOLD
11,18446.80,1185.40,8,148759.80,HOLD
12,17871.62,1185.40,8,144158.36,HOLD
13,18730.80,1185.40,8,151031.80,HOLD
14,19465.95,1185.40,8,156913.00,HOLD
15,18858.25,1185.40,8,152051.40,HOLD
16,20084.83,1185.40,8,161864.04,HOLD
17,20293.97,1185.40,8,163537.16,HOLD
18,20433.45,1185.40,8,164653.00,HOLD
19,20918.11,1185.40,8,168530.28,HOLD
20,22118.40,1185.40,8,178132.60,HOLD
21,22933.14,1185.40,8,184650.52,HOLD
22,21899.48,1185.40,8,176381.24,HOLD
23,22257.14,1185.40,8,179242.52,HOLD
24,22273.38,1185.40,8,179372.44,HOLD
25,22540.44,1185.40,8,181508.92,HOLD
26,22538.78,1185.40,8,181495.64,HOLD
27,22780.22,1185.40,8,183427.16,HOLD
28,22334.71,1185.40,8,179863.08,HOLD
29,22362.89,1185.40,8,180088.52,HOLD
30,23222.85,1185.40,8,186968.20,HOLD
31,22920.30,1185.40,8,184547.80,HOLD
32,22594.79,1185.40,8,181943.72,HOLD
33,23098.77,1185.40,8,185975.56,HOLD
34,23114.63,1185.40,8,186102.44,HOLD
35,23290.19,1185.40,8,187506.92,HOLD
36,23347.64,1185.40,8,187966.52,HOLD
37,23272.45,1185.40,8,187365.00,HOLD
38,23518.81,1185.40,8,189335.88,HOLD
39,23611.33,1185.40,8,190076.04,HOLD
40,23334.23,1185.40,8,187859.24,HOLD
41,23756.78,1185.40,8,191239.64,HOLD
42,25316.60,1185.40,8,203718.20,HOLD
43,25474.94,1185.40,8,204984.92,HOLD
44,26419.05,1185.40,8,212537.80,HOLD
45,26646.08,1185.40,8,214354.04,HOLD
46,26553.01,1185.40,8,213609.48,HOLD
47,26707.30,1185.40,8,214843.80,HOLD
48,26638.28,1185.40,8,214291.64,HOLD
49,27073.46,1185.40,8,217773.08,HOLD
50,28133.59,1185.40,8,226254.12,HOLD
51,28402.11,1185.40,8,228402.28,HOLD
52,28542.00,1185.40,8,229521.40,HOLD
53,28402.30,1185.40,8,228403.80,HOLD
54,29368.18,1185.40,8,236130.84,HOLD
55,30140.01,1185.40,8,242305.48,HOLD
