DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,185425.50,0,185425.50,HOLD
1,23506.15,161919.35,1,185425.50,BUY
2,24013.75,137905.60,2,185933.10,BUY
3,23755.32,137905.60,2,185416.24,HOLD
4,23139.98,137905.60,2,184185.56,HOLD
5,23759.42,137905.60,2,185424.44,HOLD
6,23335.99,137905.60,2,184577.58,HOLD
7,22335.21,115570.39,3,182576.02,BUY
8,21082.73,136653.12,2,178818.58,SELL
9,18891.77,136653.12,2,174436.66,HOLD
10,16378.94,153032.06,1,169411.00,SELL
11,18446.80,153032.06,1,171478.86,HOLD
12,17871.62,135160.44,2,170903.68,BUY
13,18730.80,153891.24,1,172622.04,SELL
14,19465.95,173357.19,0,173357.19,SELL
15,18858.25,154498.94,1,173357.19,BUY
16,20084.83,134414.11,2,174583.77,BUY
17,20293.97,154708.08,1,175002.05,SELL
18,20433.45,154708.08,1,175141.53,HOLD
19,20918.11,175626.19,0,175626.19,SELL
20,22118.40,175626.19,0,175626.19,HOLD
21,22933.14,175626.19,0,175626.19,HOLD
22,21899.48,175626.19,0,175626.19,HOLD
23,22257.14,153369.05,1,175626.19,BUY
24,22273.38,131095.67,2,175642.43,BUY
25,22540.44,108555.23,3,176176.55,BUY
26,22538.78,131094.01,2,176171.57,SELL
27,22780.22,131094.01,2,176654.45,HOLD
28,22334.71,153428.72,1,175763.43,SELL
29,22362.89,153428.72,1,175791.61,HOLD
30,23222.85,153428.72,1,176651.57,HOLD
31,22920.30,176349.02,0,176349.02,SELL
32,22594.79,176349.02,0,176349.02,HOLD
33,23098.77,153250.25,1,176349.02,BUY
34,23114.63,130135.62,2,176364.88,BUY
35,23290.19,106845.43,3,176716.00,BUY
36,23347.64,130193.07,2,176888.35,SELL
37,23272.45,130193.07,2,176737.97,HOLD
38,23518.81,106674.26,3,177230.69,BUY
39,23611.33,130285.59,2,177508.25,SELL
40,23334.23,130285.59,2,176954.05,HOLD
41,23756.78,106528.81,3,177799.15,BUY
42,25316.60,131845.41,2,182478.61,SELL
43,25474.94,131845.41,2,182795.29,HOLD
44,26419.05,158264.46,1,184683.51,SELL
45,26646.08,184910.54,0,184910.54,SELL
46,26553.01,184910.54,0,184910.54,HOLD
47,26707.30,158203.24,1,184910.54,BUY
48,26638.28,158203.24,1,184841.52,HOLD
