DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,5420.49,1,6025.00,BUY
1,483.51,4936.98,2,5904.00,BUY
2,454.24,4936.98,2,5845.46,HOLD
3,551.25,4936.98,2,6039.48,HOLD
4,593.22,4936.98,2,6123.42,HOLD
5,602.05,4334.93,3,6141.08,BUY
6,616.88,3718.05,4,6185.57,BUY
7,644.06,3073.99,5,6294.29,BUY
8,676.60,2397.39,6,6456.99,BUY
9,688.88,1708.51,7,6530.67,BUY
10,708.60,999.91,8,6668.71,BUY
11,716.83,283.08,9,6734.55,BUY
12,747.37,283.08,9,7009.41,HOLD
13,693.15,283.08,9,6521.43,HOLD
14,741.78,283.08,9,6959.10,HOLD
15,732.86,283.08,9,6878.82,HOLD
16,750.43,283.08,9,7036.95,HOLD
17,773.08,283.08,9,7240.80,HOLD
18,776.97,283.08,9,7275.81,HOLD
19,795.19,283.08,9,7439.79,HOLD
20,815.15,283.08,9,7619.43,HOLD
21,854.48,283.08,9,7973.40,HOLD
22,794.91,283.08,9,7437.27,HOLD
23,820.02,283.08,9,7663.26,HOLD
24,847.53,283.08,9,7910.85,HOLD
25,874.31,283.08,9,8151.87,HOLD
26,893.24,283.08,9,8322.24,HOLD
27,838.13,283.08,9,7826.25,HOLD
28,839.68,283.08,9,7840.20,HOLD
29,868.01,283.08,9,8095.17,HOLD
30,821.50,283.08,9,7676.58,HOLD
31,776.70,283.08,9,7273.38,HOLD
32,789.85,283.08,9,7391.73,HOLD
33,845.17,283.08,9,7889.61,HOLD
34,841.60,283.08,9,7857.48,HOLD
35,868.60,283.08,9,8100.48,HOLD
36,885.65,283.08,9,8253.93,HOLD
37,910.36,283.08,9,8476.32,HOLD
38,924.52,283.08,9,8603.76,HOLD
39,940.98,283.08,9,8751.90,HOLD
40,928.58,283.08,9,8640.30,HOLD
41,982.27,283.08,9,9123.51,HOLD
42,973.63,283.08,9,9045.75,HOLD
43,975.62,283.08,9,9063.66,HOLD
44,957.17,283.08,9,8897.61,HOLD
45,958.05,283.08,9,8905.53,HOLD
46,965.83,283.08,9,8975.55,HOLD
47,953.48,283.08,9,8864.40,HOLD
48,914.49,283.08,9,8513.49,HOLD
49,877.73,283.08,9,8182.65,HOLD
50,928.17,283.08,9,8636.61,HOLD
51,945.97,283.08,9,8796.81,HOLD
52,954.54,283.08,9,8873.94,HOLD
53,964.62,283.08,9,8964.66,HOLD
54,1001.00,283.08,9,9292.08,HOLD
55,1025.48,283.08,9,9512.40,HOLD
56,1019.81,283.08,9,9461.37,HOLD
57,944.15,283.08,9,8780.43,HOLD
58,958.57,283.08,9,8910.21,HOLD
59,962.78,283.08,9,8948.10,HOLD
60,960.64,283.08,9,8928.84,HOLD
61,981.52,283.08,9,9116.76,HOLD
62,979.47,283.08,9,9098.31,HOLD
63,994.76,283.08,9,9235.92,HOLD
64,1010.18,283.08,9,9374.70,HOLD
65,1028.48,283.08,9,9539.40,HOLD
66,1028.14,283.08,9,9536.34,HOLD
67,1046.57,283.08,9,9702.21,HOLD
68,1046.51,283.08,9,9701.67,HOLD
69,1039.26,283.08,9,9636.42,HOLD
70,1050.32,283.08,9,9735.96,HOLD
71,1052.21,283.08,9,9752.97,HOLD
72,964.02,283.08,9,8959.26,HOLD
73,1014.10,283.08,9,9409.98,HOLD
74,1047.12,283.08,9,9707.16,HOLD
75,1026.97,283.08,9,9525.81,HOLD
76,1033.69,283.08,9,9586.29,HOLD
77,989.07,283.08,9,9184.71,HOLD
78,932.32,283.08,9,8673.96,HOLD
79,981.83,283.08,9,9119.55,HOLD
80,989.43,283.08,9,9187.95,HOLD
81,991.03,283.08,9,9202.35,HOLD
82,995.35,283.08,9,9241.23,HOLD
83,998.14,283.08,9,9266.34,HOLD
84,1029.54,283.08,9,9548.94,HOLD
85,999.40,283.08,9,9277.68,HOLD
86,977.91,283.08,9,9084.27,HOLD
87,1010.02,283.08,9,9373.26,HOLD
88,995.93,283.08,9,9246.45,HOLD
89,1005.61,283.08,9,9333.57,HOLD
90,1030.57,283.08,9,9558.21,HOLD
91,976.41,283.08,9,9070.77,HOLD
92,954.82,283.08,9,8876.46,HOLD
93,911.02,283.08,9,8482.26,HOLD
94,887.02,283.08,9,8266.26,HOLD
95,893.21,283.08,9,8321.97,HOLD
96,858.78,283.08,9,8012.10,HOLD
97,847.86,283.08,9,7913.82,HOLD
98,896.84,283.08,9,8354.64,HOLD
99,870.81,283.08,9,8120.37,HOLD
100,917.93,283.08,9,8544.45,HOLD
101,926.55,283.08,9,8622.03,HOLD
102,938.45,283.08,9,8729.13,HOLD
103,920.75,283.08,9,8569.83,HOLD
104,917.53,283.08,9,8540.85,HOLD
105,899.83,283.08,9,8381.55,HOLD
106,892.54,283.08,9,8315.94,HOLD
107,831.59,283.08,9,7767.39,HOLD
108,856.30,283.08,9,7989.78,HOLD
109,865.05,283.08,9,8068.53,HOLD
110,884.11,283.08,9,8240.07,HOLD
111,867.20,283.08,9,8087.88,HOLD
112,800.56,283.08,9,7488.12,HOLD
113,714.38,283.08,9,6712.50,HOLD
114,744.24,283.08,9,6981.24,HOLD
115,750.67,283.08,9,7039.11,HOLD
116,757.99,283.08,9,7104.99,HOLD
117,790.97,283.08,9,7401.81,HOLD
118,796.48,283.08,9,7451.40,HOLD
119,820.06,283.08,9,7663.62,HOLD
120,828.27,283.08,9,7737.51,HOLD
121,814.17,283.08,9,7610.61,HOLD
122,801.84,283.08,9,7499.64,HOLD
123,784.67,283.08,9,7345.11,HOLD
124,790.83,283.08,9,7400.55,HOLD
125,757.33,283.08,9,7099.05,HOLD
126,681.59,283.08,9,6417.39,HOLD
127,683.15,283.08,9,6431.43,HOLD
128,650.39,283.08,9,6136.59,HOLD
129,675.89,283.08,9,6366.09,HOLD
130,686.41,283.08,9,6460.77,HOLD
131,683.74,283.08,9,6436.74,HOLD
132,705.70,283.08,9,6634.38,HOLD
133,735.04,283.08,9,6898.44,HOLD
134,729.41,283.08,9,6847.77,HOLD
135,739.16,283.08,9,6935.52,HOLD
136,711.08,283.08,9,6682.80,HOLD
137,721.46,283.08,9,6776.22,HOLD
138,709.52,283.08,9,6668.76,HOLD
139,675.80,283.08,9,6365.28,HOLD
140,676.40,283.08,9,6370.68,HOLD
141,709.26,283.08,9,6666.42,HOLD
142,712.32,283.08,9,6693.96,HOLD
143,732.33,283.08,9,6874.05,HOLD
144,762.30,283.08,9,7143.78,HOLD
145,774.61,283.08,9,7254.57,HOLD
146,786.48,283.08,9,7361.40,HOLD
147,783.66,283.08,9,7336.02,HOLD
148,807.95,283.08,9,7554.63,HOLD
149,773.65,283.08,9,7245.93,HOLD
150,807.91,283.08,9,7554.27,HOLD
151,832.44,283.08,9,7775.04,HOLD
152,856.15,283.08,9,7988.43,HOLD
153,888.63,283.08,9,8280.75,HOLD
154,907.59,283.08,9,8451.39,HOLD
155,829.19,283.08,9,7745.79,HOLD
156,839.08,283.08,9,7834.80,HOLD
157,820.24,283.08,9,7665.24,HOLD
158,836.68,283.08,9,7813.20,HOLD
159,842.17,283.08,9,7862.61,HOLD
160,865.13,283.08,9,8069.25,HOLD
161,889.58,283.08,9,8289.30,HOLD
162,883.09,283.08,9,8230.89,HOLD
163,867.68,283.08,9,8092.20,HOLD
164,883.41,283.08,9,8233.77,HOLD
165,865.65,283.08,9,8073.93,HOLD
166,901.12,283.08,9,8393.16,HOLD
167,924.31,283.08,9,8601.87,HOLD
168,926.75,283.08,9,8623.83,HOLD
169,889.25,283.08,9,8286.33,HOLD
170,877.85,283.08,9,8183.73,HOLD
171,881.40,283.08,9,8215.68,HOLD
172,921.05,283.08,9,8572.53,HOLD
173,916.08,283.08,9,8527.80,HOLD
174,882.27,283.08,9,8223.51,HOLD
175,874.92,283.08,9,8157.36,HOLD
176,821.71,283.08,9,7678.47,HOLD
177,805.03,283.08,9,7528.35,HOLD
178,807.45,283.08,9,7550.13,HOLD
179,770.84,283.08,9,7220.64,HOLD
180,737.52,283.08,9,6920.76,HOLD
181,810.15,283.08,9,7574.43,HOLD
182,805.27,283.08,9,7530.51,HOLD
183,809.83,283.08,9,7571.55,HOLD
184,812.95,283.08,9,7599.63,HOLD
185,814.00,283.08,9,7609.08,HOLD
186,828.72,283.08,9,7741.56,HOLD
187,860.56,283.08,9,8028.12,HOLD
188,856.53,283.08,9,7991.85,HOLD
189,875.34,283.08,9,8161.14,HOLD
190,855.00,283.08,9,7978.08,HOLD
191,836.89,283.08,9,7815.09,HOLD
192,815.54,283.08,9,7622.94,HOLD
193,807.36,283.08,9,7549.32,HOLD
194,831.56,283.08,9,7767.12,HOLD
195,860.91,283.08,9,8031.27,HOLD
196,858.56,283.08,9,8010.12,HOLD
197,860.01,283.08,9,8023.17,HOLD
198,881.95,283.08,9,8220.63,HOLD
199,899.24,283.08,9,8376.24,HOLD
200,908.98,283.08,9,8463.90,HOLD
201,878.12,283.08,9,8186.16,HOLD
202,858.24,283.08,9,8007.24,HOLD
203,824.99,283.08,9,7707.99,HOLD
204,852.80,283.08,9,7958.28,HOLD
205,869.75,283.08,9,8110.83,HOLD
206,856.88,283.08,9,7995.00,HOLD
207,844.97,283.08,9,7887.81,HOLD
208,838.08,283.08,9,7825.80,HOLD
209,844.13,283.08,9,7880.25,HOLD
210,871.12,283.08,9,8123.16,HOLD
211,854.94,283.08,9,7977.54,HOLD
212,837.80,283.08,9,7823.28,HOLD
213,838.90,283.08,9,7833.18,HOLD
214,851.72,283.08,9,7948.56,HOLD
215,812.90,283.08,9,7599.18,HOLD
216,794.23,283.08,9,7431.15,HOLD
217,807.50,283.08,9,7550.58,HOLD
218,732.74,283.08,9,6877.74,HOLD
219,783.88,283.08,9,7338.00,HOLD
220,764.83,283.08,9,7166.55,HOLD
221,757.87,283.08,9,7103.91,HOLD
222,705.67,283.08,9,6634.11,HOLD
223,726.37,283.08,9,6820.41,HOLD
224,758.02,283.08,9,7105.26,HOLD
225,763.20,283.08,9,7151.88,HOLD
226,765.27,283.08,9,7170.51,HOLD
227,749.64,283.08,9,7029.84,HOLD
228,729.75,283.08,9,6850.83,HOLD
229,728.11,283.08,9,6836.07,HOLD
230,727.04,283.08,9,6826.44,HOLD
231,681.00,283.08,9,6412.08,HOLD
232,683.37,283.08,9,6433.41,HOLD
233,675.78,283.08,9,6365.10,HOLD
234,627.01,283.08,9,5926.17,HOLD
235,695.67,6544.11,0,6544.11,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
236,671.09,6544.11,0,6544.11,HOLD
