DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,6025.00,0,6025.00,HOLD
1,483.51,5541.49,1,6025.00,BUY
2,454.24,5995.73,0,5995.73,SELL
3,551.25,5995.73,0,5995.73,HOLD
4,593.22,5402.51,1,5995.73,BUY
5,602.05,6004.56,0,6004.56,SELL
6,616.88,5387.68,1,6004.56,BUY
7,644.06,5387.68,1,6031.74,HOLD
8,676.60,5387.68,1,6064.28,HOLD
9,688.88,6076.56,0,6076.56,SELL
10,708.60,5367.96,1,6076.56,BUY
11,716.83,5367.96,1,6084.79,HOLD
12,747.37,4620.59,2,6115.33,BUY
13,693.15,3927.44,3,6006.89,BUY
14,741.78,3927.44,3,6152.78,HOLD
15,732.86,3927.44,3,6126.02,HOLD
16,750.43,3177.01,4,6178.73,BUY
17,773.08,3950.09,3,6269.33,SELL
18,776.97,3950.09,3,6281.00,HOLD
19,795.19,4745.28,2,6335.66,SELL
20,815.15,3930.13,3,6375.58,BUY
21,854.48,3930.13,3,6493.57,HOLD
22,794.91,3135.22,4,6314.86,BUY
23,820.02,3135.22,4,6415.30,HOLD
24,847.53,2287.69,5,6525.34,BUY
25,874.31,3162.00,4,6659.24,SELL
26,893.24,2268.76,5,6734.96,BUY
27,838.13,2268.76,5,6459.41,HOLD
28,839.68,3108.44,4,6467.16,SELL
29,868.01,3976.45,3,6580.48,SELL
30,821.50,3154.95,4,6440.95,BUY
31,776.70,3154.95,4,6261.75,HOLD
32,789.85,3944.80,3,6314.35,SELL
33,845.17,3099.63,4,6480.31,BUY
34,841.60,2258.03,5,6466.03,BUY
35,868.60,2258.03,5,6601.03,HOLD
36,885.65,2258.03,5,6686.28,HOLD
37,910.36,3168.39,4,6809.83,SELL
38,924.52,4092.91,3,6866.47,SELL
39,940.98,3151.93,4,6915.85,BUY
40,928.58,4080.51,3,6866.25,SELL
41,982.27,4080.51,3,7027.32,HOLD
42,973.63,3106.88,4,7001.40,BUY
43,975.62,2131.26,5,7009.36,BUY
44,957.17,2131.26,5,6917.11,HOLD
45,958.05,1173.21,6,6921.51,BUY
46,965.83,1173.21,6,6968.19,HOLD
47,953.48,219.73,7,6894.09,BUY
48,914.49,1134.22,6,6621.16,SELL
49,877.73,256.49,7,6400.60,BUY
50,928.17,1184.66,6,6753.68,SELL
51,945.97,238.69,7,6860.48,BUY
52,954.54,1193.23,6,6920.47,SELL
53,964.62,2157.85,5,6980.95,SELL
54,1001.00,1156.85,6,7162.85,BUY
55,1025.48,1156.85,6,7309.73,HOLD
56,1019.81,1156.85,6,7275.71,HOLD
57,944.15,212.70,7,6821.75,BUY
58,958.57,212.70,7,6922.69,HOLD
59,962.78,212.70,7,6952.16,HOLD
60,960.64,212.70,7,6937.18,HOLD
61,981.52,212.70,7,7083.34,HOLD
62,979.47,212.70,7,7068.99,HOLD
63,994.76,212.70,7,7176.02,HOLD
64,1010.18,212.70,7,7283.96,HOLD
65,1028.48,1241.18,6,7412.06,SELL
66,1028.14,1241.18,6,7410.02,HOLD
67,1046.57,194.61,7,7520.60,BUY
68,1046.51,194.61,7,7520.18,HOLD
69,1039.26,1233.87,6,7469.43,SELL
70,1050.32,1233.87,6,7535.79,HOLD
71,1052.21,2286.08,5,7547.13,SELL
72,964.02,1322.06,6,7106.18,BUY
73,1014.10,1322.06,6,7406.66,HOLD
