DAY,Price,Cash,Shares,PortfolioValue,Action
0,591.38,5548.62,1,6140.00,BUY
1,485.14,5548.62,1,6033.76,HOLD
2,488.98,5059.64,2,6037.60,BUY
3,551.30,5610.94,1,6162.24,SELL
4,599.30,5011.64,2,6210.24,BUY
5,603.15,5011.64,2,6217.94,HOLD
6,637.33,4374.31,3,6286.30,BUY
7,635.16,4374.31,3,6279.79,HOLD
8,673.66,4374.31,3,6395.29,HOLD
9,687.67,3686.64,4,6437.32,BUY
10,718.81,3686.64,4,6561.88,HOLD
11,735.06,3686.64,4,6626.88,HOLD
12,746.56,3686.64,4,6672.88,HOLD
13,714.14,3686.64,4,6543.20,HOLD
14,744.26,2942.38,5,6663.68,BUY
15,731.76,2942.38,5,6601.18,HOLD
16,755.44,2186.94,6,6719.58,BUY
17,775.29,1411.65,7,6838.68,BUY
18,785.75,2197.40,6,6911.90,SELL
19,802.04,2999.44,5,7009.64,SELL
20,830.55,3829.99,4,7152.19,SELL
21,858.00,2971.99,5,7261.99,BUY
22,805.52,2971.99,5,6999.59,HOLD
23,827.27,3799.26,4,7108.34,SELL
24,858.23,3799.26,4,7232.18,HOLD
25,864.17,4663.43,3,7255.94,SELL
26,891.99,4663.43,3,7339.40,HOLD
27,821.89,4663.43,3,7129.10,HOLD
28,843.06,3820.37,4,7192.61,BUY
29,865.95,3820.37,4,7284.17,HOLD
30,803.24,3820.37,4,7033.33,HOLD
31,766.96,3053.41,5,6888.21,BUY
32,810.01,2243.40,6,7103.46,BUY
33,835.27,1408.13,7,7255.02,BUY
34,836.00,572.13,8,7260.13,BUY
35,868.89,1441.02,7,7523.25,SELL
36,883.24,1441.02,7,7623.70,HOLD
37,906.31,1441.02,7,7785.19,HOLD
38,921.27,1441.02,7,7889.91,HOLD
39,928.51,512.51,8,7940.59,BUY
40,955.38,512.51,8,8155.55,HOLD
41,978.12,512.51,8,8337.47,HOLD
42,963.09,1475.60,7,8217.23,SELL
43,975.05,2450.65,6,8300.95,SELL
44,918.68,1531.97,7,7962.73,BUY
45,961.26,2493.23,6,8260.79,SELL
46,974.30,1518.93,7,8339.03,BUY
47,934.35,2453.28,6,8059.38,SELL
48,920.07,1533.21,7,7973.70,BUY
49,890.07,1533.21,7,7763.70,HOLD
50,935.11,1533.21,7,8078.98,HOLD
51,939.19,594.02,8,8107.54,BUY
52,954.17,594.02,8,8227.38,HOLD
53,968.35,594.02,8,8340.82,HOLD
54,1009.34,594.02,8,8668.74,HOLD
55,1019.59,594.02,8,8750.74,HOLD
56,995.96,594.02,8,8561.70,HOLD
57,961.16,594.02,8,8283.30,HOLD
58,948.04,594.02,8,8178.34,HOLD
59,965.55,594.02,8,8318.42,HOLD
60,973.76,594.02,8,8384.10,HOLD
61,983.02,594.02,8,8458.18,HOLD
62,989.15,1583.17,7,8507.22,SELL
63,1004.57,578.60,8,8615.16,BUY
64,1011.31,578.60,8,8669.08,HOLD
65,1033.94,578.60,8,8850.12,HOLD
66,1013.91,578.60,8,8689.88,HOLD
67,1044.70,578.60,8,8936.20,HOLD
68,1053.01,578.60,8,9002.68,HOLD
69,1029.19,578.60,8,8812.12,HOLD
70,1055.64,578.60,8,9023.72,HOLD
71,1024.48,578.60,8,8774.44,HOLD
72,969.48,578.60,8,8334.44,HOLD
73,1027.84,578.60,8,8801.32,HOLD
74,1049.27,578.60,8,8972.76,HOLD
75,1023.98,1602.58,7,8770.44,SELL
76,1036.25,566.33,8,8856.33,BUY
77,999.58,566.33,8,8562.97,HOLD
78,948.02,566.33,8,8150.49,HOLD
79,985.14,566.33,8,8447.45,HOLD
80,986.55,566.33,8,8458.73,HOLD
