DAY,Price,Cash,Shares,PortfolioValue,Action
0,2165.39,9308.40,0,9308.40,HOLD
1,2188.10,9308.40,0,9308.40,HOLD
2,2245.58,9308.40,0,9308.40,HOLD
3,2166.23,7142.17,1,9308.40,BUY
4,2120.53,7142.17,1,9262.70,HOLD
5,2211.25,7142.17,1,9353.42,HOLD
6,2205.21,4936.96,2,9347.38,BUY
7,2071.50,2865.46,3,9079.96,BUY
8,2009.39,2865.46,3,8893.63,HOLD
9,1934.72,2865.46,3,8669.62,HOLD
10,1637.88,1227.58,4,7779.10,BUY
11,1508.68,2736.26,3,7262.30,SELL
12,1722.62,2736.26,3,7904.12,HOLD
13,1791.92,2736.26,3,8112.02,HOLD
14,1837.17,899.09,4,8247.77,BUY
15,1844.85,899.09,4,8278.49,HOLD
16,1934.31,899.09,4,8636.33,HOLD
17,1932.87,899.09,4,8630.57,HOLD
18,1921.14,899.09,4,8583.65,HOLD
19,1967.84,899.09,4,8770.45,HOLD
20,2035.63,899.09,4,9041.61,HOLD
21,2174.96,899.09,4,9598.93,HOLD
22,2030.82,2929.91,3,9022.37,SELL
23,2122.10,2929.91,3,9296.21,HOLD
24,2087.84,842.07,4,9193.43,BUY
25,2157.71,842.07,4,9472.91,HOLD
26,2163.07,842.07,4,9494.35,HOLD
27,2183.83,3025.90,3,9577.39,SELL
28,2203.48,3025.90,3,9636.34,HOLD
29,2237.04,3025.90,3,9737.02,HOLD
30,2349.33,3025.90,3,10073.89,HOLD
31,2336.78,5362.68,2,10036.24,SELL
32,2340.97,3021.71,3,10044.62,BUY
33,2331.23,3021.71,3,10015.40,HOLD
34,2391.43,5413.14,2,10196.00,SELL
35,2423.79,2989.35,3,10260.72,BUY
36,2323.58,5312.93,2,9960.09,SELL
37,2320.04,7632.97,1,9953.01,SELL
38,2393.74,5239.23,2,10026.71,BUY
39,2344.77,7584.00,1,9928.77,SELL
40,2342.58,5241.42,2,9926.58,BUY
41,2267.95,5241.42,2,9777.32,HOLD
42,2434.52,2806.90,3,10110.46,BUY
43,2507.46,299.44,4,10329.28,BUY
44,2553.70,299.44,4,10514.24,HOLD
45,2591.34,2890.78,3,10664.80,SELL
46,2711.42,2890.78,3,11025.04,HOLD
47,2755.29,2890.78,3,11156.65,HOLD
48,2747.09,2890.78,3,11132.05,HOLD
49,2792.06,5682.84,2,11266.96,SELL
50,2980.75,2702.09,3,11644.34,BUY
51,3128.72,2702.09,3,12088.25,HOLD
52,3123.27,2702.09,3,12071.90,HOLD
53,3046.64,2702.09,3,11842.01,HOLD
54,3068.46,2702.09,3,11907.47,HOLD
55,3108.70,2702.09,3,12028.19,HOLD
56,3079.16,2702.09,3,11939.57,HOLD
57,3020.74,2702.09,3,11764.31,HOLD
58,2929.36,2702.09,3,11490.17,HOLD
59,3049.23,2702.09,3,11849.78,HOLD
60,3003.05,5705.14,2,11711.24,SELL
61,3038.44,2666.70,3,11782.02,BUY
62,3110.19,2666.70,3,11997.27,HOLD
63,3136.99,2666.70,3,12077.67,HOLD
64,3195.96,2666.70,3,12254.58,HOLD
65,3203.25,5869.95,2,12276.45,SELL
66,3109.78,5869.95,2,12089.51,HOLD
67,3138.04,5869.95,2,12146.03,HOLD
68,3140.48,2729.47,3,12150.91,BUY
69,3142.37,2729.47,3,12156.58,HOLD
70,3224.96,2729.47,3,12404.35,HOLD
71,3210.31,2729.47,3,12360.40,HOLD
72,3251.32,2729.47,3,12483.43,HOLD
73,3277.85,6007.32,2,12563.02,SELL
74,3278.10,6007.32,2,12563.52,HOLD
75,3252.41,9259.73,1,12512.14,SELL
76,3263.09,9259.73,1,12522.82,HOLD
77,3235.17,6024.56,2,12494.90,BUY
78,3232.50,9257.06,1,12489.56,SELL
79,3273.33,12530.39,0,12530.39,SELL
80,3202.11,12530.39,0,12530.39,HOLD
81,3049.03,12530.39,0,12530.39,HOLD
82,3106.97,9423.42,1,12530.39,BUY
83,3181.64,9423.42,1,12605.06,HOLD
84,3103.38,9423.42,1,12526.80,HOLD
85,3112.51,6310.91,2,12535.93,BUY
86,3030.60,6310.91,2,12372.11,HOLD
87,2927.60,3383.31,3,12166.11,BUY
88,2999.33,383.98,4,12381.30,BUY
89,2996.26,383.98,4,12369.02,HOLD
90,2965.40,383.98,4,12245.58,HOLD
91,2953.96,383.98,4,12199.82,HOLD
92,2938.27,383.98,4,12137.06,HOLD
93,2948.07,383.98,4,12176.26,HOLD
94,2930.31,383.98,4,12105.22,HOLD
95,2927.55,3311.53,3,12094.18,SELL
96,2998.29,6309.82,2,12306.40,SELL
97,2984.19,6309.82,2,12278.20,HOLD
98,3009.48,3300.34,3,12328.78,BUY
99,2979.42,6279.76,2,12238.60,SELL
100,2910.90,3368.86,3,12101.56,BUY
101,2875.98,3368.86,3,11996.80,HOLD
102,2780.68,588.18,4,11710.90,BUY
103,2702.78,588.18,4,11399.30,HOLD
104,2761.76,588.18,4,11635.22,HOLD
105,2711.99,3300.17,3,11436.14,SELL
106,2642.63,657.54,4,11228.06,BUY
107,2702.34,657.54,4,11466.90,HOLD
108,2633.31,3290.85,3,11190.78,SELL
109,2683.69,3290.85,3,11341.92,HOLD
110,2707.74,583.11,4,11414.07,BUY
111,2722.45,583.11,4,11472.91,HOLD
112,2683.96,583.11,4,11318.95,HOLD
113,2681.37,3264.48,3,11308.59,SELL
114,2657.04,607.44,4,11235.60,BUY
115,2667.85,607.44,4,11278.84,HOLD
116,2553.01,3160.45,3,10819.48,SELL
117,2603.58,556.87,4,10971.19,BUY
118,2605.87,556.87,4,10980.35,HOLD
119,2654.32,3211.19,3,11174.15,SELL
120,2606.61,604.58,4,11031.02,BUY
121,2447.33,3051.91,3,10393.90,SELL
122,2306.48,3051.91,3,9971.35,HOLD
123,2332.59,5384.50,2,10049.68,SELL
124,2307.90,5384.50,2,10000.30,HOLD
125,2307.69,5384.50,2,9999.88,HOLD
126,2387.91,2996.59,3,10160.32,BUY
127,2429.07,567.52,4,10283.80,BUY
128,2465.32,567.52,4,10428.80,HOLD
129,2506.41,567.52,4,10593.16,HOLD
130,2492.69,567.52,4,10538.28,HOLD
131,2476.75,567.52,4,10474.52,HOLD
132,2402.67,567.52,4,10178.20,HOLD
133,2418.59,567.52,4,10241.88,HOLD
134,2359.84,567.52,4,10006.88,HOLD
135,2197.90,567.52,4,9359.12,HOLD
136,2204.03,2771.55,3,9383.64,SELL
137,2162.87,2771.55,3,9260.16,HOLD
138,2200.44,571.11,4,9372.87,BUY
139,2262.02,571.11,4,9619.19,HOLD
140,2296.44,2867.55,3,9756.87,SELL
141,2401.99,2867.55,3,10073.52,HOLD
142,2442.90,2867.55,3,10196.25,HOLD
143,2428.12,2867.55,3,10151.91,HOLD
144,2474.33,2867.55,3,10290.54,HOLD
145,2357.20,510.35,4,9939.15,BUY
146,2360.95,510.35,4,9954.15,HOLD
