DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,37348.70,0,37348.70,HOLD
1,9164.66,37348.70,0,37348.70,HOLD
2,9346.81,37348.70,0,37348.70,HOLD
3,9088.04,28260.66,1,37348.70,BUY
4,9188.55,37449.21,0,37449.21,SELL
5,9493.63,27955.58,1,37449.21,BUY
6,9675.80,18279.78,2,37631.38,BUY
7,8940.49,18279.78,2,36160.76,HOLD
8,8602.89,9676.89,3,35485.56,BUY
9,7930.43,1746.46,4,33468.18,BUY
10,6828.91,8575.37,3,29062.10,SELL
11,7169.86,15745.23,2,30084.95,SELL
12,7642.86,23388.09,1,31030.95,SELL
13,7881.22,23388.09,1,31269.31,HOLD
14,8308.79,31696.88,0,31696.88,SELL
15,8404.54,31696.88,0,31696.88,HOLD
16,8765.01,22931.87,1,31696.88,BUY
17,8819.37,31751.24,0,31751.24,SELL
18,8752.68,31751.24,0,31751.24,HOLD
19,9304.20,31751.24,0,31751.24,HOLD
20,9345.28,31751.24,0,31751.24,HOLD
21,9560.41,31751.24,0,31751.24,HOLD
22,9491.31,31751.24,0,31751.24,HOLD
23,9885.66,31751.24,0,31751.24,HOLD
24,9810.47,31751.24,0,31751.24,HOLD
25,10194.06,21557.18,1,31751.24,BUY
26,10447.01,21557.18,1,32004.19,HOLD
27,10421.20,11135.98,2,31978.38,BUY
28,10217.31,11135.98,2,31570.60,HOLD
29,10557.70,11135.98,2,32251.38,HOLD
30,10920.37,11135.98,2,32976.72,HOLD
31,10972.06,22108.04,1,33080.10,SELL
32,11245.44,22108.04,1,33353.48,HOLD
33,11634.77,10473.27,2,33742.81,BUY
34,10875.87,21349.14,1,32225.01,SELL
35,10982.26,10366.88,2,32331.40,BUY
36,10519.49,20886.37,1,31405.86,SELL
37,11019.14,9867.23,2,31905.51,BUY
38,11162.52,9867.23,2,32192.27,HOLD
39,11704.13,9867.23,2,33275.49,HOLD
40,11454.57,21321.80,1,32776.37,SELL
41,11221.06,32542.86,0,32542.86,SELL
42,10830.94,21711.92,1,32542.86,BUY
43,11703.49,21711.92,1,33415.41,HOLD
44,11814.89,33526.81,0,33526.81,SELL
45,11796.53,21730.28,1,33526.81,BUY
46,12263.93,9466.35,2,33994.21,BUY
47,12453.21,21919.56,1,34372.77,SELL
48,12465.42,9454.14,2,34384.98,BUY
49,12695.31,9454.14,2,34844.76,HOLD
50,12857.76,9454.14,2,35169.66,HOLD
51,12867.34,9454.14,2,35188.82,HOLD
52,13098.41,9454.14,2,35650.96,HOLD
53,13463.66,9454.14,2,36381.46,HOLD
54,12985.05,9454.14,2,35424.24,HOLD
55,13761.66,23215.80,1,36977.46,SELL
56,13937.71,23215.80,1,37153.51,HOLD
57,13530.96,23215.80,1,36746.76,HOLD
58,13362.66,36578.46,0,36578.46,SELL
59,12599.23,23979.23,1,36578.46,BUY
60,13272.50,23979.23,1,37251.73,HOLD
61,13278.78,37258.01,0,37258.01,SELL
62,12968.16,37258.01,0,37258.01,HOLD
63,13674.28,37258.01,0,37258.01,HOLD
64,13902.45,23355.56,1,37258.01,BUY
65,13698.67,23355.56,1,37054.23,HOLD
66,14064.28,9291.28,2,37419.84,BUY
67,13485.59,22776.87,1,36262.46,SELL
68,13107.67,9669.20,2,35884.54,BUY
69,13299.92,9669.20,2,36269.04,HOLD
