DAY,Price,Cash,Shares,PortfolioValue,Action
0,27830.08,147639.70,0,147639.70,HOLD
1,28245.97,147639.70,0,147639.70,HOLD
2,28325.86,147639.70,0,147639.70,HOLD
3,28709.57,147639.70,0,147639.70,HOLD
4,27706.37,147639.70,0,147639.70,HOLD
5,26145.59,147639.70,0,147639.70,HOLD
6,27044.88,147639.70,0,147639.70,HOLD
7,27766.71,147639.70,0,147639.70,HOLD
8,26813.22,120826.48,1,147639.70,BUY
9,26077.73,94748.75,2,146904.21,BUY
10,24948.38,94748.75,2,144645.51,HOLD
11,22842.25,94748.75,2,140433.25,HOLD
12,21659.55,73089.20,3,138067.85,BUY
13,22973.33,96062.53,2,142009.19,SELL
14,23271.47,119334.00,1,142605.47,SELL
15,24090.50,95243.50,2,143424.50,BUY
16,23483.31,71760.19,3,142210.12,BUY
17,24549.62,47210.57,4,145409.05,BUY
18,24097.12,23113.45,5,143599.05,BUY
19,23671.61,23113.45,5,141471.50,HOLD
20,22878.26,23113.45,5,137504.75,HOLD
21,22781.11,23113.45,5,137019.00,HOLD
22,24253.56,23113.45,5,144381.25,HOLD
23,23895.03,23113.45,5,142588.60,HOLD
24,24334.36,47447.81,4,144785.25,SELL
25,24148.62,47447.81,4,144042.29,HOLD
26,25911.74,73359.55,3,151094.77,SELL
27,25254.32,98613.87,2,149122.51,SELL
28,25378.38,73235.49,3,149370.63,BUY
29,24642.35,73235.49,3,147162.54,HOLD
30,24539.44,97774.93,2,146853.81,SELL
31,24662.04,73112.89,3,147099.01,BUY
32,25257.88,98370.77,2,148886.53,SELL
33,25352.26,98370.77,2,149075.29,HOLD
34,24995.45,73375.32,3,148361.67,BUY
35,24341.32,49034.00,4,146399.28,BUY
36,24621.65,73655.65,3,147520.60,SELL
37,23675.62,97331.27,2,144682.51,SELL
38,23256.92,74074.35,3,143845.11,BUY
39,24021.93,98096.28,2,146140.14,SELL
40,24102.21,122198.49,1,146300.70,SELL
41,24556.55,122198.49,1,146755.04,HOLD
42,24029.95,122198.49,1,146228.44,HOLD
43,25540.98,122198.49,1,147739.47,HOLD
44,25909.18,122198.49,1,148107.67,HOLD
45,26313.28,95885.21,2,148511.77,BUY
46,26704.60,95885.21,2,149294.41,HOLD
47,26652.34,122537.55,1,149189.89,SELL
48,26443.01,148980.56,0,148980.56,SELL
49,26363.05,148980.56,0,148980.56,HOLD
50,26264.32,148980.56,0,148980.56,HOLD
51,27150.38,148980.56,0,148980.56,HOLD
52,27781.42,148980.56,0,148980.56,HOLD
53,29100.17,148980.56,0,148980.56,HOLD
54,29345.74,148980.56,0,148980.56,HOLD
55,29198.86,148980.56,0,148980.56,HOLD
56,29263.98,119716.58,1,148980.56,BUY
57,30570.55,150287.13,0,150287.13,SELL
58,29833.05,120454.08,1,150287.13,BUY
59,29102.10,91351.98,2,149556.18,BUY
60,28893.21,62458.77,3,149138.40,BUY
61,29317.61,62458.77,3,150411.60,HOLD
62,27505.08,89963.85,2,144974.01,SELL
63,28511.65,61452.20,3,146987.15,BUY
64,28452.12,89904.32,2,146808.56,SELL
65,28885.55,61018.77,3,147675.42,BUY
66,28793.22,89811.99,2,147398.43,SELL
67,28321.34,61490.65,3,146454.67,BUY
68,27910.71,89401.36,2,145222.78,SELL
69,28438.03,89401.36,2,146277.42,HOLD
70,29027.95,89401.36,2,147457.26,HOLD
71,29208.73,60192.63,3,147818.82,BUY
72,28687.69,88880.32,2,146255.70,SELL
73,28216.09,60664.23,3,145312.50,BUY
74,28782.34,31881.89,4,147011.25,BUY
75,28231.73,31881.89,4,144808.81,HOLD
76,26861.87,5020.02,5,139329.37,BUY
77,27878.53,32898.55,4,144412.67,SELL
78,27222.04,32898.55,4,141786.71,HOLD
79,25636.89,32898.55,4,135446.11,HOLD
80,26002.41,58900.96,3,136908.19,SELL
81,26200.24,32700.72,4,137501.68,BUY
82,24581.60,32700.72,4,131027.12,HOLD
83,25304.62,58005.34,3,133919.20,SELL
84,25811.77,58005.34,3,135440.65,HOLD
85,25870.71,58005.34,3,135617.47,HOLD
86,24424.74,82430.08,2,131279.56,SELL
87,24131.42,82430.08,2,130692.92,HOLD
88,23681.44,106111.52,1,129792.96,SELL
89,24865.80,106111.52,1,130977.32,HOLD
90,25915.62,80195.90,2,132027.14,BUY
91,25555.17,105751.07,1,131306.24,SELL
92,24808.59,80942.48,2,130559.66,BUY
93,24481.26,80942.48,2,129905.00,HOLD
94,25520.67,55421.81,3,131983.82,BUY
95,24557.63,79979.44,2,129094.70,SELL
96,23537.65,103517.09,1,127054.74,SELL
97,23907.30,127424.39,0,127424.39,SELL
98,23325.92,127424.39,0,127424.39,HOLD
99,22979.76,104444.63,1,127424.39,BUY
100,22990.24,127434.87,0,127434.87,SELL
101,22709.60,104725.27,1,127434.87,BUY
102,24289.19,129014.46,0,129014.46,SELL
103,24233.18,129014.46,0,129014.46,HOLD
104,23565.00,129014.46,0,129014.46,HOLD
105,24149.75,129014.46,0,129014.46,HOLD
106,24219.90,129014.46,0,129014.46,HOLD
107,23336.78,129014.46,0,129014.46,HOLD
108,22591.73,129014.46,0,129014.46,HOLD
109,20638.95,129014.46,0,129014.46,HOLD
110,18235.48,129014.46,0,129014.46,HOLD
111,21266.90,129014.46,0,129014.46,HOLD
112,21722.17,129014.46,0,129014.46,HOLD
113,22015.12,106999.34,1,129014.46,BUY
114,21141.06,128140.40,0,128140.40,SELL
115,20184.96,128140.40,0,128140.40,HOLD
116,20040.07,108100.33,1,128140.40,BUY
117,19178.89,127279.22,0,127279.22,SELL
118,20169.24,127279.22,0,127279.22,HOLD
119,19989.62,107289.60,1,127279.22,BUY
120,21029.72,107289.60,1,128319.32,HOLD
121,21734.49,85555.11,2,129024.09,BUY
