DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,151087.50,0,151087.50,HOLD
1,28428.17,151087.50,0,151087.50,HOLD
2,28504.27,122583.23,1,151087.50,BUY
3,28813.13,122583.23,1,151396.36,HOLD
4,27774.50,94808.73,2,150357.73,BUY
5,26491.66,94808.73,2,147792.05,HOLD
6,27436.99,94808.73,2,149682.71,HOLD
7,27496.25,94808.73,2,149801.23,HOLD
8,26667.04,94808.73,2,148142.81,HOLD
9,26233.39,68575.34,3,147275.51,BUY
10,24978.97,43596.37,4,143512.25,BUY
11,22676.46,43596.37,4,134302.21,HOLD
12,22383.25,65979.62,3,133129.37,SELL
13,23238.04,65979.62,3,135693.74,HOLD
14,23796.03,42183.59,4,137367.71,BUY
15,23854.79,42183.59,4,137602.75,HOLD
16,23806.30,18377.29,5,137408.79,BUY
17,23584.95,18377.29,5,136302.04,HOLD
18,24470.18,18377.29,5,140728.19,HOLD
19,23722.17,18377.29,5,136988.14,HOLD
20,22519.73,40897.02,4,130975.94,SELL
21,23539.91,17357.11,5,135056.66,BUY
22,24678.55,17357.11,5,140749.86,HOLD
23,23684.96,17357.11,5,135781.91,HOLD
24,24391.17,17357.11,5,139312.96,HOLD
25,24271.77,17357.11,5,138715.96,HOLD
26,25849.78,17357.11,5,146606.01,HOLD
27,25299.36,17357.11,5,143853.91,HOLD
28,25057.94,17357.11,5,142646.81,HOLD
29,24671.51,17357.11,5,140714.66,HOLD
30,24868.29,17357.11,5,141698.56,HOLD
31,24685.44,17357.11,5,140784.31,HOLD
32,25079.25,17357.11,5,142753.36,HOLD
33,25360.03,42717.14,4,144157.26,SELL
34,24931.17,42717.14,4,142441.82,HOLD
35,24213.36,18503.78,5,139570.58,BUY
36,24635.24,18503.78,5,141679.98,HOLD
37,23559.99,18503.78,5,136303.73,HOLD
38,23368.49,18503.78,5,135346.23,HOLD
39,24059.29,18503.78,5,138800.23,HOLD
40,24194.41,18503.78,5,139475.83,HOLD
41,24683.25,18503.78,5,141920.03,HOLD
42,24232.66,42736.44,4,139667.08,SELL
43,25950.41,16786.03,5,146538.08,BUY
44,26191.54,16786.03,5,147743.73,HOLD
45,26369.34,16786.03,5,148632.73,HOLD
46,26322.68,43108.71,4,148399.43,SELL
47,26256.40,69365.11,3,148134.31,SELL
48,26318.11,95683.22,2,148319.44,SELL
49,26274.65,95683.22,2,148232.52,HOLD
50,26432.91,95683.22,2,148549.04,HOLD
51,27389.78,95683.22,2,150462.78,HOLD
52,28136.64,95683.22,2,151956.50,HOLD
53,29676.54,125359.76,1,155036.30,SELL
54,29194.37,125359.76,1,154554.13,HOLD
55,28967.01,154326.77,0,154326.77,SELL
56,29732.23,154326.77,0,154326.77,HOLD
57,30099.71,124227.06,1,154326.77,BUY
58,28980.21,124227.06,1,153207.27,HOLD
59,28513.13,124227.06,1,152740.19,HOLD
60,28707.35,124227.06,1,152934.41,HOLD
61,28737.54,124227.06,1,152964.60,HOLD
62,28014.29,124227.06,1,152241.35,HOLD
63,28598.86,124227.06,1,152825.92,HOLD
64,28685.06,152912.12,0,152912.12,SELL
65,28506.76,152912.12,0,152912.12,HOLD
66,28887.33,152912.12,0,152912.12,HOLD
67,28325.96,152912.12,0,152912.12,HOLD
68,27897.47,125014.65,1,152912.12,BUY
69,28293.23,96721.42,2,153307.88,BUY
70,28950.72,125672.14,1,154622.86,SELL
71,28902.67,125672.14,1,154574.81,HOLD
72,28664.94,97007.20,2,154337.08,BUY
73,28532.08,97007.20,2,154071.36,HOLD
74,28971.60,97007.20,2,154950.40,HOLD
75,28042.71,68964.49,3,153092.62,BUY
