DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,151087.50,0,151087.50,HOLD
1,28428.17,151087.50,0,151087.50,HOLD
2,28504.27,122583.23,1,151087.50,BUY
3,28813.13,93770.10,2,151396.36,BUY
4,27774.50,121544.60,1,149319.10,SELL
5,26491.66,148036.26,0,148036.26,SELL
6,27436.99,148036.26,0,148036.26,HOLD
7,27496.25,120540.01,1,148036.26,BUY
8,26667.04,147207.05,0,147207.05,SELL
9,26233.39,147207.05,0,147207.05,HOLD
10,24978.97,122228.08,1,147207.05,BUY
11,22676.46,144904.54,0,144904.54,SELL
12,22383.25,144904.54,0,144904.54,HOLD
13,23238.04,144904.54,0,144904.54,HOLD
14,23796.03,144904.54,0,144904.54,HOLD
15,23854.79,121049.75,1,144904.54,BUY
16,23806.30,144856.05,0,144856.05,SELL
17,23584.95,121271.10,1,144856.05,BUY
18,24470.18,96800.92,2,145741.28,BUY
19,23722.17,120523.09,1,144245.26,SELL
20,22519.73,143042.82,0,143042.82,SELL
21,23539.91,143042.82,0,143042.82,HOLD
22,24678.55,143042.82,0,143042.82,HOLD
23,23684.96,143042.82,0,143042.82,HOLD
24,24391.17,118651.65,1,143042.82,BUY
25,24271.77,142923.42,0,142923.42,SELL
26,25849.78,142923.42,0,142923.42,HOLD
27,25299.36,142923.42,0,142923.42,HOLD
28,25057.94,142923.42,0,142923.42,HOLD
29,24671.51,118251.91,1,142923.42,BUY
30,24868.29,143120.20,0,143120.20,SELL
31,24685.44,118434.76,1,143120.20,BUY
32,25079.25,118434.76,1,143514.01,HOLD
33,25360.03,118434.76,1,143794.79,HOLD
34,24931.17,93503.59,2,143365.93,BUY
35,24213.36,117716.95,1,141930.31,SELL
36,24635.24,142352.19,0,142352.19,SELL
37,23559.99,118792.20,1,142352.19,BUY
38,23368.49,95423.71,2,142160.69,BUY
39,24059.29,119483.00,1,143542.29,SELL
40,24194.41,143677.41,0,143677.41,SELL
41,24683.25,143677.41,0,143677.41,HOLD
42,24232.66,143677.41,0,143677.41,HOLD
43,25950.41,143677.41,0,143677.41,HOLD
44,26191.54,143677.41,0,143677.41,HOLD
45,26369.34,143677.41,0,143677.41,HOLD
46,26322.68,143677.41,0,143677.41,HOLD
47,26256.40,117421.01,1,143677.41,BUY
48,26318.11,143739.12,0,143739.12,SELL
49,26274.65,117464.47,1,143739.12,BUY
50,26432.91,143897.38,0,143897.38,SELL
51,27389.78,143897.38,0,143897.38,HOLD
52,28136.64,143897.38,0,143897.38,HOLD
53,29676.54,114220.84,1,143897.38,BUY
54,29194.37,143415.21,0,143415.21,SELL
55,28967.01,143415.21,0,143415.21,HOLD
56,29732.23,143415.21,0,143415.21,HOLD
57,30099.71,143415.21,0,143415.21,HOLD
58,28980.21,143415.21,0,143415.21,HOLD
59,28513.13,143415.21,0,143415.21,HOLD
60,28707.35,143415.21,0,143415.21,HOLD
61,28737.54,143415.21,0,143415.21,HOLD
62,28014.29,143415.21,0,143415.21,HOLD
63,28598.86,143415.21,0,143415.21,HOLD
64,28685.06,143415.21,0,143415.21,HOLD
65,28506.76,143415.21,0,143415.21,HOLD
66,28887.33,143415.21,0,143415.21,HOLD
67,28325.96,143415.21,0,143415.21,HOLD
68,27897.47,143415.21,0,143415.21,HOLD
69,28293.23,143415.21,0,143415.21,HOLD
70,28950.72,143415.21,0,143415.21,HOLD
71,28902.67,143415.21,0,143415.21,HOLD
72,28664.94,114750.27,1,143415.21,BUY
73,28532.08,143282.35,0,143282.35,SELL
74,28971.60,143282.35,0,143282.35,HOLD
75,28042.71,115239.64,1,143282.35,BUY
76,27420.35,142659.99,0,142659.99,SELL
