DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,151087.50,0,151087.50,HOLD
1,28428.17,151087.50,0,151087.50,HOLD
2,28504.27,151087.50,0,151087.50,HOLD
3,28813.13,151087.50,0,151087.50,HOLD
4,27774.50,123313.00,1,151087.50,BUY
5,26491.66,149804.66,0,149804.66,SELL
6,27436.99,149804.66,0,149804.66,HOLD
7,27496.25,149804.66,0,149804.66,HOLD
8,26667.04,149804.66,0,149804.66,HOLD
9,26233.39,123571.27,1,149804.66,BUY
10,24978.97,123571.27,1,148550.24,HOLD
11,22676.46,146247.73,0,146247.73,SELL
12,22383.25,146247.73,0,146247.73,HOLD
13,23238.04,146247.73,0,146247.73,HOLD
14,23796.03,122451.70,1,146247.73,BUY
15,23854.79,122451.70,1,146306.49,HOLD
16,23806.30,146258.00,0,146258.00,SELL
17,23584.95,122673.05,1,146258.00,BUY
18,24470.18,98202.87,2,147143.23,BUY
19,23722.17,74480.70,3,145647.21,BUY
20,22519.73,97000.43,2,142039.89,SELL
21,23539.91,120540.34,1,144080.25,SELL
22,24678.55,145218.89,0,145218.89,SELL
23,23684.96,121533.93,1,145218.89,BUY
24,24391.17,121533.93,1,145925.10,HOLD
25,24271.77,145805.70,0,145805.70,SELL
26,25849.78,119955.92,1,145805.70,BUY
27,25299.36,119955.92,1,145255.28,HOLD
28,25057.94,145013.86,0,145013.86,SELL
29,24671.51,145013.86,0,145013.86,HOLD
30,24868.29,145013.86,0,145013.86,HOLD
31,24685.44,145013.86,0,145013.86,HOLD
32,25079.25,119934.61,1,145013.86,BUY
33,25360.03,94574.58,2,145294.64,BUY
34,24931.17,119505.75,1,144436.92,SELL
35,24213.36,119505.75,1,143719.11,HOLD
36,24635.24,94870.51,2,144140.99,BUY
37,23559.99,118430.50,1,141990.49,SELL
38,23368.49,95062.01,2,141798.99,BUY
39,24059.29,95062.01,2,143180.59,HOLD
40,24194.41,95062.01,2,143450.83,HOLD
41,24683.25,119745.26,1,144428.51,SELL
42,24232.66,143977.92,0,143977.92,SELL
43,25950.41,143977.92,0,143977.92,HOLD
44,26191.54,117786.38,1,143977.92,BUY
45,26369.34,144155.72,0,144155.72,SELL
46,26322.68,144155.72,0,144155.72,HOLD
47,26256.40,117899.32,1,144155.72,BUY
48,26318.11,144217.43,0,144217.43,SELL
49,26274.65,144217.43,0,144217.43,HOLD
50,26432.91,144217.43,0,144217.43,HOLD
51,27389.78,144217.43,0,144217.43,HOLD
52,28136.64,144217.43,0,144217.43,HOLD
53,29676.54,144217.43,0,144217.43,HOLD
54,29194.37,144217.43,0,144217.43,HOLD
55,28967.01,144217.43,0,144217.43,HOLD
56,29732.23,144217.43,0,144217.43,HOLD
57,30099.71,144217.43,0,144217.43,HOLD
58,28980.21,144217.43,0,144217.43,HOLD
59,28513.13,115704.30,1,144217.43,BUY
60,28707.35,115704.30,1,144411.65,HOLD
61,28737.54,86966.76,2,144441.84,BUY
62,28014.29,86966.76,2,142995.34,HOLD
63,28598.86,86966.76,2,144164.48,HOLD
64,28685.06,58281.70,3,144336.88,BUY
65,28506.76,86788.46,2,143801.98,SELL
66,28887.33,57901.13,3,144563.12,BUY
67,28325.96,29575.17,4,142879.01,BUY
68,27897.47,1677.70,5,141165.05,BUY
69,28293.23,29970.93,4,143143.85,SELL
70,28950.72,58921.65,3,145773.81,SELL
71,28902.67,87824.32,2,145629.66,SELL
72,28664.94,87824.32,2,145154.20,HOLD
73,28532.08,87824.32,2,144888.48,HOLD
74,28971.60,58852.72,3,145767.52,BUY
75,28042.71,58852.72,3,142980.85,HOLD
76,27420.35,86273.07,2,141113.77,SELL
