DAY,Price,Cash,Shares,PortfolioValue,Action
0,28000.62,156310.00,0,156310.00,HOLD
1,28054.29,156310.00,0,156310.00,HOLD
2,28671.84,127638.16,1,156310.00,BUY
3,28795.42,156433.58,0,156433.58,SELL
4,27101.54,156433.58,0,156433.58,HOLD
5,26641.92,156433.58,0,156433.58,HOLD
6,27614.83,156433.58,0,156433.58,HOLD
7,27448.60,156433.58,0,156433.58,HOLD
8,26479.90,156433.58,0,156433.58,HOLD
9,26038.39,156433.58,0,156433.58,HOLD
10,25140.38,156433.58,0,156433.58,HOLD
11,22167.42,156433.58,0,156433.58,HOLD
12,23062.23,156433.58,0,156433.58,HOLD
13,22947.64,133485.94,1,156433.58,BUY
14,23897.40,109588.54,2,157383.34,BUY
15,24308.78,133897.32,1,158206.10,SELL
16,23730.49,157627.81,0,157627.81,SELL
17,23697.88,157627.81,0,157627.81,HOLD
18,24136.20,157627.81,0,157627.81,HOLD
19,24314.45,157627.81,0,157627.81,HOLD
20,23165.49,157627.81,0,157627.81,HOLD
21,23766.15,157627.81,0,157627.81,HOLD
22,24837.73,132790.08,1,157627.81,BUY
23,24302.25,132790.08,1,157092.33,HOLD
24,24184.88,156974.96,0,156974.96,SELL
25,24563.57,156974.96,0,156974.96,HOLD
26,26016.75,156974.96,0,156974.96,HOLD
27,24919.95,156974.96,0,156974.96,HOLD
28,24992.37,156974.96,0,156974.96,HOLD
29,24616.05,156974.96,0,156974.96,HOLD
30,24641.09,156974.96,0,156974.96,HOLD
31,25144.46,156974.96,0,156974.96,HOLD
32,24621.32,132353.64,1,156974.96,BUY
33,25186.42,157540.06,0,157540.06,SELL
34,24854.58,157540.06,0,157540.06,HOLD
35,24293.21,133246.85,1,157540.06,BUY
36,24250.90,157497.75,0,157497.75,SELL
37,23225.33,157497.75,0,157497.75,HOLD
38,23674.52,157497.75,0,157497.75,HOLD
39,24196.80,157497.75,0,157497.75,HOLD
40,24478.47,157497.75,0,157497.75,HOLD
41,24602.11,132895.64,1,157497.75,BUY
42,24689.51,108206.13,2,157585.15,BUY
43,26041.87,134248.00,1,160289.87,SELL
44,26339.88,160587.88,0,160587.88,SELL
45,26409.77,160587.88,0,160587.88,HOLD
46,26375.24,160587.88,0,160587.88,HOLD
47,26270.91,160587.88,0,160587.88,HOLD
48,26127.68,160587.88,0,160587.88,HOLD
49,25998.87,134589.01,1,160587.88,BUY
50,26670.97,161259.98,0,161259.98,SELL
51,27457.47,161259.98,0,161259.98,HOLD
52,28280.09,161259.98,0,161259.98,HOLD
53,29745.87,161259.98,0,161259.98,HOLD
54,28467.01,161259.98,0,161259.98,HOLD
55,28775.38,161259.98,0,161259.98,HOLD
56,29828.62,131431.36,1,161259.98,BUY
57,30298.58,131431.36,1,161729.94,HOLD
58,29195.97,160627.33,0,160627.33,SELL
59,28422.27,132205.06,1,160627.33,BUY
60,28612.74,103592.32,2,160817.80,BUY
61,28801.09,103592.32,2,161194.50,HOLD
62,28132.36,131724.68,1,159857.04,SELL
