DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,185425.50,0,185425.50,HOLD
1,23506.15,185425.50,0,185425.50,HOLD
2,24013.75,161411.75,1,185425.50,BUY
3,23755.32,185167.07,0,185167.07,SELL
4,23139.98,162027.09,1,185167.07,BUY
5,23759.42,185786.51,0,185786.51,SELL
6,23335.99,185786.51,0,185786.51,HOLD
7,22335.21,185786.51,0,185786.51,HOLD
8,21082.73,164703.78,1,185786.51,BUY
9,18891.77,183595.55,0,183595.55,SELL
10,16378.94,167216.61,1,183595.55,BUY
11,18446.80,148769.81,2,185663.41,BUY
12,17871.62,130898.19,3,184513.05,BUY
13,18730.80,149628.99,2,187090.59,SELL
14,19465.95,130163.04,3,188560.89,BUY
15,18858.25,111304.79,4,186737.79,BUY
16,20084.83,131389.62,3,191644.11,SELL
17,20293.97,151683.59,2,192271.53,SELL
18,20433.45,131250.14,3,192550.49,BUY
19,20918.11,110332.03,4,194004.47,BUY
20,22118.40,132450.43,3,198805.63,SELL
21,22933.14,155383.57,2,201249.85,SELL
22,21899.48,155383.57,2,199182.53,HOLD
23,22257.14,155383.57,2,199897.85,HOLD
24,22273.38,177656.95,1,199930.33,SELL
25,22540.44,155116.51,2,200197.39,BUY
26,22538.78,155116.51,2,200194.07,HOLD
27,22780.22,177896.73,1,200676.95,SELL
28,22334.71,155562.02,2,200231.44,BUY
29,22362.89,133199.13,3,200287.80,BUY
30,23222.85,156421.98,2,202867.68,SELL
31,22920.30,156421.98,2,202262.58,HOLD
32,22594.79,179016.77,1,201611.56,SELL
33,23098.77,179016.77,1,202115.54,HOLD
34,23114.63,155902.14,2,202131.40,BUY
35,23290.19,155902.14,2,202482.52,HOLD
36,23347.64,179249.78,1,202597.42,SELL
37,23272.45,202522.23,0,202522.23,SELL
38,23518.81,202522.23,0,202522.23,HOLD
39,23611.33,202522.23,0,202522.23,HOLD
40,23334.23,202522.23,0,202522.23,HOLD
41,23756.78,178765.45,1,202522.23,BUY
42,25316.60,153448.85,2,204082.05,BUY
43,25474.94,178923.79,1,204398.73,SELL
44,26419.05,205342.84,0,205342.84,SELL
45,26646.08,205342.84,0,205342.84,HOLD
46,26553.01,205342.84,0,205342.84,HOLD
47,26707.30,178635.54,1,205342.84,BUY
48,26638.28,205273.82,0,205273.82,SELL
49,27073.46,205273.82,0,205273.82,HOLD
50,28133.59,205273.82,0,205273.82,HOLD
51,28402.11,205273.82,0,205273.82,HOLD
52,28542.00,176731.82,1,205273.82,BUY
53,28402.30,148329.52,2,205134.12,BUY
54,29368.18,177697.70,1,207065.88,SELL
55,30140.01,177697.70,1,207837.71,HOLD
56,28966.01,148731.69,2,206663.71,BUY
57,28308.57,177040.26,1,205348.83,SELL
58,29210.40,206250.66,0,206250.66,SELL
59,29621.22,206250.66,0,206250.66,HOLD
60,28953.22,206250.66,0,206250.66,HOLD
61,29694.09,206250.66,0,206250.66,HOLD
62,29768.06,206250.66,0,206250.66,HOLD
63,29621.83,176628.83,1,206250.66,BUY
64,28770.62,147858.21,2,205399.45,BUY
65,28966.47,176824.68,1,205791.15,SELL
66,27385.03,204209.71,0,204209.71,SELL
67,27821.96,176387.75,1,204209.71,BUY
68,28360.56,204748.31,0,204748.31,SELL
69,28879.15,204748.31,0,204748.31,HOLD
70,28799.74,204748.31,0,204748.31,HOLD
71,28875.39,175872.92,1,204748.31,BUY
72,28758.37,204631.29,0,204631.29,SELL
73,28624.80,176006.49,1,204631.29,BUY
74,28118.03,204124.52,0,204124.52,SELL
75,28240.21,204124.52,0,204124.52,HOLD
76,27786.44,204124.52,0,204124.52,HOLD
77,27493.32,204124.52,0,204124.52,HOLD
78,27808.54,204124.52,0,204124.52,HOLD
79,27424.47,176700.05,1,204124.52,BUY
80,27653.23,204353.28,0,204353.28,SELL
81,27602.21,176751.07,1,204353.28,BUY
82,29838.43,206589.50,0,206589.50,SELL
83,30504.81,206589.50,0,206589.50,HOLD
84,29573.88,206589.50,0,206589.50,HOLD
85,29311.34,177278.16,1,206589.50,BUY
86,27607.97,204886.13,0,204886.13,SELL
87,28234.01,204886.13,0,204886.13,HOLD
88,28688.78,204886.13,0,204886.13,HOLD
89,28693.06,204886.13,0,204886.13,HOLD
90,29504.07,175382.06,1,204886.13,BUY
91,29381.45,204763.51,0,204763.51,SELL
92,29589.19,204763.51,0,204763.51,HOLD
93,28187.12,204763.51,0,204763.51,HOLD
94,27693.91,204763.51,0,204763.51,HOLD
95,28593.45,176170.06,1,204763.51,BUY
96,27893.18,204063.24,0,204063.24,SELL
97,28658.82,175404.42,1,204063.24,BUY
98,29204.45,204608.87,0,204608.87,SELL
99,28444.96,176163.91,1,204608.87,BUY
100,27217.59,203381.50,0,203381.50,SELL
101,26044.52,203381.50,0,203381.50,HOLD
102,27165.93,176215.57,1,203381.50,BUY
103,27575.07,203790.64,0,203790.64,SELL
104,26792.54,203790.64,0,203790.64,HOLD
105,26262.63,203790.64,0,203790.64,HOLD
106,25006.26,203790.64,0,203790.64,HOLD
107,25299.64,178491.00,1,203790.64,BUY
108,27076.33,205567.33,0,205567.33,SELL
109,28063.92,205567.33,0,205567.33,HOLD
