DAY,Price,Cash,Shares,PortfolioValue,Action
0,23148.53,181934.10,0,181934.10,HOLD
1,23951.66,181934.10,0,181934.10,HOLD
2,23843.48,181934.10,0,181934.10,HOLD
3,23115.15,181934.10,0,181934.10,HOLD
4,22854.45,181934.10,0,181934.10,HOLD
5,23693.72,181934.10,0,181934.10,HOLD
6,23234.96,181934.10,0,181934.10,HOLD
7,21844.29,181934.10,0,181934.10,HOLD
8,21220.76,181934.10,0,181934.10,HOLD
9,18339.27,181934.10,0,181934.10,HOLD
10,16358.19,181934.10,0,181934.10,HOLD
11,18832.21,181934.10,0,181934.10,HOLD
12,17646.50,164287.60,1,181934.10,BUY
13,19235.96,145051.64,2,183523.56,BUY
14,19554.70,145051.64,2,184161.04,HOLD
15,19175.38,145051.64,2,183402.40,HOLD
16,19448.93,164500.57,1,183949.50,SELL
17,19902.93,144597.64,2,184403.50,BUY
18,20503.87,124093.77,3,185605.38,BUY
19,21580.50,145674.27,2,188835.27,SELL
20,22501.81,145674.27,2,190677.89,HOLD
21,22466.54,168140.81,1,190607.35,SELL
22,22125.35,168140.81,1,190266.16,HOLD
23,22165.14,168140.81,1,190305.95,HOLD
24,22072.11,190212.92,0,190212.92,SELL
25,22434.38,167778.54,1,190212.92,BUY
26,22739.42,190517.96,0,190517.96,SELL
27,22429.57,190517.96,0,190517.96,HOLD
28,21919.83,190517.96,0,190517.96,HOLD
29,22497.07,190517.96,0,190517.96,HOLD
30,22948.89,190517.96,0,190517.96,HOLD
31,23225.39,190517.96,0,190517.96,HOLD
32,23047.77,190517.96,0,190517.96,HOLD
33,23129.66,190517.96,0,190517.96,HOLD
34,23351.35,167166.61,1,190517.96,BUY
35,23039.48,144127.13,2,190206.09,BUY
36,22951.41,167078.54,1,190029.95,SELL
37,23552.73,143525.81,2,190631.27,BUY
38,23382.67,143525.81,2,190291.15,HOLD
39,23469.13,143525.81,2,190464.07,HOLD
40,22948.47,120577.34,3,189422.75,BUY
41,24541.28,145118.62,2,194201.18,SELL
42,25640.29,119478.33,3,196399.20,BUY
43,25901.45,145379.78,2,197182.68,SELL
44,26618.39,171998.17,1,198616.56,SELL
45,26327.08,171998.17,1,198325.25,HOLD
46,26605.54,198603.71,0,198603.71,SELL
47,26361.66,172242.05,1,198603.71,BUY
48,26921.14,145320.91,2,199163.19,BUY
49,27340.46,145320.91,2,200001.83,HOLD
50,28477.03,173797.94,1,202274.97,SELL
51,28527.16,145270.78,2,202325.10,BUY
52,27629.80,117640.98,3,200530.38,BUY
53,28548.27,89092.71,4,203285.79,BUY
54,29662.41,89092.71,4,207742.35,HOLD
55,30089.18,89092.71,4,209449.43,HOLD
56,29314.82,89092.71,4,206351.99,HOLD
57,28609.21,117701.92,3,203529.55,SELL
58,29755.47,147457.39,2,206968.33,SELL
59,28995.92,147457.39,2,205449.23,HOLD
60,29283.89,176741.28,1,206025.17,SELL
61,29665.86,147075.42,2,206407.14,BUY
62,29573.79,147075.42,2,206223.00,HOLD
63,29014.36,118061.06,3,205104.14,BUY
64,28990.19,147051.25,2,205031.63,SELL
65,29346.14,117705.11,3,205743.53,BUY
66,27632.53,117705.11,3,200602.70,HOLD
67,28212.32,89492.79,4,202342.07,BUY
68,28791.60,89492.79,4,204659.19,HOLD
69,28973.05,89492.79,4,205384.99,HOLD
70,29026.27,118519.06,3,205597.87,SELL
71,27795.86,118519.06,3,201906.64,HOLD
72,28984.93,118519.06,3,205473.85,HOLD
73,28581.08,118519.06,3,204262.30,HOLD
74,28405.60,118519.06,3,203735.86,HOLD
75,27493.63,118519.06,3,200999.95,HOLD
76,27466.99,118519.06,3,200920.03,HOLD
77,27488.74,118519.06,3,200985.28,HOLD
78,28006.31,90512.75,4,202537.99,BUY
79,27255.58,63257.17,5,199535.07,BUY
80,27684.50,90941.67,4,201679.67,SELL
81,28412.91,90941.67,4,204593.31,HOLD
82,29909.92,120851.59,3,210581.35,SELL
83,30202.51,151054.10,2,211459.12,SELL
84,30197.40,181251.50,1,211448.90,SELL
85,28343.58,181251.50,1,209595.08,HOLD
86,27893.32,153358.18,2,209144.82,BUY
87,28924.40,153358.18,2,211206.98,HOLD
88,28472.55,153358.18,2,210303.28,HOLD
89,29267.63,153358.18,2,211893.44,HOLD
90,29240.31,124117.87,3,211838.80,BUY
91,29681.25,94436.62,4,213161.62,BUY
