DAY,Price,Cash,Shares,PortfolioValue,Action
0,23148.53,158785.57,1,181934.10,BUY
1,23951.66,134833.91,2,182737.23,BUY
2,23843.48,110990.43,3,182520.87,BUY
3,23115.15,87875.28,4,180335.88,BUY
4,22854.45,65020.83,5,179293.08,BUY
5,23693.72,41327.11,6,183489.43,BUY
6,23234.96,18092.15,7,180736.87,BUY
7,21844.29,18092.15,7,171002.18,HOLD
8,21220.76,18092.15,7,166637.47,HOLD
9,18339.27,18092.15,7,146467.04,HOLD
10,16358.19,1733.96,8,132599.48,BUY
11,18832.21,1733.96,8,152391.64,HOLD
12,17646.50,1733.96,8,142905.96,HOLD
13,19235.96,1733.96,8,155621.64,HOLD
14,19554.70,1733.96,8,158171.56,HOLD
15,19175.38,1733.96,8,155137.00,HOLD
16,19448.93,1733.96,8,157325.40,HOLD
17,19902.93,1733.96,8,160957.40,HOLD
18,20503.87,1733.96,8,165764.92,HOLD
19,21580.50,1733.96,8,174377.96,HOLD
20,22501.81,1733.96,8,181748.44,HOLD
21,22466.54,1733.96,8,181466.28,HOLD
22,22125.35,1733.96,8,178736.76,HOLD
23,22165.14,1733.96,8,179055.08,HOLD
24,22072.11,1733.96,8,178310.84,HOLD
25,22434.38,1733.96,8,181209.00,HOLD
26,22739.42,1733.96,8,183649.32,HOLD
27,22429.57,1733.96,8,181170.52,HOLD
28,21919.83,1733.96,8,177092.60,HOLD
29,22497.07,1733.96,8,181710.52,HOLD
30,22948.89,1733.96,8,185325.08,HOLD
31,23225.39,1733.96,8,187537.08,HOLD
32,23047.77,1733.96,8,186116.12,HOLD
33,23129.66,1733.96,8,186771.24,HOLD
34,23351.35,1733.96,8,188544.76,HOLD
35,23039.48,1733.96,8,186049.80,HOLD
36,22951.41,1733.96,8,185345.24,HOLD
37,23552.73,1733.96,8,190155.80,HOLD
38,23382.67,1733.96,8,188795.32,HOLD
39,23469.13,1733.96,8,189487.00,HOLD
40,22948.47,1733.96,8,185321.72,HOLD
41,24541.28,1733.96,8,198064.20,HOLD
42,25640.29,1733.96,8,206856.28,HOLD
43,25901.45,1733.96,8,208945.56,HOLD
44,26618.39,1733.96,8,214681.08,HOLD
45,26327.08,1733.96,8,212350.60,HOLD
46,26605.54,1733.96,8,214578.28,HOLD
47,26361.66,1733.96,8,212627.24,HOLD
48,26921.14,1733.96,8,217103.08,HOLD
49,27340.46,1733.96,8,220457.64,HOLD
50,28477.03,1733.96,8,229550.20,HOLD
51,28527.16,1733.96,8,229951.24,HOLD
52,27629.80,1733.96,8,222772.36,HOLD
53,28548.27,1733.96,8,230120.12,HOLD
54,29662.41,1733.96,8,239033.24,HOLD
55,30089.18,1733.96,8,242447.40,HOLD
56,29314.82,1733.96,8,236252.52,HOLD
57,28609.21,1733.96,8,230607.64,HOLD
58,29755.47,1733.96,8,239777.72,HOLD
59,28995.92,1733.96,8,233701.32,HOLD
60,29283.89,1733.96,8,236005.08,HOLD
61,29665.86,1733.96,8,239060.84,HOLD
62,29573.79,1733.96,8,238324.28,HOLD
63,29014.36,1733.96,8,233848.84,HOLD
64,28990.19,1733.96,8,233655.48,HOLD
65,29346.14,1733.96,8,236503.08,HOLD
66,27632.53,1733.96,8,222794.20,HOLD
67,28212.32,1733.96,8,227432.52,HOLD
68,28791.60,1733.96,8,232066.76,HOLD
69,28973.05,1733.96,8,233518.36,HOLD
70,29026.27,1733.96,8,233944.12,HOLD
71,27795.86,1733.96,8,224100.84,HOLD
72,28984.93,1733.96,8,233613.40,HOLD
73,28581.08,1733.96,8,230382.60,HOLD
74,28405.60,1733.96,8,228978.76,HOLD
75,27493.63,1733.96,8,221683.00,HOLD
76,27466.99,1733.96,8,221469.88,HOLD
77,27488.74,1733.96,8,221643.88,HOLD
78,28006.31,1733.96,8,225784.44,HOLD
79,27255.58,1733.96,8,219778.60,HOLD
80,27684.50,1733.96,8,223209.96,HOLD
81,28412.91,1733.96,8,229037.24,HOLD
82,29909.92,1733.96,8,241013.32,HOLD
83,30202.51,1733.96,8,243354.04,HOLD
84,30197.40,1733.96,8,243313.16,HOLD
85,28343.58,1733.96,8,228482.60,HOLD
86,27893.32,1733.96,8,224880.52,HOLD
87,28924.40,1733.96,8,233129.16,HOLD
88,28472.55,1733.96,8,229514.36,HOLD
89,29267.63,1733.96,8,235875.00,HOLD
90,29240.31,1733.96,8,235656.44,HOLD
91,29681.25,1733.96,8,239183.96,HOLD
92,29212.93,1733.96,8,235437.40,HOLD
93,27594.01,1733.96,8,222486.04,HOLD
94,28621.47,1733.96,8,230705.72,HOLD
95,28358.47,1733.96,8,228601.72,HOLD
96,28473.85,1733.96,8,229524.76,HOLD
97,28729.61,1733.96,8,231570.84,HOLD
98,28293.70,1733.96,8,228083.56,HOLD
99,28274.18,1733.96,8,227927.40,HOLD
100,27203.33,1733.96,8,219360.60,HOLD
101,26541.65,1733.96,8,214067.16,HOLD
102,27085.32,1733.96,8,218416.52,HOLD
103,26724.91,1733.96,8,215533.24,HOLD
104,26243.73,1733.96,8,211683.80,HOLD
105,26313.72,1733.96,8,212243.72,HOLD
106,24681.74,1733.96,8,199187.88,HOLD
107,25470.46,1733.96,8,205497.64,HOLD
108,27624.62,1733.96,8,222730.92,HOLD
109,27763.96,1733.96,8,223845.64,HOLD
110,26801.79,1733.96,8,216148.28,HOLD
111,26890.68,1733.96,8,216859.40,HOLD
112,27252.83,1733.96,8,219756.60,HOLD
113,26348.36,1733.96,8,212520.84,HOLD
114,26003.26,1733.96,8,209760.04,HOLD
115,26741.34,1733.96,8,215664.68,HOLD
116,26578.03,1733.96,8,214358.20,HOLD
117,27295.42,1733.96,8,220097.32,HOLD
118,28089.78,1733.96,8,226452.20,HOLD
119,26321.68,1733.96,8,212307.40,HOLD
120,26149.17,1733.96,8,210927.32,HOLD
121,26687.47,1733.96,8,215233.72,HOLD
122,26051.19,1733.96,8,210143.48,HOLD
123,26389.10,1733.96,8,212846.76,HOLD
124,27549.56,1733.96,8,222130.44,HOLD
125,27651.99,1733.96,8,222949.88,HOLD
126,27870.05,1733.96,8,224694.36,HOLD
127,28207.86,1733.96,8,227396.84,HOLD
128,28913.05,1733.96,8,233038.36,HOLD
129,28608.70,1733.96,8,230603.56,HOLD
130,27570.74,1733.96,8,222299.88,HOLD
131,28091.38,1733.96,8,226465.00,HOLD
132,27525.68,1733.96,8,221939.40,HOLD
133,26523.77,1733.96,8,213924.12,HOLD
134,26633.52,1733.96,8,214802.12,HOLD
135,26313.41,1733.96,8,212241.24,HOLD
136,27192.79,1733.96,8,219276.28,HOLD
137,27404.90,1733.96,8,220973.16,HOLD
138,27546.88,1733.96,8,222109.00,HOLD
139,27370.62,1733.96,8,220698.92,HOLD
140,27910.01,1733.96,8,225014.04,HOLD
141,28263.60,1733.96,8,227842.76,HOLD
142,27662.12,1733.96,8,223030.92,HOLD
143,27633.96,1733.96,8,222805.64,HOLD
144,27488.83,1733.96,8,221644.60,HOLD
145,26106.38,1733.96,8,210585.00,HOLD
146,26067.92,1733.96,8,210277.32,HOLD
147,26332.05,1733.96,8,212390.36,HOLD
148,26211.84,1733.96,8,211428.68,HOLD
149,27175.88,1733.96,8,219141.00,HOLD
150,27322.79,1733.96,8,220316.28,HOLD
151,27458.53,1733.96,8,221402.20,HOLD
152,27444.13,1733.96,8,221287.00,HOLD
153,27046.08,1733.96,8,218102.60,HOLD
154,27408.54,1733.96,8,221002.28,HOLD
155,28558.88,1733.96,8,230205.00,HOLD
156,26632.92,1733.96,8,214797.32,HOLD
157,27257.44,1733.96,8,219793.48,HOLD
158,27986.62,1733.96,8,225626.92,HOLD
159,27456.25,1733.96,8,221383.96,HOLD
160,28282.82,1733.96,8,227996.52,HOLD
161,28527.80,1733.96,8,229956.36,HOLD
162,28499.51,1733.96,8,229730.04,HOLD
163,29070.11,1733.96,8,234294.84,HOLD
164,29912.44,1733.96,8,241033.48,HOLD
165,30566.83,1733.96,8,246268.60,HOLD
166,30785.98,1733.96,8,248021.80,HOLD
167,31913.74,1733.96,8,257043.88,HOLD
168,33203.95,1733.96,8,267365.56,HOLD
169,33154.68,1733.96,8,266971.40,HOLD
170,32642.87,1733.96,8,262876.92,HOLD
171,33041.14,1733.96,8,266063.08,HOLD
172,31791.71,1733.96,8,256067.64,HOLD
173,32462.86,1733.96,8,261436.84,HOLD
174,32503.69,1733.96,8,261763.48,HOLD
175,32142.25,1733.96,8,258871.96,HOLD
176,32015.96,1733.96,8,257861.64,HOLD
177,31275.25,1733.96,8,251935.96,HOLD
178,31572.06,1733.96,8,254310.44,HOLD
179,32499.44,1733.96,8,261729.48,HOLD
180,32512.80,1733.96,8,261836.36,HOLD
181,33391.46,1733.96,8,268865.64,HOLD
182,32388.28,1733.96,8,260840.20,HOLD
183,31759.88,1733.96,8,255813.00,HOLD
184,31314.67,1733.96,8,252251.32,HOLD
185,31901.39,1733.96,8,256945.08,HOLD
186,30551.67,1733.96,8,246147.32,HOLD
187,30552.65,1733.96,8,246155.16,HOLD
188,32049.34,1733.96,8,258128.68,HOLD
189,33096.93,1733.96,8,266509.40,HOLD
190,33182.99,1733.96,8,267197.88,HOLD
191,33161.07,1733.96,8,267022.52,HOLD
192,32814.69,1733.96,8,264251.48,HOLD
193,32515.04,1733.96,8,261854.28,HOLD
194,33097.79,1733.96,8,266516.28,HOLD
195,33411.24,1733.96,8,269023.88,HOLD
196,33885.74,1733.96,8,272819.88,HOLD
197,35476.52,1733.96,8,285546.12,HOLD
198,36104.89,1733.96,8,290573.08,HOLD
199,35704.58,1733.96,8,287370.60,HOLD
200,35854.63,1733.96,8,288571.00,HOLD
201,37935.36,1733.96,8,305216.84,HOLD
202,38508.07,1733.96,8,309798.52,HOLD
203,39224.64,1733.96,8,315531.08,HOLD
204,39551.60,1733.96,8,318146.76,HOLD
205,38519.94,1733.96,8,309893.48,HOLD
206,40414.12,1733.96,8,325046.92,HOLD
207,39706.45,1733.96,8,319385.56,HOLD
208,39197.00,1733.96,8,315309.96,HOLD
209,38820.95,1733.96,8,312301.56,HOLD
210,37052.63,1733.96,8,298155.00,HOLD
