DAY,Price,Cash,Shares,PortfolioValue,Action
0,23299.92,188509.20,0,188509.20,HOLD
1,23875.82,188509.20,0,188509.20,HOLD
2,23831.10,188509.20,0,188509.20,HOLD
3,23214.28,165294.92,1,188509.20,BUY
4,23241.64,165294.92,1,188536.56,HOLD
5,23784.31,141510.61,2,189079.23,BUY
6,23426.42,118084.19,3,188363.45,BUY
7,20916.40,139000.59,2,180833.39,SELL
8,20613.91,139000.59,2,180228.41,HOLD
9,16690.60,122309.99,3,172381.79,BUY
10,16480.95,105829.04,4,171752.84,BUY
11,18578.20,105829.04,4,180141.84,HOLD
12,17802.62,105829.04,4,177039.52,HOLD
13,19014.32,86814.72,5,181886.32,BUY
14,19611.79,67202.93,6,184873.67,BUY
15,19410.18,47792.75,7,183664.01,BUY
16,19894.58,47792.75,7,187054.81,HOLD
17,19832.88,67625.63,6,186622.91,SELL
18,20334.99,47290.64,7,189635.57,BUY
19,21710.80,69001.44,6,199266.24,SELL
20,22563.56,91565.00,5,204382.80,SELL
21,21786.93,91565.00,5,200499.65,HOLD
22,22352.16,69212.84,6,203325.80,BUY
23,22408.27,46804.57,7,203662.46,BUY
24,22154.97,46804.57,7,201889.36,HOLD
25,22285.07,24519.50,8,202800.06,BUY
26,22643.52,24519.50,8,205667.66,HOLD
27,22646.22,1873.28,9,205689.26,BUY
28,22379.74,1873.28,9,203290.94,HOLD
29,22670.74,1873.28,9,205909.94,HOLD
30,22953.60,24826.88,8,208455.68,SELL
31,23203.00,1623.88,9,210450.88,BUY
32,23170.82,1623.88,9,210161.26,HOLD
33,22878.71,1623.88,9,207532.27,HOLD
34,23397.43,25021.31,8,212200.75,SELL
35,23154.66,25021.31,8,210258.59,HOLD
36,23252.69,1768.62,9,211042.83,BUY
37,23501.26,25269.88,8,213279.96,SELL
38,23543.69,25269.88,8,213619.40,HOLD
39,23475.52,48745.40,7,213074.04,SELL
40,23096.79,25648.61,8,210422.93,BUY
41,24833.18,50481.79,7,224314.05,SELL
42,25851.54,76333.33,6,231442.57,SELL
43,26258.35,50074.98,7,233883.43,BUY
44,26695.28,23379.70,8,236941.94,BUY
45,26520.60,23379.70,8,235544.50,HOLD
46,26717.03,23379.70,8,237115.94,HOLD
47,26414.74,23379.70,8,234697.62,HOLD
48,27338.56,23379.70,8,242088.18,HOLD
49,27667.75,23379.70,8,244721.70,HOLD
50,28111.54,23379.70,8,248272.02,HOLD
51,28566.85,23379.70,8,251914.50,HOLD
52,27649.07,23379.70,8,244572.26,HOLD
53,28817.60,23379.70,8,253920.50,HOLD
54,30191.65,53571.35,7,264912.90,SELL
55,29671.70,83243.05,6,261273.25,SELL
56,29336.60,112579.65,5,259262.65,SELL
57,28960.09,112579.65,5,257380.10,HOLD
58,29825.16,112579.65,5,261705.45,HOLD
59,28379.06,84200.59,6,254474.95,BUY
60,29165.52,113366.11,5,259193.71,SELL
61,29523.55,142889.66,4,260983.86,SELL
62,29567.18,142889.66,4,261158.38,HOLD
63,28419.84,114469.82,5,256569.02,BUY
64,28875.91,143345.73,4,258849.37,SELL
65,28535.36,171881.09,3,257487.17,SELL
66,27931.57,171881.09,3,255675.80,HOLD
67,28443.74,171881.09,3,257212.31,HOLD
68,28611.25,171881.09,3,257714.84,HOLD
69,28897.64,142983.45,4,258574.01,BUY
70,29235.71,113747.74,5,259926.29,BUY
71,28494.46,142242.20,4,256220.04,SELL
72,28735.55,170977.75,3,257184.40,SELL
73,28587.61,142390.14,4,256740.58,BUY
74,28699.04,113691.10,5,257186.30,BUY
75,27330.15,113691.10,5,250341.85,HOLD
76,27663.41,113691.10,5,252008.15,HOLD
77,27526.67,86164.43,6,251324.45,BUY
78,27949.33,114113.76,5,253860.41,SELL
79,26954.81,87158.95,6,248887.81,BUY
80,27481.23,59677.72,7,252046.33,BUY
81,28607.87,59677.72,7,259932.81,HOLD
82,30064.02,89741.74,6,270125.86,SELL
83,30358.93,120100.67,5,271895.32,SELL
84,30001.99,150102.66,4,270110.62,SELL
85,27460.29,177562.95,3,259943.82,SELL
86,28166.38,149396.57,4,262062.09,BUY
87,29075.37,149396.57,4,265698.05,HOLD
88,28893.95,120502.62,5,264972.37,BUY
89,29457.18,91045.44,6,267788.52,BUY
90,29079.77,61965.67,7,265524.06,BUY
91,29623.79,61965.67,7,269332.20,HOLD
92,29444.45,91410.12,6,268076.82,SELL
93,27644.96,91410.12,6,257279.88,HOLD
94,28725.47,62684.65,7,263762.94,BUY
95,28782.19,91466.84,6,264159.98,SELL
96,28640.15,62826.69,7,263307.74,BUY
97,28579.49,62826.69,7,262883.12,HOLD
98,28089.49,62826.69,7,259453.12,HOLD
99,28129.66,34697.03,8,259734.31,BUY
100,26890.94,61587.97,7,249824.55,SELL
101,27016.71,34571.26,8,250704.94,BUY
102,27280.25,7291.01,9,252813.26,BUY
103,27227.24,7291.01,9,252336.17,HOLD
104,25775.64,7291.01,9,239271.77,HOLD
105,26496.72,33787.73,8,245761.49,SELL
106,25099.85,33787.73,8,234586.53,HOLD
107,26152.89,7634.84,9,243010.85,BUY
108,27946.79,7634.84,9,259155.95,HOLD
109,27399.48,35034.32,8,254230.16,SELL
110,26764.36,61798.68,7,249149.20,SELL
111,26784.92,35013.76,8,249293.12,BUY
112,26904.38,61918.14,7,250248.80,SELL
113,26610.86,88529.00,6,248194.16,SELL
114,25688.11,114217.11,5,242657.66,SELL
115,26150.09,88067.02,6,244967.56,BUY
116,26604.84,88067.02,6,247696.06,HOLD
117,27251.24,60815.78,7,251574.46,BUY
118,28189.35,60815.78,7,258141.23,HOLD
119,26431.20,87246.98,6,245834.18,SELL
120,26039.57,87246.98,6,243484.40,HOLD
121,26324.31,60922.67,7,245192.84,BUY
122,26136.99,87059.66,6,243881.60,SELL
123,26312.79,87059.66,6,244936.40,HOLD
124,27701.25,87059.66,6,253267.16,HOLD
125,27725.24,87059.66,6,253411.10,HOLD
126,27910.22,87059.66,6,254520.98,HOLD
127,28623.78,87059.66,6,258802.34,HOLD
128,28586.36,87059.66,6,258577.82,HOLD
129,27788.12,87059.66,6,253788.38,HOLD
130,27511.68,87059.66,6,252129.74,HOLD
131,28438.37,87059.66,6,257689.88,HOLD
132,27627.86,87059.66,6,252826.82,HOLD
133,25938.36,61121.30,7,242689.82,BUY
134,27030.55,61121.30,7,250335.15,HOLD
135,26237.42,34883.88,8,244783.24,BUY
136,26872.45,8011.43,9,249863.48,BUY
137,27330.79,8011.43,9,253988.54,HOLD
138,27032.02,8011.43,9,251299.61,HOLD
139,27837.09,8011.43,9,258545.24,HOLD
140,27877.78,8011.43,9,258911.45,HOLD
141,28046.32,8011.43,9,260428.31,HOLD
142,27700.86,8011.43,9,257319.17,HOLD
143,27734.66,8011.43,9,257623.37,HOLD
144,27165.78,35177.21,8,252503.45,SELL
145,26294.85,8882.36,9,245536.01,BUY
146,25661.89,34544.25,8,239839.37,SELL
147,26381.93,60926.18,7,245599.69,SELL
148,26368.97,34557.21,8,245508.97,BUY
149,27284.08,34557.21,8,252829.85,HOLD
150,27338.43,61895.64,7,253264.65,SELL
151,27424.69,89320.33,6,253868.47,SELL
152,27597.12,116917.45,5,254903.05,SELL
153,27128.32,116917.45,5,252559.05,HOLD
154,27655.34,144572.79,4,255194.15,SELL
155,28118.74,172691.53,3,257047.75,SELL
156,27071.71,172691.53,3,253906.66,HOLD
157,27359.72,200051.25,2,254770.69,SELL
158,28120.71,171930.54,3,256292.67,BUY
159,27597.18,199527.72,2,254722.08,SELL
160,28414.98,171112.74,3,256357.68,BUY
161,28567.24,142545.50,4,256814.46,BUY
162,29016.83,142545.50,4,258612.82,HOLD
163,29028.71,171574.21,3,258660.34,SELL
164,30381.90,141192.31,4,262719.91,BUY
165,30558.14,141192.31,4,263424.87,HOLD
166,30853.44,172045.75,3,264606.07,SELL
167,31420.45,203466.20,2,266307.10,SELL
168,33386.01,170080.19,3,270238.22,BUY
169,33232.19,136848.00,4,269776.76,BUY
170,33185.20,103662.80,5,269588.80,BUY
171,32637.72,103662.80,5,266851.40,HOLD
172,31952.98,71709.82,6,263427.70,BUY
173,32080.95,103790.77,5,264195.52,SELL
174,32037.55,135828.32,4,263978.52,SELL
175,31934.35,103893.97,5,263565.72,BUY
176,32031.54,135925.51,4,264051.67,SELL
177,31409.86,104515.65,5,261564.95,BUY
178,31881.93,72633.72,6,263925.30,BUY
179,32714.94,39918.78,7,268923.36,BUY
180,32391.69,7527.09,8,266660.61,BUY
181,33128.86,7527.09,8,272557.97,HOLD
182,32315.05,7527.09,8,266047.49,HOLD
183,31157.40,38684.49,7,256786.29,SELL
184,31804.09,38684.49,7,261313.12,HOLD
185,31866.95,70551.44,6,261753.14,SELL
186,31195.58,70551.44,6,257724.92,HOLD
187,31301.51,101852.95,5,258360.50,SELL
188,32193.20,101852.95,5,262818.95,HOLD
189,33233.84,101852.95,5,268022.15,HOLD
190,33622.57,101852.95,5,269965.80,HOLD
191,33397.42,68455.53,6,268840.05,BUY
192,32205.38,100660.91,5,261687.81,SELL
193,32732.66,133393.57,4,264324.21,SELL
194,33151.70,166545.27,3,266000.37,SELL
195,33305.17,199850.44,2,266460.78,SELL
196,34849.57,199850.44,2,269549.58,HOLD
197,35371.25,199850.44,2,270592.94,HOLD
198,36236.47,199850.44,2,272323.38,HOLD
199,35924.60,163925.84,3,271699.64,BUY
200,36206.20,163925.84,3,272544.44,HOLD
201,38361.55,125564.29,4,279010.49,BUY
202,39181.03,86383.26,5,282288.41,BUY
203,40001.55,126384.81,4,286391.01,SELL
204,38496.66,87888.15,5,280371.45,BUY
205,38935.47,87888.15,5,282565.50,HOLD
206,40280.85,128169.00,4,289292.40,SELL
