DAY,Price,Cash,Shares,PortfolioValue,Action
0,23775.40,186774.20,0,186774.20,HOLD
1,22951.18,186774.20,0,186774.20,HOLD
2,23905.38,162868.82,1,186774.20,BUY
3,23779.23,186648.05,0,186648.05,SELL
4,22892.95,163755.10,1,186648.05,BUY
5,23625.13,187380.23,0,187380.23,SELL
6,23603.48,187380.23,0,187380.23,HOLD
7,23378.33,164001.90,1,187380.23,BUY
8,20834.29,143167.61,2,184836.19,BUY
9,19472.26,123695.35,3,182112.13,BUY
10,16914.45,140609.80,2,174438.70,SELL
11,17197.14,157806.94,1,175004.08,SELL
12,18834.16,176641.10,0,176641.10,SELL
13,18553.14,158087.96,1,176641.10,BUY
14,19093.12,177181.08,0,177181.08,SELL
15,19193.22,177181.08,0,177181.08,HOLD
16,19638.48,177181.08,0,177181.08,HOLD
17,20285.04,177181.08,0,177181.08,HOLD
18,19999.10,177181.08,0,177181.08,HOLD
19,20584.06,177181.08,0,177181.08,HOLD
20,21898.99,177181.08,0,177181.08,HOLD
21,23028.62,154152.46,1,177181.08,BUY
22,21529.83,154152.46,1,175682.29,HOLD
23,22311.94,131840.52,2,176464.40,BUY
24,21969.59,131840.52,2,175779.70,HOLD
25,22325.75,131840.52,2,176492.02,HOLD
26,22561.47,154401.99,1,176963.46,SELL
27,22580.19,131821.80,2,176982.18,BUY
28,22366.34,154188.14,1,176554.48,SELL
29,22356.25,176544.39,0,176544.39,SELL
30,23111.50,153432.89,1,176544.39,BUY
31,22851.83,130581.06,2,176284.72,BUY
32,23177.85,153758.91,1,176936.76,SELL
33,23426.11,130332.80,2,177185.02,BUY
34,23134.02,130332.80,2,176600.84,HOLD
35,23272.23,130332.80,2,176877.26,HOLD
36,23303.03,153635.83,1,176938.86,SELL
37,23331.40,176967.23,0,176967.23,SELL
38,23490.95,176967.23,0,176967.23,HOLD
39,23518.29,153448.94,1,176967.23,BUY
40,23232.31,153448.94,1,176681.25,HOLD
41,23505.78,153448.94,1,176954.72,HOLD
42,25145.66,153448.94,1,178594.60,HOLD
43,25656.70,153448.94,1,179105.64,HOLD
44,26255.47,153448.94,1,179704.41,HOLD
45,26719.23,153448.94,1,180168.17,HOLD
46,26639.98,126808.96,2,180088.92,BUY
47,26676.28,153485.24,1,180161.52,SELL
48,26605.26,153485.24,1,180090.50,HOLD
49,27042.32,180527.56,0,180527.56,SELL
50,27899.45,152628.11,1,180527.56,BUY
51,28373.34,124254.77,2,181001.45,BUY
52,28527.81,152782.58,1,181310.39,SELL
53,28089.12,124693.46,2,180871.70,BUY
54,29350.48,154043.94,1,183394.42,SELL
55,30191.01,184234.95,0,184234.95,SELL
56,30044.43,184234.95,0,184234.95,HOLD
57,28711.04,184234.95,0,184234.95,HOLD
58,28995.33,155239.62,1,184234.95,BUY
59,30041.50,155239.62,1,185281.12,HOLD
60,28414.92,155239.62,1,183654.54,HOLD
61,29318.82,184558.44,0,184558.44,SELL
62,29516.42,184558.44,0,184558.44,HOLD
63,29558.55,184558.44,0,184558.44,HOLD
64,28800.86,155757.58,1,184558.44,BUY
65,28760.27,155757.58,1,184517.85,HOLD
66,27888.59,155757.58,1,183646.17,HOLD
67,27842.98,127914.60,2,183600.56,BUY
68,28396.62,99517.98,3,184707.84,BUY
69,28565.83,99517.98,3,185215.47,HOLD
70,28801.83,128319.81,2,185923.47,SELL
71,29263.72,99056.09,3,186847.25,BUY
72,28860.06,127916.15,2,185636.27,SELL
73,28779.76,99136.39,3,185475.67,BUY
74,28161.75,127298.14,2,183621.64,SELL
75,28482.82,98815.32,3,184263.78,BUY
76,27438.07,126253.39,2,181129.53,SELL
77,27272.49,126253.39,2,180798.37,HOLD
78,27709.22,126253.39,2,181671.83,HOLD
79,27427.38,153680.77,1,181108.15,SELL
80,27193.10,180873.87,0,180873.87,SELL
81,27656.63,180873.87,0,180873.87,HOLD
82,29469.35,180873.87,0,180873.87,HOLD
