DAY,Price,Cash,Shares,PortfolioValue,Action
0,614.58,5475.42,1,6090.00,BUY
1,504.51,5475.42,1,5979.93,HOLD
2,435.81,5475.42,1,5911.23,HOLD
3,511.47,5475.42,1,5986.89,HOLD
4,577.83,4897.59,2,6053.25,BUY
5,596.71,5494.30,1,6091.01,SELL
6,602.05,4892.25,2,6096.35,BUY
7,638.69,5530.94,1,6169.63,SELL
8,673.52,5530.94,1,6204.46,HOLD
9,686.23,6217.17,0,6217.17,SELL
10,702.50,6217.17,0,6217.17,HOLD
11,700.84,6217.17,0,6217.17,HOLD
12,739.52,6217.17,0,6217.17,HOLD
13,722.81,6217.17,0,6217.17,HOLD
14,732.55,6217.17,0,6217.17,HOLD
15,742.57,6217.17,0,6217.17,HOLD
16,741.11,6217.17,0,6217.17,HOLD
17,766.51,6217.17,0,6217.17,HOLD
18,775.78,6217.17,0,6217.17,HOLD
19,788.72,5428.45,1,6217.17,BUY
20,814.23,6242.68,0,6242.68,SELL
21,849.01,6242.68,0,6242.68,HOLD
22,831.15,5411.53,1,6242.68,BUY
23,787.93,4623.60,2,6199.46,BUY
24,839.63,3783.97,3,6302.86,BUY
25,864.39,3783.97,3,6377.14,HOLD
26,886.48,3783.97,3,6443.41,HOLD
27,859.40,4643.37,2,6362.17,SELL
28,819.86,4643.37,2,6283.09,HOLD
29,867.63,5511.00,1,6378.63,SELL
30,822.58,5511.00,1,6333.58,HOLD
31,804.75,5511.00,1,6315.75,HOLD
32,791.30,5511.00,1,6302.30,HOLD
33,832.27,5511.00,1,6343.27,HOLD
34,826.17,4684.83,2,6337.17,BUY
35,861.29,5546.12,1,6407.41,SELL
36,875.45,5546.12,1,6421.57,HOLD
37,908.24,4637.88,2,6454.36,BUY
38,923.39,5561.27,1,6484.66,SELL
39,942.46,4618.81,2,6503.73,BUY
40,923.96,4618.81,2,6466.73,HOLD
41,977.37,4618.81,2,6573.55,HOLD
42,972.10,3646.71,3,6563.01,BUY
43,959.52,4606.23,2,6525.27,SELL
44,984.37,3621.86,3,6574.97,BUY
45,958.47,3621.86,3,6497.27,HOLD
46,951.21,2670.65,4,6475.49,BUY
47,944.74,2670.65,4,6449.61,HOLD
48,904.18,2670.65,4,6287.37,HOLD
