DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,5420.49,1,6025.00,BUY
1,483.51,5420.49,1,5904.00,HOLD
2,454.24,5874.73,0,5874.73,SELL
3,551.25,5323.48,1,5874.73,BUY
4,593.22,5916.70,0,5916.70,SELL
5,602.05,5916.70,0,5916.70,HOLD
6,616.88,5916.70,0,5916.70,HOLD
7,644.06,5916.70,0,5916.70,HOLD
8,676.60,5240.10,1,5916.70,BUY
9,688.88,5928.98,0,5928.98,SELL
10,708.60,5928.98,0,5928.98,HOLD
11,716.83,5212.15,1,5928.98,BUY
12,747.37,5959.52,0,5959.52,SELL
13,693.15,5266.37,1,5959.52,BUY
14,741.78,6008.15,0,6008.15,SELL
15,732.86,5275.29,1,6008.15,BUY
16,750.43,6025.72,0,6025.72,SELL
17,773.08,6025.72,0,6025.72,HOLD
18,776.97,6025.72,0,6025.72,HOLD
19,795.19,6025.72,0,6025.72,HOLD
20,815.15,6025.72,0,6025.72,HOLD
21,854.48,6025.72,0,6025.72,HOLD
22,794.91,5230.81,1,6025.72,BUY
23,820.02,4410.79,2,6050.83,BUY
24,847.53,4410.79,2,6105.85,HOLD
25,874.31,3536.48,3,6159.41,BUY
26,893.24,3536.48,3,6216.20,HOLD
27,838.13,2698.35,4,6050.87,BUY
28,839.68,2698.35,4,6057.07,HOLD
29,868.01,1830.34,5,6170.39,BUY
30,821.50,1830.34,5,5937.84,HOLD
31,776.70,2607.04,4,5713.84,SELL
32,789.85,1817.19,5,5766.44,BUY
33,845.17,1817.19,5,6043.04,HOLD
34,841.60,1817.19,5,6025.19,HOLD
35,868.60,2685.79,4,6160.19,SELL
36,885.65,2685.79,4,6228.39,HOLD
37,910.36,1775.43,5,6327.23,BUY
38,924.52,2699.95,4,6398.03,SELL
39,940.98,1758.97,5,6463.87,BUY
40,928.58,830.39,6,6401.87,BUY
41,982.27,830.39,6,6724.01,HOLD
42,973.63,830.39,6,6672.17,HOLD
43,975.62,1806.01,5,6684.11,SELL
44,957.17,1806.01,5,6591.86,HOLD
45,958.05,1806.01,5,6596.26,HOLD
46,965.83,1806.01,5,6635.16,HOLD
47,953.48,2759.49,4,6573.41,SELL
48,914.49,2759.49,4,6417.45,HOLD
49,877.73,1881.76,5,6270.41,BUY
50,928.17,953.59,6,6522.61,BUY
51,945.97,953.59,6,6629.41,HOLD
52,954.54,1908.13,5,6680.83,SELL
53,964.62,2872.75,4,6731.23,SELL
54,1001.00,2872.75,4,6876.75,HOLD
55,1025.48,3898.23,3,6974.67,SELL
56,1019.81,3898.23,3,6957.66,HOLD
57,944.15,2954.08,4,6730.68,BUY
58,958.57,3912.65,3,6788.36,SELL
59,962.78,2949.87,4,6800.99,BUY
60,960.64,1989.23,5,6792.43,BUY
61,981.52,2970.75,4,6896.83,SELL
62,979.47,3950.22,3,6888.63,SELL
63,994.76,4944.98,2,6934.50,SELL
64,1010.18,3934.80,3,6965.34,BUY
65,1028.48,4963.28,2,7020.24,SELL
66,1028.14,4963.28,2,7019.56,HOLD
67,1046.57,4963.28,2,7056.42,HOLD
68,1046.51,3916.77,3,7056.30,BUY
69,1039.26,4956.03,2,7034.55,SELL
70,1050.32,3905.71,3,7056.67,BUY
71,1052.21,4957.92,2,7062.34,SELL
72,964.02,3993.90,3,6885.96,BUY
73,1014.10,3993.90,3,7036.20,HOLD
74,1047.12,5041.02,2,7135.26,SELL
75,1026.97,5041.02,2,7094.96,HOLD
76,1033.69,6074.71,1,7108.40,SELL
77,989.07,7063.78,0,7063.78,SELL
78,932.32,6131.46,1,7063.78,BUY
79,981.83,7113.29,0,7113.29,SELL
80,989.43,6123.86,1,7113.29,BUY
81,991.03,5132.83,2,7114.89,BUY
82,995.35,6128.18,1,7123.53,SELL
83,998.14,6128.18,1,7126.32,HOLD
84,1029.54,7157.72,0,7157.72,SELL
85,999.40,7157.72,0,7157.72,HOLD
86,977.91,7157.72,0,7157.72,HOLD
87,1010.02,6147.70,1,7157.72,BUY
88,995.93,5151.77,2,7143.63,BUY
89,1005.61,5151.77,2,7162.99,HOLD
90,1030.57,5151.77,2,7212.91,HOLD
91,976.41,5151.77,2,7104.59,HOLD
92,954.82,5151.77,2,7061.41,HOLD
93,911.02,6062.79,1,6973.81,SELL
94,887.02,5175.77,2,6949.81,BUY
95,893.21,5175.77,2,6962.19,HOLD
96,858.78,5175.77,2,6893.33,HOLD
97,847.86,6023.63,1,6871.49,SELL
98,896.84,6023.63,1,6920.47,HOLD
99,870.81,6894.44,0,6894.44,SELL
100,917.93,6894.44,0,6894.44,HOLD
101,926.55,5967.89,1,6894.44,BUY
102,938.45,5967.89,1,6906.34,HOLD
103,920.75,6888.64,0,6888.64,SELL
104,917.53,5971.11,1,6888.64,BUY
105,899.83,5971.11,1,6870.94,HOLD
106,892.54,5971.11,1,6863.65,HOLD
107,831.59,6802.70,0,6802.70,SELL
108,856.30,5946.40,1,6802.70,BUY
109,865.05,5946.40,1,6811.45,HOLD
110,884.11,5946.40,1,6830.51,HOLD
111,867.20,5079.20,2,6813.60,BUY
112,800.56,5879.76,1,6680.32,SELL
113,714.38,6594.14,0,6594.14,SELL
114,744.24,6594.14,0,6594.14,HOLD
115,750.67,5843.47,1,6594.14,BUY
116,757.99,5085.48,2,6601.46,BUY
117,790.97,5876.45,1,6667.42,SELL
118,796.48,5079.97,2,6672.93,BUY
119,820.06,4259.91,3,6720.09,BUY
120,828.27,5088.18,2,6744.72,SELL
121,814.17,5088.18,2,6716.52,HOLD
122,801.84,5088.18,2,6691.86,HOLD
123,784.67,5088.18,2,6657.52,HOLD
124,790.83,5879.01,1,6669.84,SELL
125,757.33,5121.68,2,6636.34,BUY
126,681.59,5121.68,2,6484.86,HOLD
127,683.15,5804.83,1,6487.98,SELL
128,650.39,5154.44,2,6455.22,BUY
129,675.89,4478.55,3,6506.22,BUY
130,686.41,4478.55,3,6537.78,HOLD
131,683.74,4478.55,3,6529.77,HOLD
132,705.70,5184.25,2,6595.65,SELL
133,735.04,5919.29,1,6654.33,SELL
134,729.41,5189.88,2,6648.70,BUY
135,739.16,4450.72,3,6668.20,BUY
136,711.08,5161.80,2,6583.96,SELL
137,721.46,5161.80,2,6604.72,HOLD
138,709.52,5871.32,1,6580.84,SELL
139,675.80,6547.12,0,6547.12,SELL
140,676.40,5870.72,1,6547.12,BUY
141,709.26,5161.46,2,6579.98,BUY
142,712.32,4449.14,3,6586.10,BUY
143,732.33,5181.47,2,6646.13,SELL
144,762.30,4419.17,3,6706.07,BUY
145,774.61,3644.56,4,6743.00,BUY
146,786.48,3644.56,4,6790.48,HOLD
147,783.66,2860.90,5,6779.20,BUY
148,807.95,3668.85,4,6900.65,SELL
149,773.65,3668.85,4,6763.45,HOLD
150,807.91,4476.76,3,6900.49,SELL
151,832.44,4476.76,3,6974.08,HOLD
152,856.15,4476.76,3,7045.21,HOLD
153,888.63,4476.76,3,7142.65,HOLD
154,907.59,5384.35,2,7199.53,SELL
155,829.19,4555.16,3,7042.73,BUY
156,839.08,5394.24,2,7072.40,SELL
157,820.24,5394.24,2,7034.72,HOLD
158,836.68,5394.24,2,7067.60,HOLD
159,842.17,6236.41,1,7078.58,SELL
160,865.13,5371.28,2,7101.54,BUY
161,889.58,4481.70,3,7150.44,BUY
162,883.09,5364.79,2,7130.97,SELL
163,867.68,5364.79,2,7100.15,HOLD
164,883.41,6248.20,1,7131.61,SELL
165,865.65,6248.20,1,7113.85,HOLD
166,901.12,5347.08,2,7149.32,BUY
