DAY,Price,Cash,Shares,PortfolioValue,Action
0,591.38,6140.00,0,6140.00,HOLD
1,485.14,6140.00,0,6140.00,HOLD
2,488.98,5651.02,1,6140.00,BUY
3,551.30,5099.72,2,6202.32,BUY
4,599.30,4500.42,3,6298.32,BUY
5,603.15,4500.42,3,6309.87,HOLD
6,637.33,3863.09,4,6412.41,BUY
7,635.16,3227.93,5,6403.73,BUY
8,673.66,3227.93,5,6596.23,HOLD
9,687.67,3227.93,5,6666.28,HOLD
10,718.81,2509.12,6,6821.98,BUY
11,735.06,2509.12,6,6919.48,HOLD
12,746.56,1762.56,7,6988.48,BUY
13,714.14,1048.42,8,6761.54,BUY
14,744.26,1048.42,8,7002.50,HOLD
15,731.76,1048.42,8,6902.50,HOLD
16,755.44,1048.42,8,7091.94,HOLD
17,775.29,1048.42,8,7250.74,HOLD
18,785.75,1048.42,8,7334.42,HOLD
19,802.04,246.38,9,7464.74,BUY
20,830.55,246.38,9,7721.33,HOLD
21,858.00,246.38,9,7968.38,HOLD
22,805.52,246.38,9,7496.06,HOLD
23,827.27,246.38,9,7691.81,HOLD
24,858.23,246.38,9,7970.45,HOLD
25,864.17,246.38,9,8023.91,HOLD
26,891.99,246.38,9,8274.29,HOLD
27,821.89,246.38,9,7643.39,HOLD
28,843.06,246.38,9,7833.92,HOLD
29,865.95,246.38,9,8039.93,HOLD
30,803.24,246.38,9,7475.54,HOLD
31,766.96,246.38,9,7149.02,HOLD
32,810.01,246.38,9,7536.47,HOLD
33,835.27,246.38,9,7763.81,HOLD
34,836.00,246.38,9,7770.38,HOLD
35,868.89,246.38,9,8066.39,HOLD
36,883.24,246.38,9,8195.54,HOLD
37,906.31,246.38,9,8403.17,HOLD
38,921.27,246.38,9,8537.81,HOLD
39,928.51,246.38,9,8602.97,HOLD
40,955.38,246.38,9,8844.80,HOLD
41,978.12,246.38,9,9049.46,HOLD
42,963.09,246.38,9,8914.19,HOLD
43,975.05,246.38,9,9021.83,HOLD
44,918.68,246.38,9,8514.50,HOLD
45,961.26,246.38,9,8897.72,HOLD
46,974.30,246.38,9,9015.08,HOLD
47,934.35,246.38,9,8655.53,HOLD
48,920.07,246.38,9,8527.01,HOLD
49,890.07,246.38,9,8257.01,HOLD
50,935.11,246.38,9,8662.37,HOLD
51,939.19,246.38,9,8699.09,HOLD
52,954.17,246.38,9,8833.91,HOLD
53,968.35,246.38,9,8961.53,HOLD
54,1009.34,246.38,9,9330.44,HOLD
55,1019.59,246.38,9,9422.69,HOLD
56,995.96,246.38,9,9210.02,HOLD
57,961.16,246.38,9,8896.82,HOLD
58,948.04,246.38,9,8778.74,HOLD
59,965.55,246.38,9,8936.33,HOLD
60,973.76,246.38,9,9010.22,HOLD
61,983.02,246.38,9,9093.56,HOLD
62,989.15,246.38,9,9148.73,HOLD
63,1004.57,246.38,9,9287.51,HOLD
64,1011.31,246.38,9,9348.17,HOLD
65,1033.94,246.38,9,9551.84,HOLD
66,1013.91,246.38,9,9371.57,HOLD
67,1044.70,246.38,9,9648.68,HOLD
68,1053.01,246.38,9,9723.47,HOLD
69,1029.19,246.38,9,9509.09,HOLD
70,1055.64,246.38,9,9747.14,HOLD
71,1024.48,246.38,9,9466.70,HOLD
72,969.48,246.38,9,8971.70,HOLD
73,1027.84,246.38,9,9496.94,HOLD
74,1049.27,246.38,9,9689.81,HOLD
75,1023.98,246.38,9,9462.20,HOLD
76,1036.25,246.38,9,9572.63,HOLD
77,999.58,246.38,9,9242.60,HOLD
78,948.02,246.38,9,8778.56,HOLD
79,985.14,246.38,9,9112.64,HOLD
80,986.55,246.38,9,9125.33,HOLD
81,994.28,246.38,9,9194.90,HOLD
82,988.36,246.38,9,9141.62,HOLD
83,1016.16,246.38,9,9391.82,HOLD
84,1023.13,246.38,9,9454.55,HOLD
85,980.26,246.38,9,9068.72,HOLD
86,980.87,246.38,9,9074.21,HOLD
87,1005.96,246.38,9,9300.02,HOLD
88,990.51,246.38,9,9160.97,HOLD
89,1006.87,246.38,9,9308.21,HOLD
90,1025.23,246.38,9,9473.45,HOLD
91,962.91,246.38,9,8912.57,HOLD
92,942.11,246.38,9,8725.37,HOLD
93,883.17,246.38,9,8194.91,HOLD
94,886.93,246.38,9,8228.75,HOLD
95,877.28,246.38,9,8141.90,HOLD
96,860.81,246.38,9,7993.67,HOLD
97,863.47,246.38,9,8017.61,HOLD
98,878.45,246.38,9,8152.43,HOLD
99,866.47,246.38,9,8044.61,HOLD
100,914.33,246.38,9,8475.35,HOLD
101,930.34,246.38,9,8619.44,HOLD
102,949.46,246.38,9,8791.52,HOLD
103,905.18,246.38,9,8393.00,HOLD
104,922.60,246.38,9,8549.78,HOLD
105,906.59,246.38,9,8405.69,HOLD
106,905.05,246.38,9,8391.83,HOLD
107,852.23,246.38,9,7916.45,HOLD
108,868.28,246.38,9,8060.90,HOLD
109,861.92,246.38,9,8003.66,HOLD
110,888.45,246.38,9,8242.43,HOLD
111,865.96,246.38,9,8040.02,HOLD
112,780.96,246.38,9,7275.02,HOLD
113,719.47,246.38,9,6721.61,HOLD
114,724.20,246.38,9,6764.18,HOLD
115,764.02,246.38,9,7122.56,HOLD
116,754.33,246.38,9,7035.35,HOLD
117,789.73,246.38,9,7353.95,HOLD
118,801.05,246.38,9,7455.83,HOLD
119,826.23,246.38,9,7682.45,HOLD
120,826.72,246.38,9,7686.86,HOLD
121,795.87,246.38,9,7409.21,HOLD
122,775.33,246.38,9,7224.35,HOLD
123,768.82,246.38,9,7165.76,HOLD
124,770.05,246.38,9,7176.83,HOLD
125,750.14,246.38,9,6997.64,HOLD
126,668.30,246.38,9,6261.08,HOLD
127,690.48,246.38,9,6460.70,HOLD
128,665.17,246.38,9,6232.91,HOLD
129,674.48,246.38,9,6316.70,HOLD
130,687.19,246.38,9,6431.09,HOLD
131,684.99,246.38,9,6411.29,HOLD
132,724.53,246.38,9,6767.15,HOLD
133,731.53,246.38,9,6830.15,HOLD
134,732.48,246.38,9,6838.70,HOLD
135,732.41,246.38,9,6838.07,HOLD
136,712.40,246.38,9,6657.98,HOLD
137,710.20,246.38,9,6638.18,HOLD
138,691.25,246.38,9,6467.63,HOLD
139,670.38,246.38,9,6279.80,HOLD
140,695.02,246.38,9,6501.56,HOLD
141,713.19,246.38,9,6665.09,HOLD
142,725.23,246.38,9,6773.45,HOLD
143,744.03,246.38,9,6942.65,HOLD
144,776.30,246.38,9,7233.08,HOLD
145,763.81,246.38,9,7120.67,HOLD
146,774.54,246.38,9,7217.24,HOLD
147,786.52,246.38,9,7325.06,HOLD
148,801.10,246.38,9,7456.28,HOLD
149,767.11,246.38,9,7150.37,HOLD
150,806.40,246.38,9,7503.98,HOLD
151,846.10,246.38,9,7861.28,HOLD
152,859.13,246.38,9,7978.55,HOLD
153,875.42,246.38,9,8125.16,HOLD
154,884.33,246.38,9,8205.35,HOLD
155,823.19,246.38,9,7655.09,HOLD
156,842.07,246.38,9,7825.01,HOLD
157,806.47,246.38,9,7504.61,HOLD
158,837.49,246.38,9,7783.79,HOLD
159,844.48,246.38,9,7846.70,HOLD
160,872.10,246.38,9,8095.28,HOLD
161,870.48,246.38,9,8080.70,HOLD
162,875.33,246.38,9,8124.35,HOLD
163,866.70,246.38,9,8046.68,HOLD
164,889.23,246.38,9,8249.45,HOLD
165,873.91,246.38,9,8111.57,HOLD
166,910.25,246.38,9,8438.63,HOLD
167,886.14,246.38,9,8221.64,HOLD
168,907.87,246.38,9,8417.21,HOLD
169,889.94,246.38,9,8255.84,HOLD
170,863.32,246.38,9,8016.26,HOLD
171,892.12,246.38,9,8275.46,HOLD
172,923.40,246.38,9,8556.98,HOLD
173,902.95,246.38,9,8372.93,HOLD
174,886.46,246.38,9,8224.52,HOLD
175,859.51,246.38,9,7981.97,HOLD
176,806.47,246.38,9,7504.61,HOLD
177,822.27,246.38,9,7646.81,HOLD
178,782.63,246.38,9,7290.05,HOLD
179,740.51,246.38,9,6910.97,HOLD
180,753.37,246.38,9,7026.71,HOLD
181,797.44,246.38,9,7423.34,HOLD
182,804.74,246.38,9,7489.04,HOLD
183,813.25,246.38,9,7565.63,HOLD
184,819.23,246.38,9,7619.45,HOLD
185,810.90,246.38,9,7544.48,HOLD
186,834.66,246.38,9,7758.32,HOLD
187,851.82,246.38,9,7912.76,HOLD
188,865.26,246.38,9,8033.72,HOLD
189,881.97,246.38,9,8184.11,HOLD
190,846.47,246.38,9,7864.61,HOLD
191,833.24,246.38,9,7745.54,HOLD
192,811.57,246.38,9,7550.51,HOLD
193,795.37,246.38,9,7404.71,HOLD
194,852.79,246.38,9,7921.49,HOLD
195,864.56,246.38,9,8027.42,HOLD
196,858.30,246.38,9,7971.08,HOLD
197,866.18,246.38,9,8042.00,HOLD
198,875.87,246.38,9,8129.21,HOLD
199,900.84,246.38,9,8353.94,HOLD
200,903.61,246.38,9,8378.87,HOLD
201,867.45,246.38,9,8053.43,HOLD
202,842.84,246.38,9,7831.94,HOLD
203,840.29,246.38,9,7808.99,HOLD
204,860.53,246.38,9,7991.15,HOLD
205,862.81,246.38,9,8011.67,HOLD
206,868.51,246.38,9,8062.97,HOLD
207,839.16,246.38,9,7798.82,HOLD
208,831.02,246.38,9,7725.56,HOLD
209,855.06,246.38,9,7941.92,HOLD
210,859.69,246.38,9,7983.59,HOLD
211,848.50,246.38,9,7882.88,HOLD
212,838.29,246.38,9,7790.99,HOLD
213,841.98,246.38,9,7824.20,HOLD
214,845.03,246.38,9,7851.65,HOLD
215,819.13,246.38,9,7618.55,HOLD
216,795.02,246.38,9,7401.56,HOLD
217,778.39,246.38,9,7251.89,HOLD
218,759.91,246.38,9,7085.57,HOLD
219,776.71,246.38,9,7236.77,HOLD
220,764.46,246.38,9,7126.52,HOLD
221,764.15,246.38,9,7123.73,HOLD
222,693.86,246.38,9,6491.12,HOLD
223,729.93,246.38,9,6815.75,HOLD
224,764.15,246.38,9,7123.73,HOLD
225,771.11,246.38,9,7186.37,HOLD
226,768.13,246.38,9,7159.55,HOLD
227,738.33,246.38,9,6891.35,HOLD
228,733.28,246.38,9,6845.90,HOLD
229,750.17,246.38,9,6997.91,HOLD
230,707.96,246.38,9,6618.02,HOLD
231,682.50,246.38,9,6388.88,HOLD
232,689.53,246.38,9,6452.15,HOLD
233,678.98,246.38,9,6357.20,HOLD
234,635.94,246.38,9,5969.84,HOLD
235,691.58,6470.60,0,6470.60,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
236,679.23,6470.60,0,6470.60,HOLD
