DAY,Price,Cash,Shares,PortfolioValue,Action
0,555.47,6504.00,0,6504.00,HOLD
1,419.55,6504.00,0,6504.00,HOLD
2,501.82,6002.18,1,6504.00,BUY
3,542.75,6002.18,1,6544.93,HOLD
4,610.66,5391.52,2,6612.84,BUY
5,628.05,6019.57,1,6647.62,SELL
6,629.12,6648.69,0,6648.69,SELL
7,647.52,6001.17,1,6648.69,BUY
8,676.24,6677.41,0,6677.41,SELL
9,697.09,5980.32,1,6677.41,BUY
10,722.04,5258.28,2,6702.36,BUY
11,734.63,5258.28,2,6727.54,HOLD
12,752.29,4505.99,3,6762.86,BUY
13,717.68,3788.31,4,6659.03,BUY
14,755.12,3033.19,5,6808.79,BUY
15,726.36,2306.83,6,6664.99,BUY
16,758.38,2306.83,6,6857.11,HOLD
17,775.96,1530.87,7,6962.59,BUY
18,785.97,744.90,8,7032.66,BUY
19,804.29,1549.19,7,7179.22,SELL
20,837.11,712.08,8,7408.96,BUY
21,836.58,712.08,8,7404.72,HOLD
22,785.00,712.08,8,6992.08,HOLD
23,832.74,712.08,8,7374.00,HOLD
24,869.84,712.08,8,7670.80,HOLD
25,874.77,1586.85,7,7710.24,SELL
26,883.50,1586.85,7,7771.35,HOLD
27,804.28,1586.85,7,7216.81,HOLD
28,855.65,1586.85,7,7576.40,HOLD
29,859.88,1586.85,7,7606.01,HOLD
30,819.66,2406.51,6,7324.47,SELL
31,784.88,1621.63,7,7115.79,BUY
32,814.76,1621.63,7,7324.95,HOLD
33,829.53,1621.63,7,7428.34,HOLD
34,840.43,781.20,8,7504.64,BUY
35,855.28,781.20,8,7623.44,HOLD
36,891.61,1672.81,7,7914.08,SELL
37,904.45,1672.81,7,8003.96,HOLD
38,932.41,1672.81,7,8199.68,HOLD
39,918.44,2591.25,6,8101.89,SELL
40,960.52,3551.77,5,8354.37,SELL
41,953.36,3551.77,5,8318.57,HOLD
42,940.11,4491.88,4,8252.32,SELL
43,981.05,4491.88,4,8416.08,HOLD
44,918.92,4491.88,4,8167.56,HOLD
45,956.93,3534.95,5,8319.60,BUY
46,970.55,2564.40,6,8387.70,BUY
47,906.31,2564.40,6,8002.26,HOLD
48,916.75,1647.65,7,8064.90,BUY
49,890.97,756.68,8,7884.44,BUY
50,945.11,1701.79,7,8317.56,SELL
51,948.34,753.45,8,8340.17,BUY
52,954.93,753.45,8,8392.89,HOLD
53,969.53,753.45,8,8509.69,HOLD
54,1008.80,753.45,8,8823.85,HOLD
55,1023.43,1776.88,7,8940.89,SELL
56,983.73,2760.61,6,8662.99,SELL
57,970.96,1789.65,7,8586.37,BUY
58,953.91,1789.65,7,8467.02,HOLD
59,948.37,841.28,8,8428.24,BUY
60,979.00,1820.28,7,8673.28,SELL
61,982.14,2802.42,6,8695.26,SELL
62,991.93,2802.42,6,8754.00,HOLD
63,1006.83,2802.42,6,8843.40,HOLD
64,1013.47,3815.89,5,8883.24,SELL
65,1039.79,2776.10,6,9014.84,BUY
66,1030.36,3806.46,5,8958.26,SELL
67,1046.90,3806.46,5,9040.96,HOLD
68,1045.27,2761.19,6,9032.81,BUY
69,1029.26,1731.93,7,8936.75,BUY
70,1054.58,2786.51,6,9113.99,SELL
71,1009.21,2786.51,6,8841.77,HOLD
72,1000.72,3787.23,5,8790.83,SELL
73,1026.36,2760.87,6,8919.03,BUY
74,1049.80,1711.07,7,9059.67,BUY
75,1028.40,682.67,8,8909.87,BUY
76,1034.80,1717.47,7,8961.07,SELL
77,982.26,735.21,8,8593.29,BUY
78,936.95,735.21,8,8230.81,HOLD
79,997.10,1732.31,7,8712.01,SELL
80,1000.29,1732.31,7,8734.34,HOLD
81,1000.96,2733.27,6,8739.03,SELL
82,1002.51,2733.27,6,8748.33,HOLD
83,1027.07,3760.34,5,8895.69,SELL
84,1012.95,4773.29,4,8825.09,SELL
85,960.84,5734.13,3,8616.65,SELL
86,991.07,5734.13,3,8707.34,HOLD
87,996.85,6730.98,2,8724.68,SELL
88,982.43,6730.98,2,8695.84,HOLD
89,1014.39,6730.98,2,8759.76,HOLD
90,1007.84,7738.82,1,8746.66,SELL
91,978.69,8717.51,0,8717.51,SELL
92,929.15,8717.51,0,8717.51,HOLD
93,881.68,8717.51,0,8717.51,HOLD
94,893.91,8717.51,0,8717.51,HOLD
95,850.28,7867.23,1,8717.51,BUY
96,865.58,7867.23,1,8732.81,HOLD
97,868.91,6998.32,2,8736.14,BUY
98,864.69,7863.01,1,8727.70,SELL
99,879.68,6983.33,2,8742.69,BUY
100,927.02,7910.35,1,8837.37,SELL
101,936.91,7910.35,1,8847.26,HOLD
102,939.82,6970.53,2,8850.17,BUY
