DAY,Price,Cash,Shares,PortfolioValue,Action
0,2195.65,9840.50,0,9840.50,HOLD
1,2137.72,9840.50,0,9840.50,HOLD
2,2223.39,7617.11,1,9840.50,BUY
3,2235.13,9852.24,0,9852.24,SELL
4,2119.01,9852.24,0,9852.24,HOLD
5,2198.14,7654.10,1,9852.24,BUY
6,2221.90,7654.10,1,9876.00,HOLD
7,2160.28,7654.10,1,9814.38,HOLD
8,1980.82,7654.10,1,9634.92,HOLD
9,2032.13,5621.97,2,9686.23,BUY
10,1680.60,3941.37,3,8983.17,BUY
11,1466.48,2474.89,4,8340.81,BUY
12,1668.21,806.68,5,9147.73,BUY
13,1706.68,806.68,5,9340.08,HOLD
14,1824.43,2631.11,4,9928.83,SELL
15,1893.17,737.94,5,10203.79,BUY
16,1894.62,2632.56,4,10211.04,SELL
17,1918.57,713.99,5,10306.84,BUY
18,1913.49,713.99,5,10281.44,HOLD
19,1993.00,713.99,5,10678.99,HOLD
20,2003.75,713.99,5,10732.74,HOLD
21,2139.68,713.99,5,11412.39,HOLD
22,2148.51,713.99,5,11456.54,HOLD
23,2120.29,713.99,5,11315.44,HOLD
24,2112.37,713.99,5,11275.84,HOLD
25,2113.98,713.99,5,11283.89,HOLD
26,2166.74,713.99,5,11547.69,HOLD
27,2177.82,713.99,5,11603.09,HOLD
28,2202.99,2916.98,4,11728.94,SELL
29,2263.81,2916.98,4,11972.22,HOLD
30,2322.64,5239.62,3,12207.54,SELL
31,2412.49,2827.13,4,12477.09,BUY
32,2280.97,546.16,5,11951.01,BUY
33,2345.28,546.16,5,12272.56,HOLD
34,2332.68,546.16,5,12209.56,HOLD
35,2374.00,2920.16,4,12416.16,SELL
36,2396.33,5316.49,3,12505.48,SELL
37,2267.63,7584.12,2,12119.38,SELL
38,2347.82,5236.30,3,12279.76,BUY
39,2348.74,7585.04,2,12282.52,SELL
40,2339.73,7585.04,2,12264.50,HOLD
41,2299.91,5285.13,3,12184.86,BUY
42,2370.85,7655.98,2,12397.68,SELL
43,2467.04,7655.98,2,12590.06,HOLD
44,2529.53,7655.98,2,12715.04,HOLD
45,2592.43,5063.55,3,12840.84,BUY
46,2672.85,5063.55,3,13082.10,HOLD
47,2718.70,5063.55,3,13219.65,HOLD
48,2742.25,5063.55,3,13290.30,HOLD
49,2762.60,7826.15,2,13351.35,SELL
50,2921.84,4904.31,3,13669.83,BUY
51,3047.56,1856.75,4,14046.99,BUY
52,3011.32,1856.75,4,13902.03,HOLD
