DAY,Price,Cash,Shares,PortfolioValue,Action
0,2171.84,7363.16,1,9535.00,BUY
1,2172.16,7363.16,1,9535.32,HOLD
2,2225.41,9588.57,0,9588.57,SELL
3,2241.94,7346.63,1,9588.57,BUY
4,2082.74,5263.89,2,9429.37,BUY
5,2180.51,3083.38,3,9624.91,BUY
6,2230.26,3083.38,3,9774.16,HOLD
7,2079.03,1004.35,4,9320.47,BUY
8,1969.34,2973.69,3,8881.71,SELL
9,1946.90,2973.69,3,8814.39,HOLD
10,1714.38,1259.31,4,8116.83,BUY
11,1458.41,1259.31,4,7092.95,HOLD
12,1659.95,1259.31,4,7899.11,HOLD
13,1742.67,3001.98,3,8229.99,SELL
14,1825.76,3001.98,3,8479.26,HOLD
15,1841.66,4843.64,2,8526.96,SELL
16,1911.63,4843.64,2,8666.90,HOLD
17,1942.54,4843.64,2,8728.72,HOLD
18,1913.21,6756.85,1,8670.06,SELL
19,1961.40,4795.45,2,8718.25,BUY
20,2006.62,4795.45,2,8808.69,HOLD
21,2138.18,4795.45,2,9071.81,HOLD
22,2084.63,6880.08,1,8964.71,SELL
23,2108.91,6880.08,1,8988.99,HOLD
24,2115.25,4764.83,2,8995.33,BUY
25,2135.30,6900.13,1,9035.43,SELL
26,2140.29,4759.84,2,9040.42,BUY
27,2187.85,6947.69,1,9135.54,SELL
28,2195.49,6947.69,1,9143.18,HOLD
29,2248.49,6947.69,1,9196.18,HOLD
30,2333.62,9281.31,0,9281.31,SELL
31,2383.69,9281.31,0,9281.31,HOLD
32,2283.48,9281.31,0,9281.31,HOLD
33,2326.06,9281.31,0,9281.31,HOLD
34,2362.42,6918.89,1,9281.31,BUY
35,2410.79,4508.10,2,9329.68,BUY
36,2379.38,2128.72,3,9266.86,BUY
37,2291.32,2128.72,3,9002.68,HOLD
38,2383.82,4512.54,2,9280.18,SELL
39,2325.03,4512.54,2,9162.60,HOLD
40,2344.49,4512.54,2,9201.52,HOLD
41,2266.93,4512.54,2,9046.40,HOLD
42,2404.97,4512.54,2,9322.48,HOLD
43,2460.96,6973.50,1,9434.46,SELL
44,2539.79,9513.29,0,9513.29,SELL
45,2618.47,6894.82,1,9513.29,BUY
46,2705.34,9600.16,0,9600.16,SELL
47,2754.16,9600.16,0,9600.16,HOLD
48,2762.80,9600.16,0,9600.16,HOLD
49,2799.56,6800.60,1,9600.16,BUY
50,2961.37,6800.60,1,9761.97,HOLD
51,3109.63,3690.97,2,9910.23,BUY
52,3077.15,6768.12,1,9845.27,SELL
53,3118.89,3649.23,2,9887.01,BUY
54,3091.85,6741.08,1,9832.93,SELL
55,3064.25,9805.33,0,9805.33,SELL
56,3040.28,6765.05,1,9805.33,BUY
57,2988.28,9753.33,0,9753.33,SELL
58,2992.64,9753.33,0,9753.33,HOLD
59,3036.14,9753.33,0,9753.33,HOLD
60,3019.60,6733.73,1,9753.33,BUY
61,3025.39,3708.34,2,9759.12,BUY
62,3101.86,606.48,3,9912.06,BUY
63,3127.91,606.48,3,9990.21,HOLD
64,3193.40,606.48,3,10186.68,HOLD
65,3191.34,3797.82,2,10180.50,SELL
66,3120.70,6918.52,1,10039.22,SELL
67,3192.25,10110.77,0,10110.77,SELL
68,3135.38,10110.77,0,10110.77,HOLD
69,3160.30,10110.77,0,10110.77,HOLD
70,3216.10,10110.77,0,10110.77,HOLD
71,3216.18,6894.59,1,10110.77,BUY
72,3256.68,3637.91,2,10151.27,BUY
73,3263.07,3637.91,2,10164.05,HOLD
74,3288.63,349.28,3,10215.17,BUY
75,3277.66,349.28,3,10182.26,HOLD
76,3250.45,349.28,3,10100.63,HOLD
77,3215.91,349.28,3,9997.01,HOLD
78,3210.90,349.28,3,9981.98,HOLD
