DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,9650.20,0,9650.20,HOLD
1,2149.95,9650.20,0,9650.20,HOLD
2,2204.49,9650.20,0,9650.20,HOLD
3,2258.09,9650.20,0,9650.20,HOLD
4,2172.33,9650.20,0,9650.20,HOLD
5,2154.88,9650.20,0,9650.20,HOLD
6,2214.77,9650.20,0,9650.20,HOLD
7,2191.20,9650.20,0,9650.20,HOLD
8,2059.13,9650.20,0,9650.20,HOLD
9,2005.81,9650.20,0,9650.20,HOLD
10,1898.27,7751.93,1,9650.20,BUY
11,1591.12,9343.05,0,9343.05,SELL
12,1645.28,7697.77,1,9343.05,BUY
13,1685.37,9383.14,0,9383.14,SELL
14,1801.80,9383.14,0,9383.14,HOLD
15,1828.13,9383.14,0,9383.14,HOLD
16,1895.98,7487.16,1,9383.14,BUY
17,1894.29,5592.87,2,9381.45,BUY
18,1905.17,7498.04,1,9403.21,SELL
19,1968.59,9466.63,0,9466.63,SELL
20,1997.94,7468.69,1,9466.63,BUY
21,2059.14,9527.83,0,9527.83,SELL
22,2166.01,9527.83,0,9527.83,HOLD
23,2079.02,9527.83,0,9527.83,HOLD
24,2110.51,9527.83,0,9527.83,HOLD
25,2108.26,9527.83,0,9527.83,HOLD
26,2164.03,9527.83,0,9527.83,HOLD
27,2165.60,7362.23,1,9527.83,BUY
28,2214.28,9576.51,0,9576.51,SELL
29,2237.21,9576.51,0,9576.51,HOLD
30,2269.69,7306.82,1,9576.51,BUY
31,2396.11,9702.93,0,9702.93,SELL
32,2353.17,9702.93,0,9702.93,HOLD
33,2336.98,7365.95,1,9702.93,BUY
34,2341.29,9707.24,0,9707.24,SELL
35,2369.12,7338.12,1,9707.24,BUY
36,2429.94,9768.06,0,9768.06,SELL
37,2287.44,9768.06,0,9768.06,HOLD
38,2327.83,9768.06,0,9768.06,HOLD
39,2385.87,9768.06,0,9768.06,HOLD
40,2322.06,9768.06,0,9768.06,HOLD
41,2321.23,9768.06,0,9768.06,HOLD
42,2315.30,9768.06,0,9768.06,HOLD
43,2435.59,9768.06,0,9768.06,HOLD
44,2533.34,9768.06,0,9768.06,HOLD
45,2605.03,7163.03,1,9768.06,BUY
46,2611.67,9774.70,0,9774.70,SELL
47,2700.92,9774.70,0,9774.70,HOLD
48,2735.08,7039.62,1,9774.70,BUY
49,2733.64,9773.26,0,9773.26,SELL
50,2809.35,6963.91,1,9773.26,BUY
51,3040.11,6963.91,1,10004.02,HOLD
52,3085.90,3878.01,2,10049.81,BUY
53,3140.60,7018.61,1,10159.21,SELL
54,2962.70,9981.31,0,9981.31,SELL
55,3081.78,9981.31,0,9981.31,HOLD
56,3145.84,9981.31,0,9981.31,HOLD
