DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,7466.30,1,9650.20,BUY
1,2149.95,5316.35,2,9616.25,BUY
2,2204.49,5316.35,2,9725.33,HOLD
3,2258.09,3058.26,3,9832.53,BUY
4,2172.33,3058.26,3,9575.25,HOLD
5,2154.88,5213.14,2,9522.90,SELL
6,2214.77,2998.37,3,9642.68,BUY
7,2191.20,807.17,4,9571.97,BUY
8,2059.13,2866.30,3,9043.69,SELL
9,2005.81,2866.30,3,8883.73,HOLD
10,1898.27,2866.30,3,8561.11,HOLD
11,1591.12,4457.42,2,7639.66,SELL
12,1645.28,2812.14,3,7747.98,BUY
13,1685.37,1126.77,4,7868.25,BUY
14,1801.80,1126.77,4,8333.97,HOLD
15,1828.13,2954.90,3,8439.29,SELL
16,1895.98,4850.88,2,8642.84,SELL
17,1894.29,6745.17,1,8639.46,SELL
18,1905.17,8650.34,0,8650.34,SELL
19,1968.59,8650.34,0,8650.34,HOLD
20,1997.94,8650.34,0,8650.34,HOLD
21,2059.14,8650.34,0,8650.34,HOLD
22,2166.01,8650.34,0,8650.34,HOLD
23,2079.02,6571.32,1,8650.34,BUY
24,2110.51,8681.83,0,8681.83,SELL
25,2108.26,6573.57,1,8681.83,BUY
26,2164.03,6573.57,1,8737.60,HOLD
27,2165.60,4407.97,2,8739.17,BUY
28,2214.28,4407.97,2,8836.53,HOLD
29,2237.21,2170.76,3,8882.39,BUY
30,2269.69,4440.45,2,8979.83,SELL
31,2396.11,6836.56,1,9232.67,SELL
32,2353.17,9189.73,0,9189.73,SELL
33,2336.98,9189.73,0,9189.73,HOLD
34,2341.29,6848.44,1,9189.73,BUY
35,2369.12,4479.32,2,9217.56,BUY
36,2429.94,4479.32,2,9339.20,HOLD
37,2287.44,6766.76,1,9054.20,SELL
38,2327.83,4438.93,2,9094.59,BUY
39,2385.87,6824.80,1,9210.67,SELL
40,2322.06,4502.74,2,9146.86,BUY
41,2321.23,2181.51,3,9145.20,BUY
42,2315.30,2181.51,3,9127.41,HOLD
43,2435.59,4617.10,2,9488.28,SELL
44,2533.34,2083.76,3,9683.78,BUY
45,2605.03,4688.79,2,9898.85,SELL
46,2611.67,2077.12,3,9912.13,BUY
47,2700.92,2077.12,3,10179.88,HOLD
48,2735.08,2077.12,3,10282.36,HOLD
49,2733.64,2077.12,3,10278.04,HOLD
50,2809.35,4886.47,2,10505.17,SELL
51,3040.11,7926.58,1,10966.69,SELL
52,3085.90,7926.58,1,11012.48,HOLD
