DAY,Price,Cash,Shares,PortfolioValue,Action
0,2177.40,7634.90,1,9812.30,BUY
1,2164.27,9799.17,0,9799.17,SELL
2,2232.94,9799.17,0,9799.17,HOLD
3,2238.25,7560.92,1,9799.17,BUY
4,2139.72,7560.92,1,9700.64,HOLD
5,2182.25,7560.92,1,9743.17,HOLD
6,2230.30,9791.22,0,9791.22,SELL
7,2186.72,7604.50,1,9791.22,BUY
8,2049.15,9653.65,0,9653.65,SELL
9,2059.99,9653.65,0,9653.65,HOLD
10,1808.56,9653.65,0,9653.65,HOLD
11,1439.43,9653.65,0,9653.65,HOLD
12,1679.23,9653.65,0,9653.65,HOLD
13,1664.13,9653.65,0,9653.65,HOLD
14,1818.30,9653.65,0,9653.65,HOLD
15,1893.19,7760.46,1,9653.65,BUY
16,1880.71,9641.17,0,9641.17,SELL
17,1902.55,9641.17,0,9641.17,HOLD
18,1897.24,9641.17,0,9641.17,HOLD
19,1972.12,9641.17,0,9641.17,HOLD
20,2019.82,9641.17,0,9641.17,HOLD
21,2107.69,9641.17,0,9641.17,HOLD
22,2178.12,9641.17,0,9641.17,HOLD
23,2105.26,9641.17,0,9641.17,HOLD
24,2143.91,9641.17,0,9641.17,HOLD
25,2101.33,9641.17,0,9641.17,HOLD
26,2150.89,7490.28,1,9641.17,BUY
27,2190.66,7490.28,1,9680.94,HOLD
28,2221.62,5268.66,2,9711.90,BUY
29,2252.24,7520.90,1,9773.14,SELL
30,2283.95,7520.90,1,9804.85,HOLD
31,2393.27,5127.63,2,9914.17,BUY
32,2270.85,2856.78,3,9669.33,BUY
33,2344.38,512.40,4,9889.92,BUY
34,2382.23,2894.63,3,10041.32,SELL
35,2388.56,506.07,4,10060.31,BUY
36,2398.69,506.07,4,10100.83,HOLD
37,2268.88,506.07,4,9581.59,HOLD
38,2355.39,506.07,4,9927.63,HOLD
39,2375.54,506.07,4,10008.23,HOLD
40,2356.32,2862.39,3,9931.35,SELL
41,2316.47,5178.86,2,9811.80,SELL
42,2339.95,7518.81,1,9858.76,SELL
43,2459.50,9978.31,0,9978.31,SELL
44,2536.78,9978.31,0,9978.31,HOLD
45,2583.41,7394.90,1,9978.31,BUY
46,2644.53,4750.37,2,10039.43,BUY
47,2703.30,7453.67,1,10156.97,SELL
48,2761.50,10215.17,0,10215.17,SELL
49,2716.28,10215.17,0,10215.17,HOLD
50,2869.11,7346.06,1,10215.17,BUY
51,3096.19,4249.87,2,10442.25,BUY
52,3003.89,7253.76,1,10257.65,SELL
53,3142.80,4110.96,2,10396.56,BUY
54,2947.24,1163.72,3,10005.44,BUY
55,3085.59,1163.72,3,10420.49,HOLD
56,3115.48,1163.72,3,10510.16,HOLD
57,2993.46,1163.72,3,10144.10,HOLD
58,3022.54,1163.72,3,10231.34,HOLD
59,2964.30,1163.72,3,10056.62,HOLD
60,3054.93,1163.72,3,10328.51,HOLD
61,2987.83,1163.72,3,10127.21,HOLD
62,3069.68,1163.72,3,10372.76,HOLD
63,3122.09,1163.72,3,10529.99,HOLD
64,3178.99,1163.72,3,10700.69,HOLD
65,3174.52,4338.24,2,10687.28,SELL
66,3161.06,7499.30,1,10660.36,SELL
67,3179.63,7499.30,1,10678.93,HOLD
68,3131.35,7499.30,1,10630.65,HOLD
69,3137.81,4361.49,2,10637.11,BUY
70,3179.87,7541.36,1,10721.23,SELL
71,3233.40,10774.76,0,10774.76,SELL
72,3238.51,10774.76,0,10774.76,HOLD
73,3225.56,10774.76,0,10774.76,HOLD
74,3291.30,10774.76,0,10774.76,HOLD
75,3285.29,7489.47,1,10774.76,BUY
76,3227.51,7489.47,1,10716.98,HOLD
77,3236.39,10725.86,0,10725.86,SELL
78,3224.95,10725.86,0,10725.86,HOLD
79,3194.00,10725.86,0,10725.86,HOLD
80,3251.74,10725.86,0,10725.86,HOLD
81,3134.48,7591.38,1,10725.86,BUY
82,3115.23,4476.15,2,10706.61,BUY
83,3130.30,7606.45,1,10736.75,SELL
84,3176.81,10783.26,0,10783.26,SELL
85,3137.32,10783.26,0,10783.26,HOLD
86,3119.40,7663.86,1,10783.26,BUY
87,3015.01,7663.86,1,10678.87,HOLD
88,2901.51,7663.86,1,10565.37,HOLD
89,3014.19,10678.05,0,10678.05,SELL
90,3030.53,10678.05,0,10678.05,HOLD
91,2995.58,7682.47,1,10678.05,BUY
92,2949.17,10631.64,0,10631.64,SELL
93,2985.34,7646.30,1,10631.64,BUY
94,2992.14,4654.16,2,10638.44,BUY
95,2822.73,4654.16,2,10299.62,HOLD
96,2960.90,4654.16,2,10575.96,HOLD
97,2976.16,7630.32,1,10606.48,SELL
98,2955.90,4674.42,2,10586.22,BUY
99,2991.55,4674.42,2,10657.52,HOLD
100,2936.73,7611.15,1,10547.88,SELL
101,2950.31,7611.15,1,10561.46,HOLD
102,2832.18,4778.97,2,10443.33,BUY
103,2708.10,7487.07,1,10195.17,SELL
104,2718.94,4768.13,2,10206.01,BUY
105,2688.24,4768.13,2,10144.61,HOLD
106,2694.90,4768.13,2,10157.93,HOLD
107,2658.25,7426.38,1,10084.63,SELL
108,2605.81,4820.57,2,10032.19,BUY
109,2630.03,2190.54,3,10080.63,BUY
110,2720.83,4911.37,2,10353.03,SELL
111,2740.02,4911.37,2,10391.41,HOLD
112,2730.66,2180.71,3,10372.69,BUY
113,2672.60,2180.71,3,10198.51,HOLD
114,2702.84,2180.71,3,10289.23,HOLD
115,2615.50,2180.71,3,10027.21,HOLD
116,2667.23,2180.71,3,10182.40,HOLD
117,2546.80,2180.71,3,9821.11,HOLD
118,2568.54,4749.25,2,9886.33,SELL
119,2602.01,4749.25,2,9953.27,HOLD
120,2663.00,2086.25,3,10075.25,BUY
121,2504.51,4590.76,2,9599.78,SELL
122,2372.35,2218.41,3,9335.46,BUY
123,2365.86,2218.41,3,9315.99,HOLD
124,2276.63,2218.41,3,9048.30,HOLD
125,2337.82,2218.41,3,9231.87,HOLD
126,2344.12,2218.41,3,9250.77,HOLD
127,2385.65,2218.41,3,9375.36,HOLD
128,2437.13,2218.41,3,9529.80,HOLD
129,2477.76,2218.41,3,9651.69,HOLD
130,2532.20,4750.61,2,9815.01,SELL
131,2431.83,4750.61,2,9614.27,HOLD
132,2433.48,2317.13,3,9617.57,BUY
133,2399.26,2317.13,3,9514.91,HOLD
134,2401.83,2317.13,3,9522.62,HOLD
135,2309.10,8.03,4,9244.43,BUY
136,2170.14,2178.17,3,8688.59,SELL
137,2215.08,2178.17,3,8823.41,HOLD
138,2177.66,4355.83,2,8711.15,SELL
139,2229.85,2125.98,3,8815.53,BUY
140,2273.73,4399.71,2,8947.17,SELL
141,2354.22,4399.71,2,9108.15,HOLD
142,2470.60,4399.71,2,9340.91,HOLD
143,2409.36,1990.35,3,9218.43,BUY
144,2401.95,1990.35,3,9196.20,HOLD
145,2413.05,4403.40,2,9229.50,SELL
146,2368.47,2034.93,3,9140.34,BUY
147,2342.28,2034.93,3,9061.77,HOLD
148,2304.20,4339.13,2,8947.53,SELL
149,2180.67,6519.80,1,8700.47,SELL
150,2344.18,8863.98,0,8863.98,SELL
151,2374.65,6489.33,1,8863.98,BUY
152,2426.40,4062.93,2,8915.73,BUY
153,2454.60,4062.93,2,8972.13,HOLD
154,2466.61,4062.93,2,8996.15,HOLD
155,2442.07,6505.00,1,8947.07,SELL
156,2422.62,4082.38,2,8927.62,BUY
157,2423.08,6505.46,1,8928.54,SELL
158,2383.19,4122.27,2,8888.65,BUY
159,2382.80,1739.47,3,8887.87,BUY
160,2399.49,1739.47,3,8937.94,HOLD
161,2456.54,1739.47,3,9109.09,HOLD
162,2473.89,1739.47,3,9161.14,HOLD
163,2560.53,1739.47,3,9421.06,HOLD
164,2532.32,4271.79,2,9336.43,SELL
165,2489.58,6761.37,1,9250.95,SELL
166,2495.63,6761.37,1,9257.00,HOLD
167,2474.90,9236.27,0,9236.27,SELL
168,2561.10,9236.27,0,9236.27,HOLD
169,2575.98,6660.29,1,9236.27,BUY
170,2595.33,6660.29,1,9255.62,HOLD
171,2602.52,4057.77,2,9262.81,BUY
172,2575.65,1482.12,3,9209.07,BUY
