DAY,Price,Cash,Shares,PortfolioValue,Action
0,8943.50,37156.20,0,37156.20,HOLD
1,9193.06,27963.14,1,37156.20,BUY
2,9350.20,27963.14,1,37313.34,HOLD
3,9182.33,18780.81,2,37145.47,BUY
4,9374.05,18780.81,2,37528.91,HOLD
5,9617.21,9163.60,3,38015.23,BUY
6,9777.10,9163.60,3,38494.90,HOLD
7,8927.80,235.80,4,35947.00,BUY
8,8757.66,235.80,4,35266.44,HOLD
9,7850.94,235.80,4,31639.56,HOLD
10,6686.36,235.80,4,26981.24,HOLD
11,7276.40,235.80,4,29341.40,HOLD
12,7301.98,235.80,4,29443.72,HOLD
13,7901.94,235.80,4,31843.56,HOLD
14,8393.27,235.80,4,33808.88,HOLD
15,8475.20,235.80,4,34136.60,HOLD
16,8825.83,9061.63,3,35539.12,SELL
17,8932.85,128.78,4,35860.18,BUY
18,8705.25,128.78,4,34949.78,HOLD
19,9254.85,128.78,4,37148.18,HOLD
20,9324.73,128.78,4,37427.70,HOLD
21,9685.35,128.78,4,38870.18,HOLD
22,9413.62,9542.40,3,37783.26,SELL
23,9872.94,9542.40,3,39161.22,HOLD
24,9749.07,9542.40,3,38789.61,HOLD
25,10354.98,9542.40,3,40607.34,HOLD
26,10368.04,9542.40,3,40646.52,HOLD
27,10488.04,9542.40,3,41006.52,HOLD
28,10399.86,9542.40,3,40741.98,HOLD
29,10831.15,9542.40,3,42035.85,HOLD
30,10849.46,9542.40,3,42090.78,HOLD
31,11080.30,9542.40,3,42783.30,HOLD
32,11297.53,20839.93,2,43434.99,SELL
33,11697.42,20839.93,2,44234.77,HOLD
34,10837.20,10002.73,3,42514.33,BUY
35,11127.98,10002.73,3,43386.67,HOLD
36,10737.52,10002.73,3,42215.29,HOLD
37,11065.63,10002.73,3,43199.62,HOLD
38,11124.45,10002.73,3,43376.08,HOLD
39,11821.83,10002.73,3,45468.22,HOLD
40,11471.24,10002.73,3,44416.45,HOLD
41,11361.86,10002.73,3,44088.31,HOLD
42,11004.84,21007.57,2,43017.25,SELL
43,11424.61,9582.96,3,43856.79,BUY
44,11852.41,9582.96,3,45140.19,HOLD
45,11863.45,9582.96,3,45173.31,HOLD
46,12217.35,21800.31,2,46235.01,SELL
47,12290.78,21800.31,2,46381.87,HOLD
48,12566.38,21800.31,2,46933.07,HOLD
49,12758.67,9041.64,3,47317.65,BUY
50,12821.23,9041.64,3,47505.33,HOLD
51,13036.55,9041.64,3,48151.29,HOLD
52,12949.76,9041.64,3,47890.92,HOLD
53,13368.68,9041.64,3,49147.68,HOLD
54,13132.47,9041.64,3,48439.05,HOLD
55,13894.15,9041.64,3,50724.09,HOLD
56,13995.45,9041.64,3,51027.99,HOLD
57,13003.98,9041.64,3,48053.58,HOLD
58,13352.00,9041.64,3,49097.64,HOLD
59,12882.49,21924.13,2,47689.11,SELL
60,13397.08,21924.13,2,48718.29,HOLD
61,13202.43,8721.70,3,48328.99,BUY
62,12922.57,8721.70,3,47489.41,HOLD
63,13653.58,8721.70,3,49682.44,HOLD
64,13839.04,8721.70,3,50238.82,HOLD
65,13706.86,8721.70,3,49842.28,HOLD
66,14034.70,8721.70,3,50825.80,HOLD
67,13553.93,8721.70,3,49383.49,HOLD
68,13002.53,21724.23,2,47729.29,SELL
69,13072.23,8652.00,3,47868.69,BUY
