DAY,Price,Cash,Shares,PortfolioValue,Action
0,8909.19,37110.90,0,37110.90,HOLD
1,9042.55,37110.90,0,37110.90,HOLD
2,9226.49,27884.41,1,37110.90,BUY
3,9375.13,37259.54,0,37259.54,SELL
4,9249.04,37259.54,0,37259.54,HOLD
5,9454.93,37259.54,0,37259.54,HOLD
6,9666.68,37259.54,0,37259.54,HOLD
7,9636.94,37259.54,0,37259.54,HOLD
8,8562.05,37259.54,0,37259.54,HOLD
9,8677.39,37259.54,0,37259.54,HOLD
10,7194.67,30064.87,1,37259.54,BUY
11,6858.38,23206.49,2,36923.25,BUY
12,7462.21,15744.28,3,38130.91,BUY
13,7307.95,23052.23,2,37668.13,SELL
14,8072.32,31124.55,1,39196.87,SELL
15,8531.69,22592.86,2,39656.24,BUY
16,8464.42,22592.86,2,39521.70,HOLD
17,8566.84,31159.70,1,39726.54,SELL
18,9018.21,31159.70,1,40177.91,HOLD
19,8821.38,39981.08,0,39981.08,SELL
20,9239.41,39981.08,0,39981.08,HOLD
21,9462.32,39981.08,0,39981.08,HOLD
22,9780.61,39981.08,0,39981.08,HOLD
23,9403.00,39981.08,0,39981.08,HOLD
24,9916.60,39981.08,0,39981.08,HOLD
25,9663.61,39981.08,0,39981.08,HOLD
26,10337.98,39981.08,0,39981.08,HOLD
27,10182.46,39981.08,0,39981.08,HOLD
28,10650.46,39981.08,0,39981.08,HOLD
29,10397.87,29583.21,1,39981.08,BUY
30,10852.90,40436.11,0,40436.11,SELL
31,10762.71,40436.11,0,40436.11,HOLD
32,11103.83,29332.28,1,40436.11,BUY
33,11343.04,40675.32,0,40675.32,SELL
34,11794.78,28880.54,1,40675.32,BUY
35,10970.45,39850.99,0,39850.99,SELL
36,11046.43,39850.99,0,39850.99,HOLD
37,10612.92,29238.07,1,39850.99,BUY
38,11092.90,40330.97,0,40330.97,SELL
39,11258.35,40330.97,0,40330.97,HOLD
40,11714.35,40330.97,0,40330.97,HOLD
41,11476.08,28854.89,1,40330.97,BUY
42,10999.07,28854.89,1,39853.96,HOLD
43,11394.21,17460.68,2,40249.10,BUY
44,11638.90,29099.58,1,40738.48,SELL
45,11799.96,40899.54,0,40899.54,SELL
46,12020.95,40899.54,0,40899.54,HOLD
47,12356.99,40899.54,0,40899.54,HOLD
48,12214.74,40899.54,0,40899.54,HOLD
49,12696.35,40899.54,0,40899.54,HOLD
50,12767.64,28131.90,1,40899.54,BUY
51,12543.24,40675.14,0,40675.14,SELL
52,12999.51,40675.14,0,40675.14,HOLD
53,13078.70,40675.14,0,40675.14,HOLD
54,13603.19,40675.14,0,40675.14,HOLD
55,13535.86,27139.28,1,40675.14,BUY
56,13966.55,41105.83,0,41105.83,SELL
57,13804.26,41105.83,0,41105.83,HOLD
58,13286.59,27819.24,1,41105.83,BUY
59,12995.07,40814.31,0,40814.31,SELL
60,13035.44,27778.87,1,40814.31,BUY
61,13272.69,27778.87,1,41051.56,HOLD
62,12961.35,40740.22,0,40740.22,SELL
63,13118.38,40740.22,0,40740.22,HOLD
64,13758.71,40740.22,0,40740.22,HOLD
65,13970.42,40740.22,0,40740.22,HOLD
66,13771.04,26969.18,1,40740.22,BUY
67,13952.80,40921.98,0,40921.98,SELL
68,13439.39,40921.98,0,40921.98,HOLD
69,13007.24,27914.74,1,40921.98,BUY
70,13355.71,41270.45,0,41270.45,SELL
71,13701.62,41270.45,0,41270.45,HOLD
72,13692.01,41270.45,0,41270.45,HOLD
73,14006.59,41270.45,0,41270.45,HOLD
74,14009.03,41270.45,0,41270.45,HOLD
75,14337.65,41270.45,0,41270.45,HOLD
76,14555.33,41270.45,0,41270.45,HOLD
77,14672.63,41270.45,0,41270.45,HOLD
78,14178.66,27091.79,1,41270.45,BUY
79,14790.49,41882.28,0,41882.28,SELL
80,14665.67,27216.61,1,41882.28,BUY
81,14802.69,42019.30,0,42019.30,SELL
82,14610.02,42019.30,0,42019.30,HOLD
83,14776.98,42019.30,0,42019.30,HOLD
84,15165.12,26854.18,1,42019.30,BUY
85,15343.28,42197.46,0,42197.46,SELL
86,15008.30,42197.46,0,42197.46,HOLD
87,14696.47,42197.46,0,42197.46,HOLD
88,14539.88,42197.46,0,42197.46,HOLD
89,14299.78,42197.46,0,42197.46,HOLD
90,14441.60,42197.46,0,42197.46,HOLD
91,15049.73,42197.46,0,42197.46,HOLD
92,15198.23,42197.46,0,42197.46,HOLD
93,15569.27,26628.19,1,42197.46,BUY
94,15836.68,42464.87,0,42464.87,SELL
95,15825.00,42464.87,0,42464.87,HOLD
96,15601.46,42464.87,0,42464.87,HOLD
97,15243.93,42464.87,0,42464.87,HOLD
98,15618.88,42464.87,0,42464.87,HOLD
99,15055.23,42464.87,0,42464.87,HOLD
100,15303.06,42464.87,0,42464.87,HOLD
101,15729.16,42464.87,0,42464.87,HOLD
102,14914.87,27550.00,1,42464.87,BUY
103,14782.24,42332.24,0,42332.24,SELL
104,13764.24,42332.24,0,42332.24,HOLD
105,13236.56,42332.24,0,42332.24,HOLD
106,13850.39,42332.24,0,42332.24,HOLD
107,13733.16,28599.08,1,42332.24,BUY
108,13465.56,15133.52,2,42064.64,BUY
109,13549.90,15133.52,2,42233.32,HOLD
110,12828.02,27961.54,1,40789.56,SELL
111,12555.35,40516.89,0,40516.89,SELL
112,13682.55,40516.89,0,40516.89,HOLD
113,14101.34,26415.55,1,40516.89,BUY
114,14286.45,26415.55,1,40702.00,HOLD
115,13401.39,39816.94,0,39816.94,SELL
116,13281.22,26535.72,1,39816.94,BUY
117,12490.74,14044.98,2,39026.46,BUY
118,12460.99,26505.97,1,38966.96,SELL
119,11566.28,38072.25,0,38072.25,SELL
120,11754.28,38072.25,0,38072.25,HOLD
121,11092.48,38072.25,0,38072.25,HOLD
122,11901.43,38072.25,0,38072.25,HOLD
123,12052.70,38072.25,0,38072.25,HOLD
124,10866.39,38072.25,0,38072.25,HOLD
125,11046.28,38072.25,0,38072.25,HOLD
126,10850.01,38072.25,0,38072.25,HOLD
127,11479.77,38072.25,0,38072.25,HOLD
128,11295.33,38072.25,0,38072.25,HOLD
129,11767.19,38072.25,0,38072.25,HOLD
130,12181.13,38072.25,0,38072.25,HOLD
131,12525.77,38072.25,0,38072.25,HOLD
132,12821.22,25251.03,1,38072.25,BUY
133,12674.87,37925.90,0,37925.90,SELL
134,12141.52,25784.38,1,37925.90,BUY
135,11573.51,37357.89,0,37357.89,SELL
136,12169.28,37357.89,0,37357.89,HOLD
137,11337.83,37357.89,0,37357.89,HOLD
138,10789.05,37357.89,0,37357.89,HOLD
139,10577.89,26780.00,1,37357.89,BUY
140,10449.04,37229.04,0,37229.04,SELL
141,10569.69,26659.35,1,37229.04,BUY
142,10713.33,15946.02,2,37372.68,BUY
143,10914.00,26860.02,1,37774.02,SELL
144,10428.91,37288.93,0,37288.93,SELL
145,11167.17,37288.93,0,37288.93,HOLD
146,10999.75,37288.93,0,37288.93,HOLD
147,10944.37,37288.93,0,37288.93,HOLD
148,10956.20,37288.93,0,37288.93,HOLD
149,11160.54,37288.93,0,37288.93,HOLD
150,10446.82,26842.11,1,37288.93,BUY
151,10207.47,37049.58,0,37049.58,SELL
152,10295.25,37049.58,0,37049.58,HOLD
153,10797.12,37049.58,0,37049.58,HOLD
154,10885.64,37049.58,0,37049.58,HOLD
155,11470.27,37049.58,0,37049.58,HOLD
156,11946.86,37049.58,0,37049.58,HOLD
157,11630.54,37049.58,0,37049.58,HOLD
158,11673.21,37049.58,0,37049.58,HOLD
159,11444.60,25604.98,1,37049.58,BUY
160,11667.48,25604.98,1,37272.46,HOLD
161,10982.80,36587.78,0,36587.78,SELL
162,11550.69,36587.78,0,36587.78,HOLD
163,11739.05,36587.78,0,36587.78,HOLD
164,12086.52,36587.78,0,36587.78,HOLD
165,12011.40,36587.78,0,36587.78,HOLD
166,12110.23,36587.78,0,36587.78,HOLD
167,11798.77,36587.78,0,36587.78,HOLD
168,12015.22,36587.78,0,36587.78,HOLD
169,12174.06,36587.78,0,36587.78,HOLD
170,12324.52,36587.78,0,36587.78,HOLD
171,12554.43,24033.35,1,36587.78,BUY
172,12889.37,36922.72,0,36922.72,SELL
173,13089.48,23833.24,1,36922.72,BUY
174,13455.99,10377.25,2,37289.23,BUY
175,13441.56,10377.25,2,37260.37,HOLD
176,13540.26,23917.51,1,37457.77,SELL
177,13656.74,37574.25,0,37574.25,SELL
178,14081.96,37574.25,0,37574.25,HOLD
179,14020.45,37574.25,0,37574.25,HOLD
180,14188.10,37574.25,0,37574.25,HOLD
181,13897.93,23676.32,1,37574.25,BUY
182,13609.98,37286.30,0,37286.30,SELL
183,13161.76,37286.30,0,37286.30,HOLD
184,13376.34,23909.96,1,37286.30,BUY
185,13982.42,9927.54,2,37892.38,BUY
186,13805.13,23732.67,1,37537.80,SELL
187,13663.46,37396.13,0,37396.13,SELL
