DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,29913.53,1,38826.30,BUY
1,9059.38,29913.53,1,38972.91,HOLD
2,9231.14,39144.67,0,39144.67,SELL
3,9334.13,39144.67,0,39144.67,HOLD
4,9185.18,29959.49,1,39144.67,BUY
5,9505.68,29959.49,1,39465.17,HOLD
6,9650.02,39609.51,0,39609.51,SELL
7,9542.33,39609.51,0,39609.51,HOLD
8,8264.16,39609.51,0,39609.51,HOLD
9,8375.13,39609.51,0,39609.51,HOLD
10,7219.09,39609.51,0,39609.51,HOLD
11,6854.67,39609.51,0,39609.51,HOLD
12,7491.14,39609.51,0,39609.51,HOLD
13,7288.11,39609.51,0,39609.51,HOLD
14,8035.95,39609.51,0,39609.51,HOLD
15,8553.38,39609.51,0,39609.51,HOLD
16,8697.37,39609.51,0,39609.51,HOLD
17,8537.83,31071.68,1,39609.51,BUY
18,9053.17,40124.85,0,40124.85,SELL
19,9154.35,30970.50,1,40124.85,BUY
20,9333.16,21637.34,2,40303.66,BUY
21,9472.08,31109.42,1,40581.50,SELL
22,9863.27,40972.69,0,40972.69,SELL
23,9748.38,40972.69,0,40972.69,HOLD
24,10112.44,40972.69,0,40972.69,HOLD
25,9863.67,31109.02,1,40972.69,BUY
26,10350.96,41459.98,0,41459.98,SELL
27,10420.54,41459.98,0,41459.98,HOLD
28,10627.45,41459.98,0,41459.98,HOLD
29,10464.00,41459.98,0,41459.98,HOLD
30,10943.72,41459.98,0,41459.98,HOLD
31,10877.16,41459.98,0,41459.98,HOLD
32,11132.10,41459.98,0,41459.98,HOLD
33,11507.46,29952.52,1,41459.98,BUY
34,11836.18,41788.70,0,41788.70,SELL
35,10875.02,41788.70,0,41788.70,HOLD
36,10783.81,41788.70,0,41788.70,HOLD
37,10520.22,41788.70,0,41788.70,HOLD
38,11240.53,41788.70,0,41788.70,HOLD
39,11384.33,41788.70,0,41788.70,HOLD
40,11559.10,41788.70,0,41788.70,HOLD
41,11369.29,41788.70,0,41788.70,HOLD
42,11030.19,41788.70,0,41788.70,HOLD
43,11784.15,30004.55,1,41788.70,BUY
44,11666.37,41670.92,0,41670.92,SELL
45,11760.98,41670.92,0,41670.92,HOLD
46,12154.57,29516.35,1,41670.92,BUY
47,12376.44,41892.79,0,41892.79,SELL
48,12246.77,41892.79,0,41892.79,HOLD
49,12654.60,41892.79,0,41892.79,HOLD
50,12827.44,41892.79,0,41892.79,HOLD
51,12665.65,41892.79,0,41892.79,HOLD
52,12963.92,41892.79,0,41892.79,HOLD
53,13329.77,41892.79,0,41892.79,HOLD
54,13192.91,41892.79,0,41892.79,HOLD
55,13585.34,41892.79,0,41892.79,HOLD
56,13845.47,28047.32,1,41892.79,BUY
57,13714.35,41761.67,0,41761.67,SELL
58,13066.38,41761.67,0,41761.67,HOLD
59,12553.96,41761.67,0,41761.67,HOLD
60,13246.33,41761.67,0,41761.67,HOLD
61,13101.92,41761.67,0,41761.67,HOLD
62,12786.81,41761.67,0,41761.67,HOLD
63,13404.18,28357.49,1,41761.67,BUY
64,13748.35,42105.84,0,42105.84,SELL
65,13977.05,42105.84,0,42105.84,HOLD
66,13856.83,42105.84,0,42105.84,HOLD
67,13941.63,42105.84,0,42105.84,HOLD
68,13690.75,42105.84,0,42105.84,HOLD
69,13242.97,42105.84,0,42105.84,HOLD
70,13463.26,42105.84,0,42105.84,HOLD
71,13747.61,42105.84,0,42105.84,HOLD
72,13784.89,42105.84,0,42105.84,HOLD
73,14056.67,28049.17,1,42105.84,BUY
74,13960.04,42009.21,0,42009.21,SELL
75,14417.20,42009.21,0,42009.21,HOLD
76,14529.80,42009.21,0,42009.21,HOLD
77,14660.19,42009.21,0,42009.21,HOLD
78,14271.23,27737.98,1,42009.21,BUY
79,14503.76,42241.74,0,42241.74,SELL
80,14584.09,27657.65,1,42241.74,BUY
81,14754.48,27657.65,1,42412.13,HOLD
82,14550.88,42208.53,0,42208.53,SELL
83,14965.54,42208.53,0,42208.53,HOLD
84,15202.67,42208.53,0,42208.53,HOLD
85,15206.61,42208.53,0,42208.53,HOLD
86,14984.68,27223.85,1,42208.53,BUY
87,14767.01,41990.86,0,41990.86,SELL
88,14493.67,41990.86,0,41990.86,HOLD
89,14259.07,41990.86,0,41990.86,HOLD
90,14471.88,41990.86,0,41990.86,HOLD
91,15071.15,41990.86,0,41990.86,HOLD
92,15235.84,41990.86,0,41990.86,HOLD
93,15616.44,41990.86,0,41990.86,HOLD
94,15543.68,41990.86,0,41990.86,HOLD
95,15909.39,26081.47,1,41990.86,BUY
96,15591.36,41672.83,0,41672.83,SELL
97,15150.12,41672.83,0,41672.83,HOLD
98,15511.12,41672.83,0,41672.83,HOLD
99,15119.49,26553.34,1,41672.83,BUY
100,15528.91,42082.25,0,42082.25,SELL
101,15643.93,42082.25,0,42082.25,HOLD
102,14877.63,27204.62,1,42082.25,BUY
103,14689.43,12515.19,2,41894.05,BUY
104,13094.65,25609.84,1,38704.49,SELL
105,13767.71,39377.55,0,39377.55,SELL
106,13974.10,39377.55,0,39377.55,HOLD
107,13664.76,39377.55,0,39377.55,HOLD
108,13249.65,39377.55,0,39377.55,HOLD
109,13441.32,39377.55,0,39377.55,HOLD
110,12670.08,39377.55,0,39377.55,HOLD
111,12616.59,39377.55,0,39377.55,HOLD
112,13857.29,39377.55,0,39377.55,HOLD
113,14419.40,39377.55,0,39377.55,HOLD
114,14169.12,39377.55,0,39377.55,HOLD
115,13317.74,39377.55,0,39377.55,HOLD
116,13426.12,39377.55,0,39377.55,HOLD
117,12430.90,39377.55,0,39377.55,HOLD
118,12367.02,39377.55,0,39377.55,HOLD
119,11339.18,39377.55,0,39377.55,HOLD
120,11381.69,27995.86,1,39377.55,BUY
121,11211.85,39207.71,0,39207.71,SELL
122,11901.45,27306.26,1,39207.71,BUY
123,11751.98,15554.28,2,39058.24,BUY
124,10565.14,26119.42,1,36684.56,SELL
125,11337.78,37457.20,0,37457.20,SELL
126,10922.71,37457.20,0,37457.20,HOLD
127,11348.06,26109.14,1,37457.20,BUY
128,11322.84,37431.98,0,37431.98,SELL
129,11707.53,37431.98,0,37431.98,HOLD
130,12271.98,37431.98,0,37431.98,HOLD
131,12597.75,24834.23,1,37431.98,BUY
132,12993.78,24834.23,1,37828.01,HOLD
133,12353.73,12480.50,2,37187.96,BUY
134,11981.42,24461.92,1,36443.34,SELL
135,11471.50,35933.42,0,35933.42,SELL
136,11604.43,35933.42,0,35933.42,HOLD
137,11343.72,35933.42,0,35933.42,HOLD
138,10741.02,35933.42,0,35933.42,HOLD
139,11044.04,35933.42,0,35933.42,HOLD
140,10351.98,35933.42,0,35933.42,HOLD
141,10670.12,35933.42,0,35933.42,HOLD
142,10996.97,35933.42,0,35933.42,HOLD
143,10881.19,25052.23,1,35933.42,BUY
144,10472.73,35524.96,0,35524.96,SELL
145,11241.15,35524.96,0,35524.96,HOLD
146,10975.66,35524.96,0,35524.96,HOLD
147,10966.53,35524.96,0,35524.96,HOLD
148,10910.62,35524.96,0,35524.96,HOLD
149,11065.24,35524.96,0,35524.96,HOLD
150,10569.20,35524.96,0,35524.96,HOLD
151,10301.06,35524.96,0,35524.96,HOLD
152,10265.04,35524.96,0,35524.96,HOLD
153,10900.16,35524.96,0,35524.96,HOLD
154,11144.03,35524.96,0,35524.96,HOLD
155,11388.54,35524.96,0,35524.96,HOLD
156,11843.49,35524.96,0,35524.96,HOLD
157,11719.73,23805.23,1,35524.96,BUY
158,11491.18,35296.41,0,35296.41,SELL
159,11435.39,35296.41,0,35296.41,HOLD
160,11512.03,35296.41,0,35296.41,HOLD
161,11284.93,24011.48,1,35296.41,BUY
162,11724.91,35736.39,0,35736.39,SELL
163,11635.03,35736.39,0,35736.39,HOLD
164,12081.81,35736.39,0,35736.39,HOLD
165,11916.54,35736.39,0,35736.39,HOLD
166,12060.17,35736.39,0,35736.39,HOLD
167,11833.07,23903.32,1,35736.39,BUY
168,12022.46,11880.86,2,35925.78,BUY
169,12180.86,11880.86,2,36242.58,HOLD
170,12335.02,24215.88,1,36550.90,SELL
171,12415.85,36631.73,0,36631.73,SELL
172,12903.63,36631.73,0,36631.73,HOLD
173,13101.18,23530.55,1,36631.73,BUY
174,13561.37,37091.92,0,37091.92,SELL
175,13442.65,37091.92,0,37091.92,HOLD
176,13716.16,23375.76,1,37091.92,BUY
177,13584.87,36960.63,0,36960.63,SELL
178,14138.00,22822.63,1,36960.63,BUY
179,13997.13,36819.76,0,36819.76,SELL
