DAY,Price,Cash,Shares,PortfolioValue,Action
0,27675.24,169335.20,0,169335.20,HOLD
1,28165.13,169335.20,0,169335.20,HOLD
2,28264.07,169335.20,0,169335.20,HOLD
3,28790.49,169335.20,0,169335.20,HOLD
4,27980.50,169335.20,0,169335.20,HOLD
5,26330.05,169335.20,0,169335.20,HOLD
6,27029.49,169335.20,0,169335.20,HOLD
7,27695.60,169335.20,0,169335.20,HOLD
8,27383.13,169335.20,0,169335.20,HOLD
9,26419.97,169335.20,0,169335.20,HOLD
10,26315.36,169335.20,0,169335.20,HOLD
11,24117.94,169335.20,0,169335.20,HOLD
12,21139.26,169335.20,0,169335.20,HOLD
13,23163.67,169335.20,0,169335.20,HOLD
14,22756.13,169335.20,0,169335.20,HOLD
15,24045.18,169335.20,0,169335.20,HOLD
16,24225.55,169335.20,0,169335.20,HOLD
17,24030.54,169335.20,0,169335.20,HOLD
18,23868.02,169335.20,0,169335.20,HOLD
19,23979.37,169335.20,0,169335.20,HOLD
20,24315.75,169335.20,0,169335.20,HOLD
21,23134.61,169335.20,0,169335.20,HOLD
22,24219.96,169335.20,0,169335.20,HOLD
23,24968.30,169335.20,0,169335.20,HOLD
24,24195.82,169335.20,0,169335.20,HOLD
25,24770.95,169335.20,0,169335.20,HOLD
26,25182.60,169335.20,0,169335.20,HOLD
27,25570.36,169335.20,0,169335.20,HOLD
28,25015.28,169335.20,0,169335.20,HOLD
29,24598.46,169335.20,0,169335.20,HOLD
30,24534.79,169335.20,0,169335.20,HOLD
31,24167.79,169335.20,0,169335.20,HOLD
32,25040.55,169335.20,0,169335.20,HOLD
33,24885.86,169335.20,0,169335.20,HOLD
34,25258.16,169335.20,0,169335.20,HOLD
35,24488.64,169335.20,0,169335.20,HOLD
36,24293.03,169335.20,0,169335.20,HOLD
37,24295.01,169335.20,0,169335.20,HOLD
38,23124.25,169335.20,0,169335.20,HOLD
39,23842.25,169335.20,0,169335.20,HOLD
40,24524.26,169335.20,0,169335.20,HOLD
41,24456.84,169335.20,0,169335.20,HOLD
42,24586.06,169335.20,0,169335.20,HOLD
43,24733.23,169335.20,0,169335.20,HOLD
44,26168.63,169335.20,0,169335.20,HOLD
45,26344.86,169335.20,0,169335.20,HOLD
46,26591.30,169335.20,0,169335.20,HOLD
47,26379.48,169335.20,0,169335.20,HOLD
48,26445.66,169335.20,0,169335.20,HOLD
49,26318.74,169335.20,0,169335.20,HOLD
50,26071.76,169335.20,0,169335.20,HOLD
51,27163.51,169335.20,0,169335.20,HOLD
52,27538.20,169335.20,0,169335.20,HOLD
53,28294.66,169335.20,0,169335.20,HOLD
54,29413.52,169335.20,0,169335.20,HOLD
55,28259.73,169335.20,0,169335.20,HOLD
56,29184.09,169335.20,0,169335.20,HOLD
57,30497.40,169335.20,0,169335.20,HOLD
58,30126.40,169335.20,0,169335.20,HOLD
59,28957.31,169335.20,0,169335.20,HOLD
60,28326.13,169335.20,0,169335.20,HOLD
61,28872.40,169335.20,0,169335.20,HOLD
62,28376.22,169335.20,0,169335.20,HOLD
63,28371.23,169335.20,0,169335.20,HOLD
64,28604.55,169335.20,0,169335.20,HOLD
65,28711.11,169335.20,0,169335.20,HOLD
66,28748.57,169335.20,0,169335.20,HOLD
67,28701.69,169335.20,0,169335.20,HOLD
68,28530.71,169335.20,0,169335.20,HOLD
69,27715.88,169335.20,0,169335.20,HOLD
70,28195.52,169335.20,0,169335.20,HOLD
71,28909.52,169335.20,0,169335.20,HOLD
72,28615.61,169335.20,0,169335.20,HOLD
73,28453.48,169335.20,0,169335.20,HOLD
74,28299.66,169335.20,0,169335.20,HOLD
75,28924.61,169335.20,0,169335.20,HOLD
76,27703.41,169335.20,0,169335.20,HOLD
77,27708.71,169335.20,0,169335.20,HOLD
78,26971.03,169335.20,0,169335.20,HOLD
79,24848.43,169335.20,0,169335.20,HOLD
80,26009.83,169335.20,0,169335.20,HOLD
81,26454.45,169335.20,0,169335.20,HOLD
82,25708.95,169335.20,0,169335.20,HOLD
83,25548.47,169335.20,0,169335.20,HOLD
84,25694.11,169335.20,0,169335.20,HOLD
85,26164.79,169335.20,0,169335.20,HOLD
86,24990.94,169335.20,0,169335.20,HOLD
87,24313.68,169335.20,0,169335.20,HOLD
88,24346.75,169335.20,0,169335.20,HOLD
89,24595.58,169335.20,0,169335.20,HOLD
90,25123.25,169335.20,0,169335.20,HOLD
91,25929.67,169335.20,0,169335.20,HOLD
92,24972.50,169335.20,0,169335.20,HOLD
93,24633.57,169335.20,0,169335.20,HOLD
94,25230.33,169335.20,0,169335.20,HOLD
95,24869.94,169335.20,0,169335.20,HOLD
96,23774.31,169335.20,0,169335.20,HOLD
97,23314.97,169335.20,0,169335.20,HOLD
98,23936.93,169335.20,0,169335.20,HOLD
99,22665.25,169335.20,0,169335.20,HOLD
100,23099.48,169335.20,0,169335.20,HOLD
101,23146.89,169335.20,0,169335.20,HOLD
102,23595.01,169335.20,0,169335.20,HOLD
103,24009.71,169335.20,0,169335.20,HOLD
104,24001.96,169335.20,0,169335.20,HOLD
105,24140.89,169335.20,0,169335.20,HOLD
106,24732.65,169335.20,0,169335.20,HOLD
107,24284.53,169335.20,0,169335.20,HOLD
108,22718.15,169335.20,0,169335.20,HOLD
109,21838.99,169335.20,0,169335.20,HOLD
110,20079.15,169335.20,0,169335.20,HOLD
111,20922.37,169335.20,0,169335.20,HOLD
112,21289.26,169335.20,0,169335.20,HOLD
113,21558.05,169335.20,0,169335.20,HOLD
114,21132.54,169335.20,0,169335.20,HOLD
115,20889.02,169335.20,0,169335.20,HOLD
116,19665.49,169335.20,0,169335.20,HOLD
117,20776.97,169335.20,0,169335.20,HOLD
118,19608.26,169335.20,0,169335.20,HOLD
119,20408.68,169335.20,0,169335.20,HOLD
120,20494.15,169335.20,0,169335.20,HOLD
121,21030.07,169335.20,0,169335.20,HOLD
122,20993.76,169335.20,0,169335.20,HOLD
123,20839.02,169335.20,0,169335.20,HOLD
124,21976.80,169335.20,0,169335.20,HOLD
125,21799.19,169335.20,0,169335.20,HOLD
126,20779.59,169335.20,0,169335.20,HOLD
127,20549.44,169335.20,0,169335.20,HOLD
128,20631.82,169335.20,0,169335.20,HOLD
129,19515.54,169335.20,0,169335.20,HOLD
130,19856.23,169335.20,0,169335.20,HOLD
131,19662.61,169335.20,0,169335.20,HOLD
132,19377.09,169335.20,0,169335.20,HOLD
133,19645.57,169335.20,0,169335.20,HOLD
134,19107.60,169335.20,0,169335.20,HOLD
135,18797.79,169335.20,0,169335.20,HOLD
136,18434.65,169335.20,0,169335.20,HOLD
137,17184.54,169335.20,0,169335.20,HOLD
138,17958.14,169335.20,0,169335.20,HOLD
139,16389.11,169335.20,0,169335.20,HOLD
140,16010.72,169335.20,0,169335.20,HOLD
141,15410.97,169335.20,0,169335.20,HOLD
142,15301.67,169335.20,0,169335.20,HOLD
143,15945.20,169335.20,0,169335.20,HOLD
144,17711.84,169335.20,0,169335.20,HOLD
145,17517.12,169335.20,0,169335.20,HOLD
146,18679.35,169335.20,0,169335.20,HOLD
147,18965.05,169335.20,0,169335.20,HOLD
148,19233.86,169335.20,0,169335.20,HOLD
149,19475.68,169335.20,0,169335.20,HOLD
150,19303.73,169335.20,0,169335.20,HOLD
151,21187.73,169335.20,0,169335.20,HOLD
152,21417.25,169335.20,0,169335.20,HOLD
153,22483.78,169335.20,0,169335.20,HOLD
154,21459.65,169335.20,0,169335.20,HOLD
155,21157.52,169335.20,0,169335.20,HOLD
156,20703.74,169335.20,0,169335.20,HOLD
157,20006.78,169335.20,0,169335.20,HOLD
158,20498.16,169335.20,0,169335.20,HOLD
159,19281.97,169335.20,0,169335.20,HOLD
160,19303.29,169335.20,0,169335.20,HOLD
161,19834.45,169335.20,0,169335.20,HOLD
162,20357.41,169335.20,0,169335.20,HOLD
163,20236.92,169335.20,0,169335.20,HOLD
164,20336.71,169335.20,0,169335.20,HOLD
165,19520.97,169335.20,0,169335.20,HOLD
166,19695.73,169335.20,0,169335.20,HOLD
167,19567.62,169335.20,0,169335.20,HOLD
168,19630.76,169335.20,0,169335.20,HOLD
169,18620.84,169335.20,0,169335.20,HOLD
170,18548.30,169335.20,0,169335.20,HOLD
171,19231.13,169335.20,0,169335.20,HOLD
172,19876.42,169335.20,0,169335.20,HOLD
173,18767.15,169335.20,0,169335.20,HOLD
174,19002.55,169335.20,0,169335.20,HOLD
175,18417.63,169335.20,0,169335.20,HOLD
176,19413.78,169335.20,0,169335.20,HOLD
177,18562.12,169335.20,0,169335.20,HOLD
178,20019.79,169335.20,0,169335.20,HOLD
179,19352.35,169335.20,0,169335.20,HOLD
180,18554.51,169335.20,0,169335.20,HOLD
181,17587.38,169335.20,0,169335.20,HOLD
182,18113.23,169335.20,0,169335.20,HOLD
183,18431.72,169335.20,0,169335.20,HOLD
184,17954.97,169335.20,0,169335.20,HOLD
185,17833.20,169335.20,0,169335.20,HOLD
186,17472.11,169335.20,0,169335.20,HOLD
187,17197.61,169335.20,0,169335.20,HOLD
188,18175.35,169335.20,0,169335.20,HOLD
189,17292.36,169335.20,0,169335.20,HOLD
190,17078.24,152256.96,1,169335.20,BUY
191,17352.60,169609.56,0,169609.56,SELL
192,17177.53,169609.56,0,169609.56,HOLD
193,17413.46,169609.56,0,169609.56,HOLD
194,17545.61,169609.56,0,169609.56,HOLD
195,16830.30,169609.56,0,169609.56,HOLD
196,16249.15,169609.56,0,169609.56,HOLD
197,16610.70,169609.56,0,169609.56,HOLD
198,16271.50,169609.56,0,169609.56,HOLD
199,16564.80,169609.56,0,169609.56,HOLD
200,16036.42,169609.56,0,169609.56,HOLD
201,15194.94,169609.56,0,169609.56,HOLD
202,15412.10,169609.56,0,169609.56,HOLD
203,15411.66,169609.56,0,169609.56,HOLD
204,16035.43,169609.56,0,169609.56,HOLD
205,15937.28,169609.56,0,169609.56,HOLD
206,16654.68,169609.56,0,169609.56,HOLD
207,16321.12,169609.56,0,169609.56,HOLD
208,16275.39,169609.56,0,169609.56,HOLD
209,16550.42,169609.56,0,169609.56,HOLD
210,16341.61,169609.56,0,169609.56,HOLD
211,16811.74,169609.56,0,169609.56,HOLD
212,16918.36,169609.56,0,169609.56,HOLD
213,16155.83,169609.56,0,169609.56,HOLD
214,16934.65,169609.56,0,169609.56,HOLD
215,17740.62,169609.56,0,169609.56,HOLD
216,18278.11,169609.56,0,169609.56,HOLD
217,19342.96,169609.56,0,169609.56,HOLD
218,18532.41,169609.56,0,169609.56,HOLD
219,18077.39,169609.56,0,169609.56,HOLD
220,18302.33,169609.56,0,169609.56,HOLD
221,17752.96,169609.56,0,169609.56,HOLD
222,17789.57,169609.56,0,169609.56,HOLD
223,17669.42,169609.56,0,169609.56,HOLD
224,17376.48,169609.56,0,169609.56,HOLD
225,17727.98,169609.56,0,169609.56,HOLD
226,17451.86,169609.56,0,169609.56,HOLD
227,16971.60,169609.56,0,169609.56,HOLD
228,16611.14,169609.56,0,169609.56,HOLD
229,17074.69,169609.56,0,169609.56,HOLD
230,17449.99,169609.56,0,169609.56,HOLD
231,17624.42,169609.56,0,169609.56,HOLD
232,17583.70,169609.56,0,169609.56,HOLD
233,16964.28,169609.56,0,169609.56,HOLD
234,17602.45,169609.56,0,169609.56,HOLD
235,19176.58,169609.56,0,169609.56,HOLD
236,21824.68,169609.56,0,169609.56,HOLD
237,20693.75,169609.56,0,169609.56,HOLD
238,20423.09,169609.56,0,169609.56,HOLD
239,20428.94,169609.56,0,169609.56,HOLD
240,20446.26,169609.56,0,169609.56,HOLD
241,20151.38,169609.56,0,169609.56,HOLD
242,19470.43,169609.56,0,169609.56,HOLD
243,19102.06,169609.56,0,169609.56,HOLD
244,19387.20,169609.56,0,169609.56,HOLD
245,19695.51,169609.56,0,169609.56,HOLD
246,19726.15,169609.56,0,169609.56,HOLD
247,19746.46,169609.56,0,169609.56,HOLD
