DAY,Price,Cash,Shares,PortfolioValue,Action
0,27740.66,156884.90,0,156884.90,HOLD
1,28123.86,156884.90,0,156884.90,HOLD
2,27857.73,156884.90,0,156884.90,HOLD
3,28619.10,156884.90,0,156884.90,HOLD
4,27937.68,156884.90,0,156884.90,HOLD
5,26295.49,156884.90,0,156884.90,HOLD
6,27224.12,129660.78,1,156884.90,BUY
7,27695.59,157356.37,0,157356.37,SELL
8,27264.78,157356.37,0,157356.37,HOLD
9,25989.41,157356.37,0,157356.37,HOLD
10,26084.23,157356.37,0,157356.37,HOLD
11,22519.32,157356.37,0,157356.37,HOLD
12,22147.34,157356.37,0,157356.37,HOLD
13,23354.01,157356.37,0,157356.37,HOLD
14,23030.58,157356.37,0,157356.37,HOLD
15,24283.13,157356.37,0,157356.37,HOLD
16,23676.13,157356.37,0,157356.37,HOLD
17,24176.88,157356.37,0,157356.37,HOLD
18,23913.50,157356.37,0,157356.37,HOLD
19,23790.27,157356.37,0,157356.37,HOLD
20,24208.16,157356.37,0,157356.37,HOLD
21,22779.62,157356.37,0,157356.37,HOLD
22,24204.10,157356.37,0,157356.37,HOLD
23,24480.15,157356.37,0,157356.37,HOLD
24,24121.89,157356.37,0,157356.37,HOLD
25,24537.77,157356.37,0,157356.37,HOLD
26,25543.15,157356.37,0,157356.37,HOLD
27,25715.24,157356.37,0,157356.37,HOLD
28,24766.17,157356.37,0,157356.37,HOLD
29,24526.91,157356.37,0,157356.37,HOLD
30,24250.98,157356.37,0,157356.37,HOLD
31,24272.67,157356.37,0,157356.37,HOLD
32,25163.29,157356.37,0,157356.37,HOLD
33,25325.15,157356.37,0,157356.37,HOLD
34,25177.05,157356.37,0,157356.37,HOLD
35,24475.61,157356.37,0,157356.37,HOLD
36,24556.52,157356.37,0,157356.37,HOLD
37,23928.02,157356.37,0,157356.37,HOLD
38,23250.34,157356.37,0,157356.37,HOLD
39,23905.42,157356.37,0,157356.37,HOLD
40,24498.94,157356.37,0,157356.37,HOLD
41,24653.16,157356.37,0,157356.37,HOLD
42,24258.56,157356.37,0,157356.37,HOLD
43,25343.44,157356.37,0,157356.37,HOLD
44,26071.15,157356.37,0,157356.37,HOLD
45,26311.64,157356.37,0,157356.37,HOLD
46,26612.00,157356.37,0,157356.37,HOLD
47,26556.02,157356.37,0,157356.37,HOLD
48,26287.02,157356.37,0,157356.37,HOLD
49,26390.59,157356.37,0,157356.37,HOLD
50,26221.30,157356.37,0,157356.37,HOLD
51,27079.24,157356.37,0,157356.37,HOLD
52,27794.81,157356.37,0,157356.37,HOLD
53,28390.29,157356.37,0,157356.37,HOLD
54,29673.26,157356.37,0,157356.37,HOLD
55,28382.26,157356.37,0,157356.37,HOLD
56,29293.64,157356.37,0,157356.37,HOLD
57,30503.46,157356.37,0,157356.37,HOLD
58,29532.68,157356.37,0,157356.37,HOLD
59,29183.59,157356.37,0,157356.37,HOLD
60,28710.91,157356.37,0,157356.37,HOLD
61,28780.23,157356.37,0,157356.37,HOLD
62,27827.05,157356.37,0,157356.37,HOLD
63,28332.78,157356.37,0,157356.37,HOLD
64,28274.27,157356.37,0,157356.37,HOLD
65,28806.76,157356.37,0,157356.37,HOLD
66,28908.65,157356.37,0,157356.37,HOLD
67,28256.03,157356.37,0,157356.37,HOLD
68,28453.14,157356.37,0,157356.37,HOLD
69,28074.14,157356.37,0,157356.37,HOLD
70,28461.50,157356.37,0,157356.37,HOLD
71,29036.45,157356.37,0,157356.37,HOLD
72,28638.31,157356.37,0,157356.37,HOLD
73,28403.64,157356.37,0,157356.37,HOLD
74,28406.61,157356.37,0,157356.37,HOLD
75,28827.70,157356.37,0,157356.37,HOLD
76,27110.62,157356.37,0,157356.37,HOLD
77,27741.09,157356.37,0,157356.37,HOLD
78,27455.43,157356.37,0,157356.37,HOLD
79,25857.42,157356.37,0,157356.37,HOLD
80,26126.37,157356.37,0,157356.37,HOLD
81,26385.45,157356.37,0,157356.37,HOLD
82,25183.67,157356.37,0,157356.37,HOLD
83,25255.83,157356.37,0,157356.37,HOLD
84,25967.98,157356.37,0,157356.37,HOLD
85,25624.52,157356.37,0,157356.37,HOLD
86,24505.21,157356.37,0,157356.37,HOLD
87,24095.79,157356.37,0,157356.37,HOLD
88,23908.05,157356.37,0,157356.37,HOLD
89,25161.80,157356.37,0,157356.37,HOLD
90,25458.03,157356.37,0,157356.37,HOLD
91,25905.08,157356.37,0,157356.37,HOLD
92,25030.69,157356.37,0,157356.37,HOLD
93,24678.66,157356.37,0,157356.37,HOLD
94,25410.87,157356.37,0,157356.37,HOLD
95,24618.74,157356.37,0,157356.37,HOLD
96,23175.37,157356.37,0,157356.37,HOLD
97,23512.50,157356.37,0,157356.37,HOLD
98,23560.13,157356.37,0,157356.37,HOLD
99,22730.08,157356.37,0,157356.37,HOLD
100,23008.28,157356.37,0,157356.37,HOLD
101,22851.50,157356.37,0,157356.37,HOLD
102,24069.52,157356.37,0,157356.37,HOLD
103,23951.60,157356.37,0,157356.37,HOLD
104,24123.70,157356.37,0,157356.37,HOLD
105,24365.89,157356.37,0,157356.37,HOLD
106,24482.86,157356.37,0,157356.37,HOLD
107,23998.77,157356.37,0,157356.37,HOLD
108,22406.12,157356.37,0,157356.37,HOLD
109,20826.36,157356.37,0,157356.37,HOLD
110,19416.78,157356.37,0,157356.37,HOLD
111,21096.31,157356.37,0,157356.37,HOLD
112,21202.69,157356.37,0,157356.37,HOLD
113,22124.03,157356.37,0,157356.37,HOLD
114,20988.20,157356.37,0,157356.37,HOLD
115,20483.86,157356.37,0,157356.37,HOLD
116,19956.67,157356.37,0,157356.37,HOLD
117,19973.47,157356.37,0,157356.37,HOLD
118,19764.96,157356.37,0,157356.37,HOLD
119,20303.55,157356.37,0,157356.37,HOLD
120,20885.02,157356.37,0,157356.37,HOLD
121,21394.59,157356.37,0,157356.37,HOLD
122,20717.64,157356.37,0,157356.37,HOLD
123,21175.95,157356.37,0,157356.37,HOLD
124,21952.44,157356.37,0,157356.37,HOLD
125,21286.66,157356.37,0,157356.37,HOLD
126,20751.48,157356.37,0,157356.37,HOLD
127,20884.92,157356.37,0,157356.37,HOLD
128,20572.42,157356.37,0,157356.37,HOLD
129,19685.48,157356.37,0,157356.37,HOLD
130,19469.11,157356.37,0,157356.37,HOLD
131,19800.58,157356.37,0,157356.37,HOLD
132,19189.54,157356.37,0,157356.37,HOLD
133,19564.84,157356.37,0,157356.37,HOLD
134,18818.78,157356.37,0,157356.37,HOLD
135,18833.90,157356.37,0,157356.37,HOLD
136,17965.33,157356.37,0,157356.37,HOLD
137,17046.83,157356.37,0,157356.37,HOLD
138,17717.73,157356.37,0,157356.37,HOLD
139,16535.37,157356.37,0,157356.37,HOLD
140,16137.18,157356.37,0,157356.37,HOLD
141,14770.09,157356.37,0,157356.37,HOLD
142,15442.76,157356.37,0,157356.37,HOLD
143,16829.00,157356.37,0,157356.37,HOLD
144,17910.19,157356.37,0,157356.37,HOLD
145,17412.04,157356.37,0,157356.37,HOLD
146,18530.82,157356.37,0,157356.37,HOLD
147,19404.50,157356.37,0,157356.37,HOLD
148,19130.53,157356.37,0,157356.37,HOLD
149,19380.47,157356.37,0,157356.37,HOLD
150,20233.39,157356.37,0,157356.37,HOLD
151,21327.41,157356.37,0,157356.37,HOLD
152,21422.19,157356.37,0,157356.37,HOLD
153,21992.51,157356.37,0,157356.37,HOLD
154,21085.72,157356.37,0,157356.37,HOLD
155,20799.91,157356.37,0,157356.37,HOLD
156,20606.85,157356.37,0,157356.37,HOLD
157,19804.56,157356.37,0,157356.37,HOLD
158,20410.00,157356.37,0,157356.37,HOLD
159,19390.38,157356.37,0,157356.37,HOLD
160,18829.11,157356.37,0,157356.37,HOLD
161,19509.49,157356.37,0,157356.37,HOLD
162,20226.95,157356.37,0,157356.37,HOLD
163,19885.53,157356.37,0,157356.37,HOLD
164,20308.33,157356.37,0,157356.37,HOLD
165,19662.60,157356.37,0,157356.37,HOLD
166,19968.41,157356.37,0,157356.37,HOLD
167,19596.49,157356.37,0,157356.37,HOLD
168,19352.81,157356.37,0,157356.37,HOLD
169,18517.86,157356.37,0,157356.37,HOLD
170,18896.13,157356.37,0,157356.37,HOLD
171,19255.65,157356.37,0,157356.37,HOLD
172,19718.43,157356.37,0,157356.37,HOLD
173,18842.42,157356.37,0,157356.37,HOLD
174,19253.22,157356.37,0,157356.37,HOLD
175,18573.67,157356.37,0,157356.37,HOLD
176,18979.92,157356.37,0,157356.37,HOLD
177,19111.82,157356.37,0,157356.37,HOLD
178,19891.81,157356.37,0,157356.37,HOLD
179,19112.61,157356.37,0,157356.37,HOLD
180,18513.78,157356.37,0,157356.37,HOLD
181,17573.70,157356.37,0,157356.37,HOLD
182,18239.92,157356.37,0,157356.37,HOLD
183,18256.10,157356.37,0,157356.37,HOLD
184,17928.63,157356.37,0,157356.37,HOLD
185,17623.87,157356.37,0,157356.37,HOLD
186,17352.83,157356.37,0,157356.37,HOLD
187,17370.03,157356.37,0,157356.37,HOLD
188,17776.95,157356.37,0,157356.37,HOLD
189,17118.07,157356.37,0,157356.37,HOLD
190,17225.65,157356.37,0,157356.37,HOLD
191,17899.35,157356.37,0,157356.37,HOLD
192,17126.61,157356.37,0,157356.37,HOLD
193,17532.73,157356.37,0,157356.37,HOLD
194,17358.24,157356.37,0,157356.37,HOLD
195,16617.03,157356.37,0,157356.37,HOLD
196,15972.31,157356.37,0,157356.37,HOLD
197,16572.88,157356.37,0,157356.37,HOLD
198,16439.26,157356.37,0,157356.37,HOLD
199,16516.33,157356.37,0,157356.37,HOLD
200,16106.83,157356.37,0,157356.37,HOLD
201,15183.96,157356.37,0,157356.37,HOLD
202,15828.93,157356.37,0,157356.37,HOLD
203,15434.82,157356.37,0,157356.37,HOLD
204,15821.86,157356.37,0,157356.37,HOLD
205,16137.98,157356.37,0,157356.37,HOLD
206,16590.71,157356.37,0,157356.37,HOLD
207,16473.65,157356.37,0,157356.37,HOLD
208,16416.17,157356.37,0,157356.37,HOLD
209,16641.58,157356.37,0,157356.37,HOLD
210,16441.30,157356.37,0,157356.37,HOLD
211,16689.19,157356.37,0,157356.37,HOLD
212,16856.19,157356.37,0,157356.37,HOLD
213,16206.55,157356.37,0,157356.37,HOLD
214,17109.57,157356.37,0,157356.37,HOLD
215,18362.22,157356.37,0,157356.37,HOLD
216,18657.51,157356.37,0,157356.37,HOLD
217,19574.56,157356.37,0,157356.37,HOLD
218,18504.53,157356.37,0,157356.37,HOLD
219,18283.56,157356.37,0,157356.37,HOLD
220,17994.10,157356.37,0,157356.37,HOLD
221,17854.79,157356.37,0,157356.37,HOLD
222,17959.07,157356.37,0,157356.37,HOLD
223,17808.27,157356.37,0,157356.37,HOLD
224,17455.08,157356.37,0,157356.37,HOLD
225,17658.68,157356.37,0,157356.37,HOLD
226,17251.26,157356.37,0,157356.37,HOLD
227,17015.83,157356.37,0,157356.37,HOLD
228,16684.78,157356.37,0,157356.37,HOLD
229,17055.70,157356.37,0,157356.37,HOLD
230,17232.13,157356.37,0,157356.37,HOLD
231,17659.29,157356.37,0,157356.37,HOLD
232,17333.30,157356.37,0,157356.37,HOLD
233,17127.25,157356.37,0,157356.37,HOLD
234,18047.13,157356.37,0,157356.37,HOLD
235,20268.63,157356.37,0,157356.37,HOLD
236,22719.91,157356.37,0,157356.37,HOLD
237,20154.71,157356.37,0,157356.37,HOLD
238,20380.04,157356.37,0,157356.37,HOLD
239,20563.74,157356.37,0,157356.37,HOLD
240,20409.94,157356.37,0,157356.37,HOLD
241,19761.31,157356.37,0,157356.37,HOLD
242,19522.59,157356.37,0,157356.37,HOLD
243,19054.40,157356.37,0,157356.37,HOLD
244,19386.82,157356.37,0,157356.37,HOLD
245,20308.86,157356.37,0,157356.37,HOLD
246,19620.63,157356.37,0,157356.37,HOLD
247,19908.57,157356.37,0,157356.37,HOLD
