DAY,Price,Cash,Shares,PortfolioValue,Action
0,28000.62,156310.00,0,156310.00,HOLD
1,28054.29,156310.00,0,156310.00,HOLD
2,28671.84,156310.00,0,156310.00,HOLD
3,28795.42,156310.00,0,156310.00,HOLD
4,27101.54,156310.00,0,156310.00,HOLD
5,26641.92,156310.00,0,156310.00,HOLD
6,27614.83,156310.00,0,156310.00,HOLD
7,27448.60,156310.00,0,156310.00,HOLD
8,26479.90,156310.00,0,156310.00,HOLD
9,26038.39,156310.00,0,156310.00,HOLD
10,25140.38,156310.00,0,156310.00,HOLD
11,22167.42,156310.00,0,156310.00,HOLD
12,23062.23,156310.00,0,156310.00,HOLD
13,22947.64,156310.00,0,156310.00,HOLD
14,23897.40,156310.00,0,156310.00,HOLD
15,24308.78,156310.00,0,156310.00,HOLD
16,23730.49,156310.00,0,156310.00,HOLD
17,23697.88,156310.00,0,156310.00,HOLD
18,24136.20,156310.00,0,156310.00,HOLD
19,24314.45,156310.00,0,156310.00,HOLD
20,23165.49,156310.00,0,156310.00,HOLD
21,23766.15,156310.00,0,156310.00,HOLD
22,24837.73,156310.00,0,156310.00,HOLD
23,24302.25,156310.00,0,156310.00,HOLD
24,24184.88,156310.00,0,156310.00,HOLD
25,24563.57,156310.00,0,156310.00,HOLD
26,26016.75,156310.00,0,156310.00,HOLD
27,24919.95,156310.00,0,156310.00,HOLD
28,24992.37,156310.00,0,156310.00,HOLD
29,24616.05,156310.00,0,156310.00,HOLD
30,24641.09,156310.00,0,156310.00,HOLD
31,25144.46,156310.00,0,156310.00,HOLD
32,24621.32,156310.00,0,156310.00,HOLD
33,25186.42,156310.00,0,156310.00,HOLD
34,24854.58,156310.00,0,156310.00,HOLD
35,24293.21,156310.00,0,156310.00,HOLD
36,24250.90,156310.00,0,156310.00,HOLD
37,23225.33,156310.00,0,156310.00,HOLD
38,23674.52,156310.00,0,156310.00,HOLD
39,24196.80,156310.00,0,156310.00,HOLD
40,24478.47,156310.00,0,156310.00,HOLD
41,24602.11,156310.00,0,156310.00,HOLD
42,24689.51,156310.00,0,156310.00,HOLD
43,26041.87,156310.00,0,156310.00,HOLD
44,26339.88,156310.00,0,156310.00,HOLD
45,26409.77,156310.00,0,156310.00,HOLD
46,26375.24,156310.00,0,156310.00,HOLD
47,26270.91,156310.00,0,156310.00,HOLD
48,26127.68,156310.00,0,156310.00,HOLD
49,25998.87,156310.00,0,156310.00,HOLD
50,26670.97,156310.00,0,156310.00,HOLD
51,27457.47,156310.00,0,156310.00,HOLD
52,28280.09,156310.00,0,156310.00,HOLD
53,29745.87,156310.00,0,156310.00,HOLD
54,28467.01,156310.00,0,156310.00,HOLD
55,28775.38,156310.00,0,156310.00,HOLD
56,29828.62,156310.00,0,156310.00,HOLD
57,30298.58,156310.00,0,156310.00,HOLD
58,29195.97,156310.00,0,156310.00,HOLD
59,28422.27,156310.00,0,156310.00,HOLD
60,28612.74,156310.00,0,156310.00,HOLD
61,28801.09,156310.00,0,156310.00,HOLD
