DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,185425.50,0,185425.50,HOLD
1,23506.15,185425.50,0,185425.50,HOLD
2,24013.75,185425.50,0,185425.50,HOLD
3,23755.32,185425.50,0,185425.50,HOLD
4,23139.98,185425.50,0,185425.50,HOLD
5,23759.42,185425.50,0,185425.50,HOLD
6,23335.99,185425.50,0,185425.50,HOLD
7,22335.21,185425.50,0,185425.50,HOLD
8,21082.73,185425.50,0,185425.50,HOLD
9,18891.77,185425.50,0,185425.50,HOLD
10,16378.94,185425.50,0,185425.50,HOLD
11,18446.80,185425.50,0,185425.50,HOLD
12,17871.62,185425.50,0,185425.50,HOLD
13,18730.80,185425.50,0,185425.50,HOLD
14,19465.95,185425.50,0,185425.50,HOLD
15,18858.25,185425.50,0,185425.50,HOLD
16,20084.83,185425.50,0,185425.50,HOLD
17,20293.97,185425.50,0,185425.50,HOLD
18,20433.45,185425.50,0,185425.50,HOLD
19,20918.11,185425.50,0,185425.50,HOLD
20,22118.40,185425.50,0,185425.50,HOLD
21,22933.14,185425.50,0,185425.50,HOLD
22,21899.48,185425.50,0,185425.50,HOLD
23,22257.14,185425.50,0,185425.50,HOLD
24,22273.38,185425.50,0,185425.50,HOLD
25,22540.44,185425.50,0,185425.50,HOLD
26,22538.78,185425.50,0,185425.50,HOLD
27,22780.22,185425.50,0,185425.50,HOLD
28,22334.71,185425.50,0,185425.50,HOLD
29,22362.89,185425.50,0,185425.50,HOLD
30,23222.85,185425.50,0,185425.50,HOLD
31,22920.30,185425.50,0,185425.50,HOLD
32,22594.79,185425.50,0,185425.50,HOLD
33,23098.77,185425.50,0,185425.50,HOLD
34,23114.63,185425.50,0,185425.50,HOLD
35,23290.19,185425.50,0,185425.50,HOLD
36,23347.64,185425.50,0,185425.50,HOLD
37,23272.45,185425.50,0,185425.50,HOLD
38,23518.81,185425.50,0,185425.50,HOLD
39,23611.33,185425.50,0,185425.50,HOLD
40,23334.23,185425.50,0,185425.50,HOLD
41,23756.78,185425.50,0,185425.50,HOLD
42,25316.60,185425.50,0,185425.50,HOLD
43,25474.94,185425.50,0,185425.50,HOLD
44,26419.05,185425.50,0,185425.50,HOLD
45,26646.08,185425.50,0,185425.50,HOLD
46,26553.01,185425.50,0,185425.50,HOLD
47,26707.30,185425.50,0,185425.50,HOLD
48,26638.28,185425.50,0,185425.50,HOLD
49,27073.46,185425.50,0,185425.50,HOLD
50,28133.59,185425.50,0,185425.50,HOLD
51,28402.11,185425.50,0,185425.50,HOLD
52,28542.00,185425.50,0,185425.50,HOLD
53,28402.30,185425.50,0,185425.50,HOLD
54,29368.18,185425.50,0,185425.50,HOLD
55,30140.01,185425.50,0,185425.50,HOLD
56,28966.01,185425.50,0,185425.50,HOLD
57,28308.57,185425.50,0,185425.50,HOLD
58,29210.40,185425.50,0,185425.50,HOLD
59,29621.22,185425.50,0,185425.50,HOLD
60,28953.22,185425.50,0,185425.50,HOLD
61,29694.09,185425.50,0,185425.50,HOLD
62,29768.06,185425.50,0,185425.50,HOLD
63,29621.83,185425.50,0,185425.50,HOLD
64,28770.62,185425.50,0,185425.50,HOLD
65,28966.47,185425.50,0,185425.50,HOLD
66,27385.03,185425.50,0,185425.50,HOLD
67,27821.96,185425.50,0,185425.50,HOLD
68,28360.56,185425.50,0,185425.50,HOLD
69,28879.15,185425.50,0,185425.50,HOLD
70,28799.74,185425.50,0,185425.50,HOLD
71,28875.39,185425.50,0,185425.50,HOLD
72,28758.37,185425.50,0,185425.50,HOLD
73,28624.80,185425.50,0,185425.50,HOLD
74,28118.03,185425.50,0,185425.50,HOLD
75,28240.21,185425.50,0,185425.50,HOLD
76,27786.44,185425.50,0,185425.50,HOLD
77,27493.32,185425.50,0,185425.50,HOLD
78,27808.54,185425.50,0,185425.50,HOLD
79,27424.47,185425.50,0,185425.50,HOLD
80,27653.23,185425.50,0,185425.50,HOLD
81,27602.21,185425.50,0,185425.50,HOLD
82,29838.43,185425.50,0,185425.50,HOLD
83,30504.81,185425.50,0,185425.50,HOLD
84,29573.88,185425.50,0,185425.50,HOLD
85,29311.34,185425.50,0,185425.50,HOLD
86,27607.97,185425.50,0,185425.50,HOLD
87,28234.01,185425.50,0,185425.50,HOLD
88,28688.78,185425.50,0,185425.50,HOLD
89,28693.06,185425.50,0,185425.50,HOLD
90,29504.07,185425.50,0,185425.50,HOLD
91,29381.45,185425.50,0,185425.50,HOLD
92,29589.19,185425.50,0,185425.50,HOLD
93,28187.12,185425.50,0,185425.50,HOLD
94,27693.91,185425.50,0,185425.50,HOLD
95,28593.45,185425.50,0,185425.50,HOLD
96,27893.18,185425.50,0,185425.50,HOLD
97,28658.82,185425.50,0,185425.50,HOLD
98,29204.45,185425.50,0,185425.50,HOLD
99,28444.96,185425.50,0,185425.50,HOLD
100,27217.59,185425.50,0,185425.50,HOLD
101,26044.52,159380.98,1,185425.50,BUY
102,27165.93,186546.91,0,186546.91,SELL
103,27575.07,186546.91,0,186546.91,HOLD
104,26792.54,186546.91,0,186546.91,HOLD
105,26262.63,186546.91,0,186546.91,HOLD
106,25006.26,186546.91,0,186546.91,HOLD
