DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,185425.50,0,185425.50,HOLD
1,23506.15,185425.50,0,185425.50,HOLD
2,24013.75,185425.50,0,185425.50,HOLD
3,23755.32,185425.50,0,185425.50,HOLD
4,23139.98,185425.50,0,185425.50,HOLD
5,23759.42,185425.50,0,185425.50,HOLD
6,23335.99,185425.50,0,185425.50,HOLD
7,22335.21,185425.50,0,185425.50,HOLD
8,21082.73,185425.50,0,185425.50,HOLD
9,18891.77,185425.50,0,185425.50,HOLD
10,16378.94,185425.50,0,185425.50,HOLD
11,18446.80,185425.50,0,185425.50,HOLD
12,17871.62,185425.50,0,185425.50,HOLD
13,18730.80,185425.50,0,185425.50,HOLD
14,19465.95,185425.50,0,185425.50,HOLD
15,18858.25,185425.50,0,185425.50,HOLD
16,20084.83,185425.50,0,185425.50,HOLD
17,20293.97,185425.50,0,185425.50,HOLD
18,20433.45,185425.50,0,185425.50,HOLD
19,20918.11,185425.50,0,185425.50,HOLD
20,22118.40,163307.10,1,185425.50,BUY
21,22933.14,186240.24,0,186240.24,SELL
22,21899.48,186240.24,0,186240.24,HOLD
23,22257.14,186240.24,0,186240.24,HOLD
24,22273.38,186240.24,0,186240.24,HOLD
25,22540.44,186240.24,0,186240.24,HOLD
26,22538.78,186240.24,0,186240.24,HOLD
27,22780.22,186240.24,0,186240.24,HOLD
28,22334.71,186240.24,0,186240.24,HOLD
29,22362.89,186240.24,0,186240.24,HOLD
30,23222.85,186240.24,0,186240.24,HOLD
31,22920.30,186240.24,0,186240.24,HOLD
32,22594.79,186240.24,0,186240.24,HOLD
33,23098.77,186240.24,0,186240.24,HOLD
34,23114.63,186240.24,0,186240.24,HOLD
35,23290.19,186240.24,0,186240.24,HOLD
36,23347.64,186240.24,0,186240.24,HOLD
37,23272.45,186240.24,0,186240.24,HOLD
38,23518.81,186240.24,0,186240.24,HOLD
39,23611.33,186240.24,0,186240.24,HOLD
40,23334.23,186240.24,0,186240.24,HOLD
41,23756.78,186240.24,0,186240.24,HOLD
42,25316.60,186240.24,0,186240.24,HOLD
43,25474.94,186240.24,0,186240.24,HOLD
44,26419.05,186240.24,0,186240.24,HOLD
45,26646.08,186240.24,0,186240.24,HOLD
46,26553.01,186240.24,0,186240.24,HOLD
47,26707.30,186240.24,0,186240.24,HOLD
48,26638.28,186240.24,0,186240.24,HOLD
49,27073.46,186240.24,0,186240.24,HOLD
50,28133.59,186240.24,0,186240.24,HOLD
51,28402.11,186240.24,0,186240.24,HOLD
52,28542.00,186240.24,0,186240.24,HOLD
53,28402.30,186240.24,0,186240.24,HOLD
54,29368.18,186240.24,0,186240.24,HOLD
55,30140.01,186240.24,0,186240.24,HOLD
56,28966.01,186240.24,0,186240.24,HOLD
57,28308.57,186240.24,0,186240.24,HOLD
58,29210.40,186240.24,0,186240.24,HOLD
59,29621.22,186240.24,0,186240.24,HOLD
60,28953.22,186240.24,0,186240.24,HOLD
61,29694.09,186240.24,0,186240.24,HOLD
62,29768.06,186240.24,0,186240.24,HOLD
63,29621.83,186240.24,0,186240.24,HOLD
64,28770.62,186240.24,0,186240.24,HOLD
65,28966.47,186240.24,0,186240.24,HOLD
66,27385.03,186240.24,0,186240.24,HOLD
67,27821.96,186240.24,0,186240.24,HOLD
68,28360.56,186240.24,0,186240.24,HOLD
69,28879.15,186240.24,0,186240.24,HOLD
70,28799.74,186240.24,0,186240.24,HOLD
71,28875.39,186240.24,0,186240.24,HOLD
72,28758.37,186240.24,0,186240.24,HOLD
73,28624.80,186240.24,0,186240.24,HOLD
74,28118.03,186240.24,0,186240.24,HOLD
75,28240.21,186240.24,0,186240.24,HOLD
76,27786.44,186240.24,0,186240.24,HOLD
77,27493.32,186240.24,0,186240.24,HOLD
78,27808.54,186240.24,0,186240.24,HOLD
79,27424.47,186240.24,0,186240.24,HOLD
80,27653.23,186240.24,0,186240.24,HOLD
81,27602.21,186240.24,0,186240.24,HOLD
82,29838.43,186240.24,0,186240.24,HOLD
83,30504.81,186240.24,0,186240.24,HOLD
84,29573.88,186240.24,0,186240.24,HOLD
85,29311.34,186240.24,0,186240.24,HOLD
86,27607.97,186240.24,0,186240.24,HOLD
87,28234.01,186240.24,0,186240.24,HOLD
88,28688.78,186240.24,0,186240.24,HOLD
89,28693.06,186240.24,0,186240.24,HOLD
90,29504.07,186240.24,0,186240.24,HOLD
91,29381.45,186240.24,0,186240.24,HOLD
92,29589.19,186240.24,0,186240.24,HOLD
93,28187.12,186240.24,0,186240.24,HOLD
94,27693.91,186240.24,0,186240.24,HOLD
95,28593.45,186240.24,0,186240.24,HOLD
96,27893.18,186240.24,0,186240.24,HOLD
97,28658.82,186240.24,0,186240.24,HOLD
98,29204.45,186240.24,0,186240.24,HOLD
99,28444.96,186240.24,0,186240.24,HOLD
100,27217.59,186240.24,0,186240.24,HOLD
101,26044.52,186240.24,0,186240.24,HOLD
102,27165.93,186240.24,0,186240.24,HOLD
103,27575.07,186240.24,0,186240.24,HOLD
104,26792.54,186240.24,0,186240.24,HOLD
105,26262.63,186240.24,0,186240.24,HOLD
106,25006.26,186240.24,0,186240.24,HOLD
