DAY,Price,Cash,Shares,PortfolioValue,Action
0,23148.53,181934.10,0,181934.10,HOLD
1,23951.66,181934.10,0,181934.10,HOLD
2,23843.48,181934.10,0,181934.10,HOLD
3,23115.15,181934.10,0,181934.10,HOLD
4,22854.45,181934.10,0,181934.10,HOLD
5,23693.72,181934.10,0,181934.10,HOLD
6,23234.96,181934.10,0,181934.10,HOLD
7,21844.29,181934.10,0,181934.10,HOLD
8,21220.76,181934.10,0,181934.10,HOLD
9,18339.27,181934.10,0,181934.10,HOLD
10,16358.19,181934.10,0,181934.10,HOLD
11,18832.21,181934.10,0,181934.10,HOLD
12,17646.50,181934.10,0,181934.10,HOLD
13,19235.96,181934.10,0,181934.10,HOLD
14,19554.70,181934.10,0,181934.10,HOLD
15,19175.38,181934.10,0,181934.10,HOLD
16,19448.93,181934.10,0,181934.10,HOLD
17,19902.93,181934.10,0,181934.10,HOLD
18,20503.87,181934.10,0,181934.10,HOLD
19,21580.50,181934.10,0,181934.10,HOLD
20,22501.81,181934.10,0,181934.10,HOLD
21,22466.54,181934.10,0,181934.10,HOLD
22,22125.35,181934.10,0,181934.10,HOLD
23,22165.14,181934.10,0,181934.10,HOLD
24,22072.11,181934.10,0,181934.10,HOLD
25,22434.38,181934.10,0,181934.10,HOLD
26,22739.42,181934.10,0,181934.10,HOLD
27,22429.57,181934.10,0,181934.10,HOLD
28,21919.83,181934.10,0,181934.10,HOLD
29,22497.07,181934.10,0,181934.10,HOLD
30,22948.89,181934.10,0,181934.10,HOLD
31,23225.39,181934.10,0,181934.10,HOLD
32,23047.77,181934.10,0,181934.10,HOLD
33,23129.66,181934.10,0,181934.10,HOLD
34,23351.35,181934.10,0,181934.10,HOLD
35,23039.48,181934.10,0,181934.10,HOLD
36,22951.41,181934.10,0,181934.10,HOLD
37,23552.73,181934.10,0,181934.10,HOLD
38,23382.67,181934.10,0,181934.10,HOLD
39,23469.13,181934.10,0,181934.10,HOLD
40,22948.47,181934.10,0,181934.10,HOLD
41,24541.28,181934.10,0,181934.10,HOLD
42,25640.29,181934.10,0,181934.10,HOLD
43,25901.45,181934.10,0,181934.10,HOLD
44,26618.39,181934.10,0,181934.10,HOLD
45,26327.08,181934.10,0,181934.10,HOLD
46,26605.54,155328.56,1,181934.10,BUY
47,26361.66,155328.56,1,181690.22,HOLD
48,26921.14,155328.56,1,182249.70,HOLD
49,27340.46,155328.56,1,182669.02,HOLD
50,28477.03,155328.56,1,183805.59,HOLD
51,28527.16,155328.56,1,183855.72,HOLD
52,27629.80,155328.56,1,182958.36,HOLD
53,28548.27,155328.56,1,183876.83,HOLD
54,29662.41,155328.56,1,184990.97,HOLD
55,30089.18,155328.56,1,185417.74,HOLD
56,29314.82,155328.56,1,184643.38,HOLD
57,28609.21,155328.56,1,183937.77,HOLD
58,29755.47,155328.56,1,185084.03,HOLD
59,28995.92,155328.56,1,184324.48,HOLD
60,29283.89,155328.56,1,184612.45,HOLD
61,29665.86,155328.56,1,184994.42,HOLD
62,29573.79,155328.56,1,184902.35,HOLD
63,29014.36,155328.56,1,184342.92,HOLD
64,28990.19,155328.56,1,184318.75,HOLD
65,29346.14,155328.56,1,184674.70,HOLD
66,27632.53,155328.56,1,182961.09,HOLD
67,28212.32,155328.56,1,183540.88,HOLD
68,28791.60,155328.56,1,184120.16,HOLD
69,28973.05,155328.56,1,184301.61,HOLD
70,29026.27,155328.56,1,184354.83,HOLD
71,27795.86,155328.56,1,183124.42,HOLD
72,28984.93,155328.56,1,184313.49,HOLD
73,28581.08,155328.56,1,183909.64,HOLD
74,28405.60,155328.56,1,183734.16,HOLD
75,27493.63,155328.56,1,182822.19,HOLD
76,27466.99,155328.56,1,182795.55,HOLD
77,27488.74,155328.56,1,182817.30,HOLD
78,28006.31,155328.56,1,183334.87,HOLD
79,27255.58,155328.56,1,182584.14,HOLD
80,27684.50,155328.56,1,183013.06,HOLD
81,28412.91,155328.56,1,183741.47,HOLD
82,29909.92,155328.56,1,185238.48,HOLD
83,30202.51,155328.56,1,185531.07,HOLD
84,30197.40,155328.56,1,185525.96,HOLD
85,28343.58,155328.56,1,183672.14,HOLD
86,27893.32,155328.56,1,183221.88,HOLD
87,28924.40,155328.56,1,184252.96,HOLD
88,28472.55,155328.56,1,183801.11,HOLD
89,29267.63,155328.56,1,184596.19,HOLD
