DAY,Price,Cash,Shares,PortfolioValue,Action
0,23775.40,162998.80,1,186774.20,BUY
1,22951.18,140047.62,2,185949.98,BUY
2,23905.38,116142.24,3,187858.38,BUY
3,23779.23,92363.01,4,187479.93,BUY
4,22892.95,69470.06,5,183934.81,BUY
5,23625.13,45844.93,6,187595.71,BUY
6,23603.48,22241.45,7,187465.81,BUY
7,23378.33,22241.45,7,185889.76,HOLD
8,20834.29,1407.16,8,168081.48,BUY
9,19472.26,1407.16,8,157185.24,HOLD
10,16914.45,1407.16,8,136722.76,HOLD
11,17197.14,1407.16,8,138984.28,HOLD
12,18834.16,1407.16,8,152080.44,HOLD
13,18553.14,1407.16,8,149832.28,HOLD
14,19093.12,1407.16,8,154152.12,HOLD
15,19193.22,1407.16,8,154952.92,HOLD
16,19638.48,1407.16,8,158515.00,HOLD
17,20285.04,1407.16,8,163687.48,HOLD
18,19999.10,1407.16,8,161399.96,HOLD
19,20584.06,1407.16,8,166079.64,HOLD
20,21898.99,1407.16,8,176599.08,HOLD
21,23028.62,1407.16,8,185636.12,HOLD
22,21529.83,1407.16,8,173645.80,HOLD
23,22311.94,1407.16,8,179902.68,HOLD
24,21969.59,1407.16,8,177163.88,HOLD
25,22325.75,1407.16,8,180013.16,HOLD
26,22561.47,1407.16,8,181898.92,HOLD
27,22580.19,1407.16,8,182048.68,HOLD
28,22366.34,1407.16,8,180337.88,HOLD
29,22356.25,1407.16,8,180257.16,HOLD
30,23111.50,1407.16,8,186299.16,HOLD
31,22851.83,1407.16,8,184221.80,HOLD
32,23177.85,1407.16,8,186829.96,HOLD
33,23426.11,1407.16,8,188816.04,HOLD
34,23134.02,1407.16,8,186479.32,HOLD
35,23272.23,1407.16,8,187585.00,HOLD
36,23303.03,1407.16,8,187831.40,HOLD
37,23331.40,1407.16,8,188058.36,HOLD
38,23490.95,1407.16,8,189334.76,HOLD
39,23518.29,1407.16,8,189553.48,HOLD
40,23232.31,1407.16,8,187265.64,HOLD
41,23505.78,1407.16,8,189453.40,HOLD
42,25145.66,1407.16,8,202572.44,HOLD
43,25656.70,1407.16,8,206660.76,HOLD
44,26255.47,1407.16,8,211450.92,HOLD
45,26719.23,1407.16,8,215161.00,HOLD
46,26639.98,1407.16,8,214527.00,HOLD
47,26676.28,1407.16,8,214817.40,HOLD
48,26605.26,1407.16,8,214249.24,HOLD
49,27042.32,1407.16,8,217745.72,HOLD
50,27899.45,1407.16,8,224602.76,HOLD
51,28373.34,1407.16,8,228393.88,HOLD
52,28527.81,1407.16,8,229629.64,HOLD
53,28089.12,1407.16,8,226120.12,HOLD
54,29350.48,1407.16,8,236211.00,HOLD
55,30191.01,1407.16,8,242935.24,HOLD
56,30044.43,1407.16,8,241762.60,HOLD
57,28711.04,1407.16,8,231095.48,HOLD
58,28995.33,1407.16,8,233369.80,HOLD
59,30041.50,1407.16,8,241739.16,HOLD
60,28414.92,1407.16,8,228726.52,HOLD
61,29318.82,1407.16,8,235957.72,HOLD
62,29516.42,1407.16,8,237538.52,HOLD
63,29558.55,1407.16,8,237875.56,HOLD
64,28800.86,1407.16,8,231814.04,HOLD
65,28760.27,1407.16,8,231489.32,HOLD
66,27888.59,1407.16,8,224515.88,HOLD
67,27842.98,1407.16,8,224151.00,HOLD
68,28396.62,1407.16,8,228580.12,HOLD
69,28565.83,1407.16,8,229933.80,HOLD
70,28801.83,1407.16,8,231821.80,HOLD
71,29263.72,1407.16,8,235516.92,HOLD
72,28860.06,1407.16,8,232287.64,HOLD
73,28779.76,1407.16,8,231645.24,HOLD
74,28161.75,1407.16,8,226701.16,HOLD
75,28482.82,1407.16,8,229269.72,HOLD
76,27438.07,1407.16,8,220911.72,HOLD
77,27272.49,1407.16,8,219587.08,HOLD
78,27709.22,1407.16,8,223080.92,HOLD
79,27427.38,1407.16,8,220826.20,HOLD
80,27193.10,1407.16,8,218951.96,HOLD
81,27656.63,1407.16,8,222660.20,HOLD
82,29469.35,1407.16,8,237161.96,HOLD
83,30229.01,1407.16,8,243239.24,HOLD
84,29832.52,1407.16,8,240067.32,HOLD
85,29329.16,1407.16,8,236040.44,HOLD
86,27293.62,1407.16,8,219756.12,HOLD
87,27993.46,1407.16,8,225354.84,HOLD
88,29222.32,1407.16,8,235185.72,HOLD
89,28870.25,1407.16,8,232369.16,HOLD
90,29718.78,1407.16,8,239157.40,HOLD
91,29040.08,1407.16,8,233727.80,HOLD
92,29402.57,1407.16,8,236627.72,HOLD
93,28605.61,1407.16,8,230252.04,HOLD
94,27588.61,1407.16,8,222116.04,HOLD
95,28392.87,1407.16,8,228550.12,HOLD
96,28503.08,1407.16,8,229431.80,HOLD
97,28773.50,1407.16,8,231595.16,HOLD
98,28954.56,1407.16,8,233043.64,HOLD
99,28427.60,1407.16,8,228827.96,HOLD
100,27314.41,1407.16,8,219922.44,HOLD
101,26858.68,1407.16,8,216276.60,HOLD
102,27289.16,1407.16,8,219720.44,HOLD
103,27405.88,1407.16,8,220654.20,HOLD
104,27080.92,1407.16,8,218054.52,HOLD
105,26160.19,1407.16,8,210688.68,HOLD
106,25774.28,1407.16,8,207601.40,HOLD
107,24966.50,1407.16,8,201139.16,HOLD
108,26592.98,1407.16,8,214151.00,HOLD
109,27812.67,1407.16,8,223908.52,HOLD
110,27578.81,1407.16,8,222037.64,HOLD
