DAY,Price,Cash,Shares,PortfolioValue,Action
0,614.58,6090.00,0,6090.00,HOLD
1,504.51,6090.00,0,6090.00,HOLD
2,435.81,6090.00,0,6090.00,HOLD
3,511.47,6090.00,0,6090.00,HOLD
4,577.83,6090.00,0,6090.00,HOLD
5,596.71,6090.00,0,6090.00,HOLD
6,602.05,6090.00,0,6090.00,HOLD
7,638.69,6090.00,0,6090.00,HOLD
8,673.52,6090.00,0,6090.00,HOLD
9,686.23,6090.00,0,6090.00,HOLD
10,702.50,6090.00,0,6090.00,HOLD
11,700.84,6090.00,0,6090.00,HOLD
12,739.52,6090.00,0,6090.00,HOLD
13,722.81,6090.00,0,6090.00,HOLD
14,732.55,6090.00,0,6090.00,HOLD
15,742.57,6090.00,0,6090.00,HOLD
16,741.11,6090.00,0,6090.00,HOLD
17,766.51,6090.00,0,6090.00,HOLD
18,775.78,6090.00,0,6090.00,HOLD
19,788.72,6090.00,0,6090.00,HOLD
20,814.23,6090.00,0,6090.00,HOLD
21,849.01,6090.00,0,6090.00,HOLD
22,831.15,6090.00,0,6090.00,HOLD
23,787.93,6090.00,0,6090.00,HOLD
24,839.63,6090.00,0,6090.00,HOLD
25,864.39,6090.00,0,6090.00,HOLD
26,886.48,6090.00,0,6090.00,HOLD
27,859.40,6090.00,0,6090.00,HOLD
28,819.86,6090.00,0,6090.00,HOLD
29,867.63,6090.00,0,6090.00,HOLD
30,822.58,6090.00,0,6090.00,HOLD
31,804.75,6090.00,0,6090.00,HOLD
32,791.30,6090.00,0,6090.00,HOLD
33,832.27,6090.00,0,6090.00,HOLD
34,826.17,6090.00,0,6090.00,HOLD
35,861.29,6090.00,0,6090.00,HOLD
36,875.45,6090.00,0,6090.00,HOLD
37,908.24,6090.00,0,6090.00,HOLD
38,923.39,6090.00,0,6090.00,HOLD
39,942.46,6090.00,0,6090.00,HOLD
40,923.96,6090.00,0,6090.00,HOLD
41,977.37,6090.00,0,6090.00,HOLD
42,972.10,6090.00,0,6090.00,HOLD
43,959.52,6090.00,0,6090.00,HOLD
44,984.37,6090.00,0,6090.00,HOLD
45,958.47,6090.00,0,6090.00,HOLD
46,951.21,6090.00,0,6090.00,HOLD
47,944.74,6090.00,0,6090.00,HOLD
48,904.18,6090.00,0,6090.00,HOLD
49,904.62,6090.00,0,6090.00,HOLD
50,921.71,6090.00,0,6090.00,HOLD
51,948.77,6090.00,0,6090.00,HOLD
52,952.22,6090.00,0,6090.00,HOLD
53,966.52,6090.00,0,6090.00,HOLD
54,990.32,6090.00,0,6090.00,HOLD
55,1020.58,6090.00,0,6090.00,HOLD
56,1025.73,6090.00,0,6090.00,HOLD
57,961.30,6090.00,0,6090.00,HOLD
58,974.10,6090.00,0,6090.00,HOLD
59,959.98,6090.00,0,6090.00,HOLD
60,962.69,6090.00,0,6090.00,HOLD
61,977.74,6090.00,0,6090.00,HOLD
62,978.79,6090.00,0,6090.00,HOLD
63,995.35,6090.00,0,6090.00,HOLD
64,1012.78,6090.00,0,6090.00,HOLD
65,1023.74,6090.00,0,6090.00,HOLD
66,1042.42,6090.00,0,6090.00,HOLD
67,1038.68,6090.00,0,6090.00,HOLD
68,1041.44,6090.00,0,6090.00,HOLD
69,1030.04,6090.00,0,6090.00,HOLD
70,1035.98,6090.00,0,6090.00,HOLD
71,1048.70,6090.00,0,6090.00,HOLD
72,991.13,6090.00,0,6090.00,HOLD
73,1015.91,6090.00,0,6090.00,HOLD
74,1042.36,6090.00,0,6090.00,HOLD
75,1027.64,6090.00,0,6090.00,HOLD
76,1037.72,6090.00,0,6090.00,HOLD
77,1012.51,6090.00,0,6090.00,HOLD
78,922.36,6090.00,0,6090.00,HOLD
79,960.52,6090.00,0,6090.00,HOLD
80,992.04,6090.00,0,6090.00,HOLD
81,999.59,6090.00,0,6090.00,HOLD
82,995.73,6090.00,0,6090.00,HOLD
83,979.68,6090.00,0,6090.00,HOLD
84,1018.13,6090.00,0,6090.00,HOLD
85,1015.62,6090.00,0,6090.00,HOLD
86,961.98,6090.00,0,6090.00,HOLD
87,1009.29,6090.00,0,6090.00,HOLD
88,1006.90,6090.00,0,6090.00,HOLD
89,1001.48,6090.00,0,6090.00,HOLD
90,1021.59,6090.00,0,6090.00,HOLD
91,986.18,6090.00,0,6090.00,HOLD
92,967.19,6090.00,0,6090.00,HOLD
93,937.48,6090.00,0,6090.00,HOLD
94,835.55,6090.00,0,6090.00,HOLD
95,900.86,6090.00,0,6090.00,HOLD
96,857.54,6090.00,0,6090.00,HOLD
97,870.25,6090.00,0,6090.00,HOLD
98,899.85,6090.00,0,6090.00,HOLD
99,887.28,6090.00,0,6090.00,HOLD
100,912.00,6090.00,0,6090.00,HOLD
101,933.09,6090.00,0,6090.00,HOLD
102,936.86,6090.00,0,6090.00,HOLD
103,924.73,6090.00,0,6090.00,HOLD
104,916.91,6090.00,0,6090.00,HOLD
105,916.65,6090.00,0,6090.00,HOLD
106,894.62,6090.00,0,6090.00,HOLD
107,859.73,6090.00,0,6090.00,HOLD
108,855.45,6090.00,0,6090.00,HOLD
109,878.90,6090.00,0,6090.00,HOLD
110,881.46,6090.00,0,6090.00,HOLD
111,873.61,6090.00,0,6090.00,HOLD
112,795.42,6090.00,0,6090.00,HOLD
113,746.94,6090.00,0,6090.00,HOLD
114,753.32,6090.00,0,6090.00,HOLD
115,743.61,6090.00,0,6090.00,HOLD
116,747.74,6090.00,0,6090.00,HOLD
117,788.02,6090.00,0,6090.00,HOLD
118,788.29,6090.00,0,6090.00,HOLD
119,803.20,6090.00,0,6090.00,HOLD
120,820.27,6090.00,0,6090.00,HOLD
121,817.52,6090.00,0,6090.00,HOLD
122,794.16,6090.00,0,6090.00,HOLD
123,788.13,6090.00,0,6090.00,HOLD
124,775.31,6090.00,0,6090.00,HOLD
125,750.64,6090.00,0,6090.00,HOLD
126,690.60,6090.00,0,6090.00,HOLD
127,683.63,6090.00,0,6090.00,HOLD
128,663.60,6090.00,0,6090.00,HOLD
129,689.67,6090.00,0,6090.00,HOLD
130,683.14,6090.00,0,6090.00,HOLD
131,694.94,6090.00,0,6090.00,HOLD
132,711.15,6090.00,0,6090.00,HOLD
133,737.87,6090.00,0,6090.00,HOLD
134,718.29,6090.00,0,6090.00,HOLD
135,722.40,6090.00,0,6090.00,HOLD
136,711.63,6090.00,0,6090.00,HOLD
137,718.17,6090.00,0,6090.00,HOLD
138,701.61,6090.00,0,6090.00,HOLD
139,691.01,6090.00,0,6090.00,HOLD
140,677.77,6090.00,0,6090.00,HOLD
141,707.54,6090.00,0,6090.00,HOLD
142,705.76,6090.00,0,6090.00,HOLD
143,736.90,6090.00,0,6090.00,HOLD
144,760.65,6090.00,0,6090.00,HOLD
145,767.64,6090.00,0,6090.00,HOLD
146,773.86,6090.00,0,6090.00,HOLD
147,769.75,6090.00,0,6090.00,HOLD
148,810.47,6090.00,0,6090.00,HOLD
149,758.05,6090.00,0,6090.00,HOLD
150,802.42,6090.00,0,6090.00,HOLD
151,825.40,6090.00,0,6090.00,HOLD
152,852.02,6090.00,0,6090.00,HOLD
153,879.73,6090.00,0,6090.00,HOLD
154,902.90,6090.00,0,6090.00,HOLD
155,828.25,6090.00,0,6090.00,HOLD
156,841.81,6090.00,0,6090.00,HOLD
157,821.94,6090.00,0,6090.00,HOLD
158,833.73,6090.00,0,6090.00,HOLD
159,845.84,6090.00,0,6090.00,HOLD
160,864.97,6090.00,0,6090.00,HOLD
161,881.76,6090.00,0,6090.00,HOLD
162,881.14,6090.00,0,6090.00,HOLD
163,869.29,6090.00,0,6090.00,HOLD
164,873.66,6090.00,0,6090.00,HOLD
165,857.35,6090.00,0,6090.00,HOLD
166,891.18,6090.00,0,6090.00,HOLD
167,920.89,6090.00,0,6090.00,HOLD
168,921.39,6090.00,0,6090.00,HOLD
169,894.48,6090.00,0,6090.00,HOLD
170,894.08,6090.00,0,6090.00,HOLD
171,889.71,6090.00,0,6090.00,HOLD
172,907.82,6090.00,0,6090.00,HOLD
173,913.02,6090.00,0,6090.00,HOLD
174,895.96,6090.00,0,6090.00,HOLD
175,882.42,6090.00,0,6090.00,HOLD
176,827.82,6090.00,0,6090.00,HOLD
177,792.91,6090.00,0,6090.00,HOLD
178,817.29,6090.00,0,6090.00,HOLD
179,750.32,6090.00,0,6090.00,HOLD
180,734.20,6090.00,0,6090.00,HOLD
181,805.81,6090.00,0,6090.00,HOLD
182,779.47,6090.00,0,6090.00,HOLD
183,811.24,6090.00,0,6090.00,HOLD
184,811.06,6090.00,0,6090.00,HOLD
185,810.52,6090.00,0,6090.00,HOLD
186,833.67,6090.00,0,6090.00,HOLD
187,849.33,6090.00,0,6090.00,HOLD
188,851.21,6090.00,0,6090.00,HOLD
189,864.86,6090.00,0,6090.00,HOLD
190,865.81,6090.00,0,6090.00,HOLD
191,837.87,6090.00,0,6090.00,HOLD
192,817.06,6090.00,0,6090.00,HOLD
193,803.71,6090.00,0,6090.00,HOLD
194,830.66,6090.00,0,6090.00,HOLD
195,854.58,6090.00,0,6090.00,HOLD
196,850.77,6090.00,0,6090.00,HOLD
197,859.71,6090.00,0,6090.00,HOLD
198,881.33,6090.00,0,6090.00,HOLD
199,890.00,6090.00,0,6090.00,HOLD
200,905.26,6090.00,0,6090.00,HOLD
201,874.77,6090.00,0,6090.00,HOLD
202,847.54,6090.00,0,6090.00,HOLD
203,833.38,6090.00,0,6090.00,HOLD
204,853.13,6090.00,0,6090.00,HOLD
205,865.21,6090.00,0,6090.00,HOLD
206,852.75,6090.00,0,6090.00,HOLD
207,843.62,6090.00,0,6090.00,HOLD
208,846.90,6090.00,0,6090.00,HOLD
209,841.81,6090.00,0,6090.00,HOLD
210,867.32,6090.00,0,6090.00,HOLD
211,856.16,6090.00,0,6090.00,HOLD
212,839.34,6090.00,0,6090.00,HOLD
213,829.50,6090.00,0,6090.00,HOLD
214,854.60,6090.00,0,6090.00,HOLD
215,829.09,6090.00,0,6090.00,HOLD
216,807.55,6090.00,0,6090.00,HOLD
217,795.18,6090.00,0,6090.00,HOLD
218,731.44,6090.00,0,6090.00,HOLD
219,774.17,6090.00,0,6090.00,HOLD
220,768.48,6090.00,0,6090.00,HOLD
221,754.00,6090.00,0,6090.00,HOLD
222,718.25,6090.00,0,6090.00,HOLD
223,719.29,6090.00,0,6090.00,HOLD
224,757.23,6090.00,0,6090.00,HOLD
225,754.38,6090.00,0,6090.00,HOLD
226,769.68,6090.00,0,6090.00,HOLD
227,749.53,6090.00,0,6090.00,HOLD
228,725.27,6090.00,0,6090.00,HOLD
229,729.05,6090.00,0,6090.00,HOLD
230,739.66,5350.34,1,6090.00,BUY
231,668.38,6018.72,0,6018.72,SELL
232,676.06,6018.72,0,6018.72,HOLD
233,677.08,6018.72,0,6018.72,HOLD
234,644.39,6018.72,0,6018.72,HOLD
235,683.30,6018.72,0,6018.72,HOLD
236,667.00,6018.72,0,6018.72,HOLD
237,661.92,6018.72,0,6018.72,HOLD
