DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,7466.30,1,9650.20,BUY
1,2149.95,5316.35,2,9616.25,BUY
2,2204.49,3111.86,3,9725.33,BUY
3,2258.09,853.77,4,9886.13,BUY
4,2172.33,853.77,4,9543.09,HOLD
5,2154.88,853.77,4,9473.29,HOLD
6,2214.77,853.77,4,9712.85,HOLD
7,2191.20,853.77,4,9618.57,HOLD
8,2059.13,853.77,4,9090.29,HOLD
9,2005.81,853.77,4,8877.01,HOLD
10,1898.27,853.77,4,8446.85,HOLD
11,1591.12,853.77,4,7218.25,HOLD
12,1645.28,853.77,4,7434.89,HOLD
13,1685.37,853.77,4,7595.25,HOLD
14,1801.80,853.77,4,8060.97,HOLD
15,1828.13,853.77,4,8166.29,HOLD
16,1895.98,853.77,4,8437.69,HOLD
17,1894.29,853.77,4,8430.93,HOLD
18,1905.17,853.77,4,8474.45,HOLD
19,1968.59,853.77,4,8728.13,HOLD
20,1997.94,853.77,4,8845.53,HOLD
21,2059.14,853.77,4,9090.33,HOLD
22,2166.01,853.77,4,9517.81,HOLD
23,2079.02,853.77,4,9169.85,HOLD
24,2110.51,853.77,4,9295.81,HOLD
25,2108.26,853.77,4,9286.81,HOLD
26,2164.03,853.77,4,9509.89,HOLD
27,2165.60,853.77,4,9516.17,HOLD
28,2214.28,853.77,4,9710.89,HOLD
29,2237.21,853.77,4,9802.61,HOLD
30,2269.69,853.77,4,9932.53,HOLD
31,2396.11,853.77,4,10438.21,HOLD
32,2353.17,853.77,4,10266.45,HOLD
33,2336.98,853.77,4,10201.69,HOLD
34,2341.29,853.77,4,10218.93,HOLD
35,2369.12,853.77,4,10330.25,HOLD
36,2429.94,853.77,4,10573.53,HOLD
37,2287.44,853.77,4,10003.53,HOLD
38,2327.83,853.77,4,10165.09,HOLD
39,2385.87,853.77,4,10397.25,HOLD
40,2322.06,853.77,4,10142.01,HOLD
41,2321.23,853.77,4,10138.69,HOLD
42,2315.30,853.77,4,10114.97,HOLD
43,2435.59,853.77,4,10596.13,HOLD
44,2533.34,853.77,4,10987.13,HOLD
45,2605.03,853.77,4,11273.89,HOLD
46,2611.67,853.77,4,11300.45,HOLD
47,2700.92,853.77,4,11657.45,HOLD
48,2735.08,853.77,4,11794.09,HOLD
49,2733.64,853.77,4,11788.33,HOLD
50,2809.35,853.77,4,12091.17,HOLD
51,3040.11,853.77,4,13014.21,HOLD
52,3085.90,853.77,4,13197.37,HOLD
53,3140.60,853.77,4,13416.17,HOLD
