DAY,Price,Cash,Shares,PortfolioValue,Action
0,9010.89,38982.30,0,38982.30,HOLD
1,9158.50,38982.30,0,38982.30,HOLD
2,9301.32,38982.30,0,38982.30,HOLD
3,9273.23,38982.30,0,38982.30,HOLD
4,9123.22,38982.30,0,38982.30,HOLD
5,9496.53,38982.30,0,38982.30,HOLD
6,9693.05,38982.30,0,38982.30,HOLD
7,9166.01,38982.30,0,38982.30,HOLD
8,8543.35,38982.30,0,38982.30,HOLD
9,7943.16,38982.30,0,38982.30,HOLD
10,6882.86,38982.30,0,38982.30,HOLD
11,6631.42,38982.30,0,38982.30,HOLD
12,7539.97,38982.30,0,38982.30,HOLD
13,7617.79,38982.30,0,38982.30,HOLD
14,8338.08,38982.30,0,38982.30,HOLD
15,8215.69,38982.30,0,38982.30,HOLD
16,8600.70,38982.30,0,38982.30,HOLD
17,8781.31,38982.30,0,38982.30,HOLD
18,9000.07,38982.30,0,38982.30,HOLD
19,9183.25,38982.30,0,38982.30,HOLD
20,9144.28,38982.30,0,38982.30,HOLD
21,9627.17,38982.30,0,38982.30,HOLD
22,9962.58,38982.30,0,38982.30,HOLD
23,9891.81,38982.30,0,38982.30,HOLD
24,9842.22,38982.30,0,38982.30,HOLD
25,10048.04,38982.30,0,38982.30,HOLD
26,10379.91,38982.30,0,38982.30,HOLD
27,10364.39,38982.30,0,38982.30,HOLD
28,10407.87,38982.30,0,38982.30,HOLD
29,10412.09,38982.30,0,38982.30,HOLD
30,10963.41,38982.30,0,38982.30,HOLD
31,11007.50,38982.30,0,38982.30,HOLD
32,11090.03,38982.30,0,38982.30,HOLD
33,11551.01,38982.30,0,38982.30,HOLD
34,11361.35,38982.30,0,38982.30,HOLD
35,10728.03,38982.30,0,38982.30,HOLD
36,10639.95,38982.30,0,38982.30,HOLD
37,10639.98,38982.30,0,38982.30,HOLD
38,11033.69,38982.30,0,38982.30,HOLD
39,11476.66,38982.30,0,38982.30,HOLD
40,11648.53,38982.30,0,38982.30,HOLD
41,11434.86,38982.30,0,38982.30,HOLD
42,10822.57,38982.30,0,38982.30,HOLD
43,11737.13,38982.30,0,38982.30,HOLD
44,11715.52,38982.30,0,38982.30,HOLD
45,11852.51,38982.30,0,38982.30,HOLD
46,12027.16,38982.30,0,38982.30,HOLD
47,12460.55,38982.30,0,38982.30,HOLD
48,12432.71,38982.30,0,38982.30,HOLD
49,12525.22,38982.30,0,38982.30,HOLD
50,12821.96,38982.30,0,38982.30,HOLD
51,12649.99,38982.30,0,38982.30,HOLD
52,13051.07,38982.30,0,38982.30,HOLD
53,13454.08,38982.30,0,38982.30,HOLD
54,13316.52,38982.30,0,38982.30,HOLD
55,13631.62,38982.30,0,38982.30,HOLD
56,13916.84,38982.30,0,38982.30,HOLD
57,13842.60,38982.30,0,38982.30,HOLD
58,13024.53,38982.30,0,38982.30,HOLD
59,12397.05,38982.30,0,38982.30,HOLD
60,13158.72,38982.30,0,38982.30,HOLD
61,13039.45,38982.30,0,38982.30,HOLD
62,12878.72,38982.30,0,38982.30,HOLD
63,13582.75,38982.30,0,38982.30,HOLD
64,13783.95,38982.30,0,38982.30,HOLD
65,13842.57,38982.30,0,38982.30,HOLD
66,14019.50,38982.30,0,38982.30,HOLD
67,13881.51,38982.30,0,38982.30,HOLD
68,13401.75,38982.30,0,38982.30,HOLD
69,13265.40,38982.30,0,38982.30,HOLD
70,13551.01,38982.30,0,38982.30,HOLD
71,13678.76,38982.30,0,38982.30,HOLD
72,13831.98,38982.30,0,38982.30,HOLD
73,14052.16,38982.30,0,38982.30,HOLD
74,14121.00,38982.30,0,38982.30,HOLD
75,14471.38,38982.30,0,38982.30,HOLD
76,14580.79,38982.30,0,38982.30,HOLD
77,14632.95,38982.30,0,38982.30,HOLD
78,14498.65,38982.30,0,38982.30,HOLD
79,14645.63,38982.30,0,38982.30,HOLD
80,14734.12,38982.30,0,38982.30,HOLD
81,14692.41,38982.30,0,38982.30,HOLD
82,14516.30,38982.30,0,38982.30,HOLD
83,15011.58,38982.30,0,38982.30,HOLD
84,15302.11,38982.30,0,38982.30,HOLD
85,15245.17,38982.30,0,38982.30,HOLD
86,15047.14,38982.30,0,38982.30,HOLD
87,14932.51,38982.30,0,38982.30,HOLD
88,14444.30,38982.30,0,38982.30,HOLD
89,14615.14,38982.30,0,38982.30,HOLD
90,14699.52,38982.30,0,38982.30,HOLD
91,15094.14,38982.30,0,38982.30,HOLD
92,15290.31,38982.30,0,38982.30,HOLD
93,15827.66,38982.30,0,38982.30,HOLD
94,15695.77,38982.30,0,38982.30,HOLD
95,15848.83,38982.30,0,38982.30,HOLD
96,15456.09,38982.30,0,38982.30,HOLD
97,14931.06,38982.30,0,38982.30,HOLD
98,15477.85,38982.30,0,38982.30,HOLD
99,14960.37,38982.30,0,38982.30,HOLD
100,15696.83,38982.30,0,38982.30,HOLD
101,15644.09,38982.30,0,38982.30,HOLD
102,14530.23,38982.30,0,38982.30,HOLD
103,14482.94,38982.30,0,38982.30,HOLD
104,13414.14,38982.30,0,38982.30,HOLD
105,14070.77,38982.30,0,38982.30,HOLD
106,13934.78,38982.30,0,38982.30,HOLD
