DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,37348.70,0,37348.70,HOLD
1,9164.66,37348.70,0,37348.70,HOLD
2,9346.81,37348.70,0,37348.70,HOLD
3,9088.04,37348.70,0,37348.70,HOLD
4,9188.55,37348.70,0,37348.70,HOLD
5,9493.63,37348.70,0,37348.70,HOLD
6,9675.80,37348.70,0,37348.70,HOLD
7,8940.49,37348.70,0,37348.70,HOLD
8,8602.89,37348.70,0,37348.70,HOLD
9,7930.43,37348.70,0,37348.70,HOLD
10,6828.91,37348.70,0,37348.70,HOLD
11,7169.86,37348.70,0,37348.70,HOLD
12,7642.86,37348.70,0,37348.70,HOLD
13,7881.22,37348.70,0,37348.70,HOLD
14,8308.79,37348.70,0,37348.70,HOLD
15,8404.54,37348.70,0,37348.70,HOLD
16,8765.01,37348.70,0,37348.70,HOLD
17,8819.37,37348.70,0,37348.70,HOLD
18,8752.68,37348.70,0,37348.70,HOLD
19,9304.20,37348.70,0,37348.70,HOLD
20,9345.28,37348.70,0,37348.70,HOLD
21,9560.41,37348.70,0,37348.70,HOLD
22,9491.31,37348.70,0,37348.70,HOLD
23,9885.66,37348.70,0,37348.70,HOLD
24,9810.47,37348.70,0,37348.70,HOLD
25,10194.06,37348.70,0,37348.70,HOLD
26,10447.01,37348.70,0,37348.70,HOLD
27,10421.20,37348.70,0,37348.70,HOLD
28,10217.31,37348.70,0,37348.70,HOLD
29,10557.70,37348.70,0,37348.70,HOLD
30,10920.37,37348.70,0,37348.70,HOLD
31,10972.06,37348.70,0,37348.70,HOLD
32,11245.44,37348.70,0,37348.70,HOLD
33,11634.77,37348.70,0,37348.70,HOLD
34,10875.87,37348.70,0,37348.70,HOLD
35,10982.26,37348.70,0,37348.70,HOLD
36,10519.49,37348.70,0,37348.70,HOLD
37,11019.14,37348.70,0,37348.70,HOLD
38,11162.52,37348.70,0,37348.70,HOLD
39,11704.13,37348.70,0,37348.70,HOLD
40,11454.57,37348.70,0,37348.70,HOLD
41,11221.06,37348.70,0,37348.70,HOLD
42,10830.94,37348.70,0,37348.70,HOLD
43,11703.49,37348.70,0,37348.70,HOLD
44,11814.89,37348.70,0,37348.70,HOLD
45,11796.53,37348.70,0,37348.70,HOLD
46,12263.93,37348.70,0,37348.70,HOLD
47,12453.21,37348.70,0,37348.70,HOLD
48,12465.42,37348.70,0,37348.70,HOLD
49,12695.31,37348.70,0,37348.70,HOLD
50,12857.76,37348.70,0,37348.70,HOLD
51,12867.34,37348.70,0,37348.70,HOLD
52,13098.41,37348.70,0,37348.70,HOLD
53,13463.66,37348.70,0,37348.70,HOLD
54,12985.05,37348.70,0,37348.70,HOLD
55,13761.66,37348.70,0,37348.70,HOLD
56,13937.71,37348.70,0,37348.70,HOLD
57,13530.96,37348.70,0,37348.70,HOLD
58,13362.66,37348.70,0,37348.70,HOLD
59,12599.23,37348.70,0,37348.70,HOLD
60,13272.50,37348.70,0,37348.70,HOLD
61,13278.78,37348.70,0,37348.70,HOLD
62,12968.16,37348.70,0,37348.70,HOLD
63,13674.28,37348.70,0,37348.70,HOLD
64,13902.45,37348.70,0,37348.70,HOLD
65,13698.67,37348.70,0,37348.70,HOLD
66,14064.28,37348.70,0,37348.70,HOLD
67,13485.59,37348.70,0,37348.70,HOLD
